ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;k_1eEn2eGeneratieMigratieachtergrond_1;k_1eGeneratieMigratieachtergrond_2;k_2eGeneratieMigratieachtergrond_3
0;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1972;1225160;566906;658254
1;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1973;1260756;586653;674103
2;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1974;1298713;610449;688264
3;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1975;1347683;644947;702736
4;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1976;1430037;712375;717662
5;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1977;1464859;731201;733658
6;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1978;1503697;752795;750902
7;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1979;1551909;782129;769780
8;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1980;1617219;827361;789858
9;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1981;1693263;880766;812497
10;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1982;1735813;900331;835482
11;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1983;1764370;906987;857383
12;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1984;1790662;910445;880217
13;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1985;1819531;916130;903401
14;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1986;1862401;935018;927383
15;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1987;1912107;959637;952470
16;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1988;1971945;994217;977728
17;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1989;2028121;1023771;1004350
18;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1990;2086924;1054181;1032743
19;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1991;2165850;1103342;1062508
20;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1992;2245481;1152730;1092751
21;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1993;2319046;1195786;1123260
22;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1994;2394634;1240892;1153742
23;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1995;2449184;1264400;1184784
24;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1996;2498715;1284106;1214609
25;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1997;2554289;1310705;1243584
26;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1998;2620400;1345719;1274681
27;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;1999;2699234;1390141;1309093
28;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2000;2775302;1431122;1344180
29;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2001;2870224;1488960;1381264
30;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2002;2964949;1547079;1417870
31;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2003;3038758;1585927;1452831
32;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2004;3088152;1602730;1485422
33;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2005;3122717;1606664;1516053
34;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2006;3147615;1604259;1543356
35;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2007;3170406;1601194;1569212
36;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2008;3215416;1619314;1596102
37;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2009;3287706;1661505;1626201
38;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2010;3359603;1699751;1659852
39;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2011;3427019;1735217;1691802
40;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2012;3494193;1772204;1721989
41;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2013;3543081;1793189;1749892
42;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2014;3594744;1818497;1776247
43;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2015;3665321;1860977;1804344
44;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2016;3752291;1920877;1831414
45;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2017;3862753;2001175;1861578
46;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2018;3971859;2079329;1892530
47;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2019;4086138;2161684;1924454
48;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2020;4220705;2262256;1958449
49;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2021;4305908;2312921;1992987
50;Totaal mannen en vrouwen;Totaal;Met migratieachtergrond;2022;4438900;2412344;2026556
51;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1972;1062840;438803;624037
52;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1973;1076380;440900;635480
53;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1974;1085886;440844;645042
54;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1975;1096870;442865;654005
55;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1976;1109313;446897;662416
56;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1977;1116336;445513;670823
57;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1978;1124238;445076;679162
58;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1979;1132860;444991;687869
59;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1980;1141346;445055;696291
60;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1981;1149845;444707;705138
61;Totaal mannen en vrouwen;Totaal;Westerse migratieachtergrond;1982;1154729;441653;713076
