ID;Geslacht;Migratieachtergrond;Onderwijssoort;StudierichtingISCED2013;Perioden;TotaalIngeschrevenen_1;Eerstejaarsstudenten_2;Ouderejaarsstudenten_3
0;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2010/'11;656706;134101;522605
1;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2011/'12;667194;135114;532080
2;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2012/'13;661122;133699;527423
3;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2013/'14;688191;143387;544804
4;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2014/'15;699572;138638;560934
5;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2015/'16;701118;132066;569052
6;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2016/'17;712113;141325;570788
7;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2017/'18;730146;151011;579135
8;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2018/'19;747841;156778;591063
9;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2019/'20;767577;159306;608271
10;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2020/'21;817271;176965;640306
11;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;Totaal;2021/'22;832721;164874;667847
12;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2010/'11;86510;15012;71498
13;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2011/'12;83678;13900;69778
14;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2012/'13;78873;12851;66022
15;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2013/'14;80468;13572;66896
16;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2014/'15;80632;13135;67497
17;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2015/'16;77677;10549;67128
18;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2016/'17;76169;10817;65352
19;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2017/'18;74968;11218;63750
20;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2018/'19;73995;11704;62291
21;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2019/'20;74563;12254;62309
22;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2020/'21;79967;15026;64941
23;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;01 Onderwijs;2021/'22;81100;12954;68146
24;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2010/'11;86510;15012;71498
25;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2011/'12;83678;13900;69778
26;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2012/'13;78873;12851;66022
27;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2013/'14;80468;13572;66896
28;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2014/'15;80632;13135;67497
29;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2015/'16;77677;10549;67128
