ID;Geslacht;HOOPGebieden;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na1Jaar_30;Na2Jaar_31;Na3Jaar_32;Na4Jaar_33;Na5Jaar_34;Na6Jaar_35;Na7Jaar_36;Na8Jaar_37;Na9Jaar_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar10_47;InJaar2_48;InJaar3_49;InJaar4_50;InJaar5_51;InJaar6_52;InJaar7_53;InJaar8_54;InJaar9_55;InJaar10_56;InJaar2_57;InJaar3_58;InJaar4_59;InJaar5_60;InJaar6_61;InJaar7_62;InJaar8_63;InJaar9_64;InJaar10_65
0;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Cohort 1990;2880.0;10.0;18.0;26.0;32.0;36.0;39.0;42.0;9.0;17.0;23.0;29.0;33.0;36.0;38.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;25.0;36.0;41.0;45.0;47.0;49.0;50.0;50.0;51.0;73.0;60.0;50.0;37.0;27.0;19.0;14.0;10.0;7.0;72.0;58.0;48.0;36.0;26.0;18.0;13.0;9.0;6.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
1;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Cohort 1991;2540.0;9.0;16.0;23.0;29.0;34.0;37.0;39.0;8.0;15.0;22.0;27.0;32.0;34.0;36.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;28.0;40.0;46.0;48.0;51.0;53.0;53.0;54.0;54.0;71.0;56.0;45.0;35.0;25.0;18.0;12.0;9.0;8.0;70.0;54.0;44.0;33.0;24.0;17.0;11.0;8.0;6.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0
2;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Cohort 1992;2360.0;8.0;16.0;24.0;30.0;34.0;38.0;40.0;6.0;14.0;22.0;27.0;31.0;35.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;3.0;3.0;3.0;3.0;27.0;38.0;44.0;47.0;50.0;50.0;52.0;52.0;52.0;73.0;58.0;48.0;37.0;26.0;20.0;14.0;10.0;9.0;71.0;56.0;46.0;35.0;25.0;19.0;13.0;9.0;7.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0
3;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Cohort 1993;2050.0;9.0;16.0;23.0;28.0;34.0;37.0;39.0;7.0;14.0;21.0;26.0;30.0;33.0;35.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;3.0;3.0;3.0;4.0;29.0;39.0;45.0;47.0;50.0;51.0;52.0;53.0;53.0;71.0;57.0;46.0;36.0;26.0;20.0;14.0;10.0;8.0;68.0;54.0;43.0;34.0;25.0;19.0;12.0;9.0;6.0;3.0;3.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0
4;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Cohort 1994;1690.0;7.0;13.0;20.0;25.0;29.0;33.0;35.0;6.0;11.0;17.0;22.0;26.0;29.0;31.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;3.0;3.0;4.0;4.0;30.0;42.0;47.0;51.0;54.0;55.0;55.0;56.0;58.0;70.0;56.0;46.0;35.0;26.0;20.0;15.0;11.0;7.0;67.0;52.0;43.0;33.0;24.0;18.0;14.0;10.0;7.0;3.0;3.0;3.0;2.0;1.0;2.0;2.0;1.0;1.0
5;Totaal mannen en vrouwen;Natuur;Cohort 1990;100.0;11.0;23.0;30.0;34.0;40.0;41.0;41.0;10.0;21.0;27.0;31.0;37.0;38.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;3.0;3.0;3.0;3.0;20.0;33.0;43.0;52.0;53.0;54.0;56.0;56.0;58.0;80.0;66.0;45.0;26.0;18.0;12.0;4.0;3.0;1.0;78.0;64.0;42.0;23.0;15.0;11.0;2.0;1.0;1.0;2.0;2.0;3.0;3.0;2.0;1.0;2.0;2.0;0.0
6;Totaal mannen en vrouwen;Natuur;Cohort 1991;100.0;8.0;21.0;26.0;34.0;38.0;40.0;41.0;7.0;20.0;25.0;32.0;36.0;38.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;21.0;33.0;42.0;48.0;51.0;54.0;52.0;53.0;53.0;78.0;65.0;50.0;31.0;23.0;12.0;10.0;7.0;6.0;76.0;62.0;47.0;29.0;21.0;11.0;8.0;6.0;6.0;2.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;0.0
7;Totaal mannen en vrouwen;Natuur;Cohort 1992;70.0;9.0;16.0;22.0;30.0;31.0;33.0;34.0;9.0;16.0;22.0;30.0;31.0;33.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;40.0;46.0;49.0;55.0;60.0;61.0;60.0;58.0;69.0;58.0;45.0;34.0;22.0;10.0;7.0;7.0;7.0;69.0;58.0;45.0;34.0;22.0;10.0;7.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;Totaal mannen en vrouwen;Natuur;Cohort 1993;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Totaal mannen en vrouwen;Natuur;Cohort 1994;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
