ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
0;Total health and social care providers;Total financ schemes health,social care;2005;67151.0
1;Total health and social care providers;Total financ schemes health,social care;2006;70350.0
2;Total health and social care providers;Total financ schemes health,social care;2007;74666.0
3;Total health and social care providers;Total financ schemes health,social care;2008;79911.0
4;Total health and social care providers;Total financ schemes health,social care;2009;84177.0
5;Total health and social care providers;Total financ schemes health,social care;2010;87632.0
6;Total health and social care providers;Total financ schemes health,social care;2011;89676.0
7;Total health and social care providers;Total financ schemes health,social care;2012;92943.0
8;Total health and social care providers;Total financ schemes health,social care;2013;93099.0
9;Total health and social care providers;Total financ schemes health,social care;2014;94452.0
10;Total health and social care providers;Total financ schemes health,social care;2015;94494.0
11;Total health and social care providers;Total financ schemes health,social care;2016;96711.0
12;Total health and social care providers;Total financing of residents;2005;67046.0
13;Total health and social care providers;Total financing of residents;2006;70255.0
14;Total health and social care providers;Total financing of residents;2007;74579.0
15;Total health and social care providers;Total financing of residents;2008;79821.0
16;Total health and social care providers;Total financing of residents;2009;84093.0
17;Total health and social care providers;Total financing of residents;2010;87525.0
18;Total health and social care providers;Total financing of residents;2011;89573.0
19;Total health and social care providers;Total financing of residents;2012;92840.0
20;Total health and social care providers;Total financing of residents;2013;92992.0
21;Total health and social care providers;Total financing of residents;2014;94341.0
22;Total health and social care providers;Total financing of residents;2015;94379.0
23;Total health and social care providers;Total financing of residents;2016;96596.0
24;Total health and social care providers;HF1: Government, comp. Contr. schemes;2005;46174.0
25;Total health and social care providers;HF1: Government, comp. Contr. schemes;2006;56978.0
26;Total health and social care providers;HF1: Government, comp. Contr. schemes;2007;60531.0
27;Total health and social care providers;HF1: Government, comp. Contr. schemes;2008;63676.0
28;Total health and social care providers;HF1: Government, comp. Contr. schemes;2009;67516.0
29;Total health and social care providers;HF1: Government, comp. Contr. schemes;2010;70369.0
30;Total health and social care providers;HF1: Government, comp. Contr. schemes;2011;71478.0
31;Total health and social care providers;HF1: Government, comp. Contr. schemes;2012;74226.0
32;Total health and social care providers;HF1: Government, comp. Contr. schemes;2013;73959.0
33;Total health and social care providers;HF1: Government, comp. Contr. schemes;2014;75043.0
34;Total health and social care providers;HF1: Government, comp. Contr. schemes;2015;75335.0
35;Total health and social care providers;HF1: Government, comp. Contr. schemes;2016;77266.0
36;Total health and social care providers;HF11: Government schemes;2005;8417.0
37;Total health and social care providers;HF11: Government schemes;2006;8849.0
38;Total health and social care providers;HF11: Government schemes;2007;11290.0
39;Total health and social care providers;HF11: Government schemes;2008;11874.0
40;Total health and social care providers;HF11: Government schemes;2009;12697.0
41;Total health and social care providers;HF11: Government schemes;2010;13123.0
42;Total health and social care providers;HF11: Government schemes;2011;12839.0
43;Total health and social care providers;HF11: Government schemes;2012;12875.0
44;Total health and social care providers;HF11: Government schemes;2013;11631.0
45;Total health and social care providers;HF11: Government schemes;2014;12015.0
46;Total health and social care providers;HF11: Government schemes;2015;17065.0
47;Total health and social care providers;HF11: Government schemes;2016;17537.0
48;Total health and social care providers;HF12: Compulsory contributory schemes;2005;37758.0
49;Total health and social care providers;HF12: Compulsory contributory schemes;2006;48129.0
50;Total health and social care providers;HF12: Compulsory contributory schemes;2007;49242.0
51;Total health and social care providers;HF12: Compulsory contributory schemes;2008;51802.0
52;Total health and social care providers;HF12: Compulsory contributory schemes;2009;54820.0
53;Total health and social care providers;HF12: Compulsory contributory schemes;2010;57246.0
54;Total health and social care providers;HF12: Compulsory contributory schemes;2011;58640.0
55;Total health and social care providers;HF12: Compulsory contributory schemes;2012;61351.0
56;Total health and social care providers;HF12: Compulsory contributory schemes;2013;62327.0
57;Total health and social care providers;HF12: Compulsory contributory schemes;2014;63028.0
58;Total health and social care providers;HF12: Compulsory contributory schemes;2015;58270.0
59;Total health and social care providers;HF12: Compulsory contributory schemes;2016;59730.0
60;Total health and social care providers;HF121a: Long-term care insurance;2005;20192.0
61;Total health and social care providers;HF121a: Long-term care insurance;2006;21264.0
62;Total health and social care providers;HF121a: Long-term care insurance;2007;21334.0
63;Total health and social care providers;HF121a: Long-term care insurance;2008;20335.0
64;Total health and social care providers;HF121a: Long-term care insurance;2009;21572.0
65;Total health and social care providers;HF121a: Long-term care insurance;2010;22612.0
66;Total health and social care providers;HF121a: Long-term care insurance;2011;23410.0
67;Total health and social care providers;HF121a: Long-term care insurance;2012;25796.0
68;Total health and social care providers;HF121a: Long-term care insurance;2013;25105.0
69;Total health and social care providers;HF121a: Long-term care insurance;2014;25560.0
70;Total health and social care providers;HF121a: Long-term care insurance;2015;17697.0
71;Total health and social care providers;HF121a: Long-term care insurance;2016;18025.0
72;Total health and social care providers;HF121b: Health Insurance Fund;2005;17566.0
73;Total health and social care providers;HF121b: Health Insurance Fund;2006;
74;Total health and social care providers;HF121b: Health Insurance Fund;2007;
75;Total health and social care providers;HF121b: Health Insurance Fund;2008;
76;Total health and social care providers;HF121b: Health Insurance Fund;2009;
77;Total health and social care providers;HF121b: Health Insurance Fund;2010;
78;Total health and social care providers;HF121b: Health Insurance Fund;2011;
79;Total health and social care providers;HF121b: Health Insurance Fund;2012;
80;Total health and social care providers;HF121b: Health Insurance Fund;2013;
81;Total health and social care providers;HF121b: Health Insurance Fund;2014;
82;Total health and social care providers;HF121b: Health Insurance Fund;2015;
83;Total health and social care providers;HF121b: Health Insurance Fund;2016;
84;Total health and social care providers;HF122: Compulsory private insurance;2005;
85;Total health and social care providers;HF122: Compulsory private insurance;2006;26865.0
86;Total health and social care providers;HF122: Compulsory private insurance;2007;27908.0
87;Total health and social care providers;HF122: Compulsory private insurance;2008;31467.0
88;Total health and social care providers;HF122: Compulsory private insurance;2009;33248.0
89;Total health and social care providers;HF122: Compulsory private insurance;2010;34633.0
90;Total health and social care providers;HF122: Compulsory private insurance;2011;35229.0
91;Total health and social care providers;HF122: Compulsory private insurance;2012;35555.0
92;Total health and social care providers;HF122: Compulsory private insurance;2013;37223.0
93;Total health and social care providers;HF122: Compulsory private insurance;2014;37468.0
94;Total health and social care providers;HF122: Compulsory private insurance;2015;40573.0
95;Total health and social care providers;HF122: Compulsory private insurance;2016;41705.0
96;Total health and social care providers;Voluntary schemes (incl. OOP);2005;20872.0
97;Total health and social care providers;Voluntary schemes (incl. OOP);2006;13278.0
98;Total health and social care providers;Voluntary schemes (incl. OOP);2007;14048.0
99;Total health and social care providers;Voluntary schemes (incl. OOP);2008;16145.0
100;Total health and social care providers;Voluntary schemes (incl. OOP);2009;16577.0
101;Total health and social care providers;Voluntary schemes (incl. OOP);2010;17156.0
102;Total health and social care providers;Voluntary schemes (incl. OOP);2011;18095.0
103;Total health and social care providers;Voluntary schemes (incl. OOP);2012;18614.0
104;Total health and social care providers;Voluntary schemes (incl. OOP);2013;19033.0
105;Total health and social care providers;Voluntary schemes (incl. OOP);2014;19298.0
106;Total health and social care providers;Voluntary schemes (incl. OOP);2015;19044.0
107;Total health and social care providers;Voluntary schemes (incl. OOP);2016;19330.0
108;Total health and social care providers;HF2: Voluntary schemes;2005;11845.0
109;Total health and social care providers;HF2: Voluntary schemes;2006;4812.0
110;Total health and social care providers;HF2: Voluntary schemes;2007;5174.0
111;Total health and social care providers;HF2: Voluntary schemes;2008;5177.0
112;Total health and social care providers;HF2: Voluntary schemes;2009;5523.0
113;Total health and social care providers;HF2: Voluntary schemes;2010;5594.0
114;Total health and social care providers;HF2: Voluntary schemes;2011;5879.0
115;Total health and social care providers;HF2: Voluntary schemes;2012;5900.0
116;Total health and social care providers;HF2: Voluntary schemes;2013;5681.0
117;Total health and social care providers;HF2: Voluntary schemes;2014;5712.0
118;Total health and social care providers;HF2: Voluntary schemes;2015;5615.0
119;Total health and social care providers;HF2: Voluntary schemes;2016;5886.0
120;Total health and social care providers;HF21: Voluntary health insurance schemes;2005;10285.0
121;Total health and social care providers;HF21: Voluntary health insurance schemes;2006;3418.0
122;Total health and social care providers;HF21: Voluntary health insurance schemes;2007;3667.0
123;Total health and social care providers;HF21: Voluntary health insurance schemes;2008;3668.0
124;Total health and social care providers;HF21: Voluntary health insurance schemes;2009;3943.0
125;Total health and social care providers;HF21: Voluntary health insurance schemes;2010;3986.0
126;Total health and social care providers;HF21: Voluntary health insurance schemes;2011;4337.0
127;Total health and social care providers;HF21: Voluntary health insurance schemes;2012;4452.0
128;Total health and social care providers;HF21: Voluntary health insurance schemes;2013;4251.0
129;Total health and social care providers;HF21: Voluntary health insurance schemes;2014;4303.0
130;Total health and social care providers;HF21: Voluntary health insurance schemes;2015;4224.0
131;Total health and social care providers;HF21: Voluntary health insurance schemes;2016;4466.0
132;Total health and social care providers;HF22: Financing schemes NPI;2005;347.0
133;Total health and social care providers;HF22: Financing schemes NPI;2006;326.0
134;Total health and social care providers;HF22: Financing schemes NPI;2007;367.0
135;Total health and social care providers;HF22: Financing schemes NPI;2008;350.0
136;Total health and social care providers;HF22: Financing schemes NPI;2009;357.0
137;Total health and social care providers;HF22: Financing schemes NPI;2010;378.0
138;Total health and social care providers;HF22: Financing schemes NPI;2011;368.0
139;Total health and social care providers;HF22: Financing schemes NPI;2012;370.0
140;Total health and social care providers;HF22: Financing schemes NPI;2013;372.0
141;Total health and social care providers;HF22: Financing schemes NPI;2014;366.0
142;Total health and social care providers;HF22: Financing schemes NPI;2015;340.0
143;Total health and social care providers;HF22: Financing schemes NPI;2016;344.0
144;Total health and social care providers;HF23: Enterprise financing schemes;2005;1213.0
145;Total health and social care providers;HF23: Enterprise financing schemes;2006;1068.0
146;Total health and social care providers;HF23: Enterprise financing schemes;2007;1139.0
147;Total health and social care providers;HF23: Enterprise financing schemes;2008;1159.0
148;Total health and social care providers;HF23: Enterprise financing schemes;2009;1223.0
149;Total health and social care providers;HF23: Enterprise financing schemes;2010;1230.0
150;Total health and social care providers;HF23: Enterprise financing schemes;2011;1174.0
151;Total health and social care providers;HF23: Enterprise financing schemes;2012;1079.0
152;Total health and social care providers;HF23: Enterprise financing schemes;2013;1058.0
153;Total health and social care providers;HF23: Enterprise financing schemes;2014;1043.0
154;Total health and social care providers;HF23: Enterprise financing schemes;2015;1051.0
155;Total health and social care providers;HF23: Enterprise financing schemes;2016;1075.0
156;Total health and social care providers;HF3: Household out-of-pocket payments;2005;9027.0
157;Total health and social care providers;HF3: Household out-of-pocket payments;2006;8466.0
158;Total health and social care providers;HF3: Household out-of-pocket payments;2007;8874.0
159;Total health and social care providers;HF3: Household out-of-pocket payments;2008;10968.0
160;Total health and social care providers;HF3: Household out-of-pocket payments;2009;11053.0
161;Total health and social care providers;HF3: Household out-of-pocket payments;2010;11563.0
162;Total health and social care providers;HF3: Household out-of-pocket payments;2011;12216.0
163;Total health and social care providers;HF3: Household out-of-pocket payments;2012;12714.0
164;Total health and social care providers;HF3: Household out-of-pocket payments;2013;13352.0
165;Total health and social care providers;HF3: Household out-of-pocket payments;2014;13586.0
166;Total health and social care providers;HF3: Household out-of-pocket payments;2015;13429.0
167;Total health and social care providers;HF3: Household out-of-pocket payments;2016;13444.0
168;Total health and social care providers;"Rest of the world; exports";2005;105.0
169;Total health and social care providers;"Rest of the world; exports";2006;95.0
170;Total health and social care providers;"Rest of the world; exports";2007;87.0
171;Total health and social care providers;"Rest of the world; exports";2008;90.0
172;Total health and social care providers;"Rest of the world; exports";2009;84.0
173;Total health and social care providers;"Rest of the world; exports";2010;107.0
174;Total health and social care providers;"Rest of the world; exports";2011;103.0
175;Total health and social care providers;"Rest of the world; exports";2012;103.0
176;Total health and social care providers;"Rest of the world; exports";2013;107.0
177;Total health and social care providers;"Rest of the world; exports";2014;110.0
178;Total health and social care providers;"Rest of the world; exports";2015;115.0
179;Total health and social care providers;"Rest of the world; exports";2016;115.0
180;Total health care providers;Total financ schemes health,social care;2005;50684.0
181;Total health care providers;Total financ schemes health,social care;2006;53277.0
182;Total health care providers;Total financ schemes health,social care;2007;56734.0
183;Total health care providers;Total financ schemes health,social care;2008;60878.0
184;Total health care providers;Total financ schemes health,social care;2009;63297.0
185;Total health care providers;Total financ schemes health,social care;2010;65803.0
186;Total health care providers;Total financ schemes health,social care;2011;67743.0
187;Total health care providers;Total financ schemes health,social care;2012;70450.0
188;Total health care providers;Total financ schemes health,social care;2013;71240.0
189;Total health care providers;Total financ schemes health,social care;2014;72103.0
190;Total health care providers;Total financ schemes health,social care;2015;72129.0
191;Total health care providers;Total financ schemes health,social care;2016;73785.0
192;Total health care providers;Total financing of residents;2005;50581.0
193;Total health care providers;Total financing of residents;2006;53184.0
194;Total health care providers;Total financing of residents;2007;56649.0
195;Total health care providers;Total financing of residents;2008;60788.0
196;Total health care providers;Total financing of residents;2009;63213.0
197;Total health care providers;Total financing of residents;2010;65695.0
198;Total health care providers;Total financing of residents;2011;67639.0
199;Total health care providers;Total financing of residents;2012;70347.0
200;Total health care providers;Total financing of residents;2013;71133.0
201;Total health care providers;Total financing of residents;2014;71993.0
202;Total health care providers;Total financing of residents;2015;72015.0
203;Total health care providers;Total financing of residents;2016;73670.0
204;Total health care providers;HF1: Government, comp. Contr. schemes;2005;34027.0
205;Total health care providers;HF1: Government, comp. Contr. schemes;2006;43965.0
206;Total health care providers;HF1: Government, comp. Contr. schemes;2007;47022.0
207;Total health care providers;HF1: Government, comp. Contr. schemes;2008;49657.0
208;Total health care providers;HF1: Government, comp. Contr. schemes;2009;52109.0
209;Total health care providers;HF1: Government, comp. Contr. schemes;2010;54232.0
210;Total health care providers;HF1: Government, comp. Contr. schemes;2011;55590.0
211;Total health care providers;HF1: Government, comp. Contr. schemes;2012;57664.0
212;Total health care providers;HF1: Government, comp. Contr. schemes;2013;57670.0
213;Total health care providers;HF1: Government, comp. Contr. schemes;2014;58074.0
214;Total health care providers;HF1: Government, comp. Contr. schemes;2015;58192.0
215;Total health care providers;HF1: Government, comp. Contr. schemes;2016;59621.0
216;Total health care providers;HF11: Government schemes;2005;2369.0
217;Total health care providers;HF11: Government schemes;2006;2518.0
218;Total health care providers;HF11: Government schemes;2007;2875.0
219;Total health care providers;HF11: Government schemes;2008;3078.0
220;Total health care providers;HF11: Government schemes;2009;3090.0
221;Total health care providers;HF11: Government schemes;2010;3082.0
222;Total health care providers;HF11: Government schemes;2011;3166.0
223;Total health care providers;HF11: Government schemes;2012;3209.0
224;Total health care providers;HF11: Government schemes;2013;3318.0
225;Total health care providers;HF11: Government schemes;2014;3468.0
226;Total health care providers;HF11: Government schemes;2015;6440.0
227;Total health care providers;HF11: Government schemes;2016;7135.0
228;Total health care providers;HF12: Compulsory contributory schemes;2005;31658.0
229;Total health care providers;HF12: Compulsory contributory schemes;2006;41448.0
230;Total health care providers;HF12: Compulsory contributory schemes;2007;44147.0
231;Total health care providers;HF12: Compulsory contributory schemes;2008;46578.0
232;Total health care providers;HF12: Compulsory contributory schemes;2009;49020.0
233;Total health care providers;HF12: Compulsory contributory schemes;2010;51150.0
234;Total health care providers;HF12: Compulsory contributory schemes;2011;52424.0
235;Total health care providers;HF12: Compulsory contributory schemes;2012;54455.0
236;Total health care providers;HF12: Compulsory contributory schemes;2013;54353.0
237;Total health care providers;HF12: Compulsory contributory schemes;2014;54606.0
238;Total health care providers;HF12: Compulsory contributory schemes;2015;51751.0
239;Total health care providers;HF12: Compulsory contributory schemes;2016;52486.0
240;Total health care providers;HF121a: Long-term care insurance;2005;14364.0
241;Total health care providers;HF121a: Long-term care insurance;2006;15011.0
242;Total health care providers;HF121a: Long-term care insurance;2007;16751.0
243;Total health care providers;HF121a: Long-term care insurance;2008;15272.0
244;Total health care providers;HF121a: Long-term care insurance;2009;15966.0
245;Total health care providers;HF121a: Long-term care insurance;2010;16715.0
246;Total health care providers;HF121a: Long-term care insurance;2011;17271.0
247;Total health care providers;HF121a: Long-term care insurance;2012;18982.0
248;Total health care providers;HF121a: Long-term care insurance;2013;18144.0
249;Total health care providers;HF121a: Long-term care insurance;2014;18264.0
250;Total health care providers;HF121a: Long-term care insurance;2015;14045.0
251;Total health care providers;HF121a: Long-term care insurance;2016;13760.0
252;Total health care providers;HF121b: Health Insurance Fund;2005;17293.0
253;Total health care providers;HF121b: Health Insurance Fund;2006;
254;Total health care providers;HF121b: Health Insurance Fund;2007;
