ID;MaterialLivingConditions;PersonalCharacteristics;AllPeriods;NotHappy_1;Happy_2;NotSatisfiedWithLife_3;SatisfiedWithLife_4
0;999;Total population;2003;13.0;87.0;13.0;87.0
1;999;Total population;2004;13.0;87.0;13.0;87.0
2;999;Total population;2005;13.0;87.0;14.0;86.0
3;999;Total population;2006;12.0;88.0;13.0;87.0
4;999;Total population;2007;12.0;88.0;13.0;87.0
5;999;Total population;2008;12.0;88.0;12.0;88.0
6;999;Total population;2009;11.0;89.0;13.0;87.0
7;999;Total population;2010 old method;13.0;87.0;14.0;86.0
8;999;Total population;2010 new method;16.0;84.0;15.0;85.0
9;999;Total population;2012;17.0;83.0;17.0;83.0
10;999;Gender: male;2003;12.0;88.0;13.0;87.0
11;999;Gender: male;2004;11.0;89.0;13.0;87.0
12;999;Gender: male;2005;13.0;87.0;14.0;86.0
13;999;Gender: male;2006;10.0;90.0;13.0;87.0
14;999;Gender: male;2007;11.0;89.0;12.0;88.0
15;999;Gender: male;2008;12.0;88.0;11.0;89.0
16;999;Gender: male;2009;10.0;90.0;12.0;88.0
17;999;Gender: male;2010 old method;11.0;89.0;13.0;87.0
18;999;Gender: male;2010 new method;14.0;86.0;15.0;85.0
19;999;Gender: male;2012;18.0;82.0;17.0;83.0
20;999;Gender: female;2003;14.0;86.0;14.0;86.0
21;999;Gender: female;2004;14.0;86.0;14.0;86.0
22;999;Gender: female;2005;14.0;86.0;14.0;86.0
23;999;Gender: female;2006;13.0;87.0;14.0;86.0
24;999;Gender: female;2007;13.0;87.0;13.0;87.0
25;999;Gender: female;2008;12.0;88.0;12.0;88.0
26;999;Gender: female;2009;13.0;87.0;13.0;87.0
27;999;Gender: female;2010 old method;14.0;86.0;15.0;85.0
28;999;Gender: female;2010 new method;18.0;82.0;16.0;84.0
29;999;Gender: female;2012;16.0;84.0;17.0;83.0
30;999;Age: 18 to 35 years;2003;9.0;91.0;11.0;89.0
31;999;Age: 18 to 35 years;2004;10.0;90.0;12.0;88.0
32;999;Age: 18 to 35 years;2005;11.0;89.0;13.0;87.0
33;999;Age: 18 to 35 years;2006;8.0;92.0;12.0;88.0
34;999;Age: 18 to 35 years;2007;10.0;90.0;10.0;90.0
35;999;Age: 18 to 35 years;2008;7.0;93.0;9.0;91.0
36;999;Age: 18 to 35 years;2009;9.0;91.0;11.0;89.0
37;999;Age: 18 to 35 years;2010 old method;8.0;92.0;11.0;89.0
38;999;Age: 18 to 35 years;2010 new method;13.0;87.0;14.0;86.0
39;999;Age: 18 to 35 years;2012;12.0;88.0;15.0;85.0
40;999;Age: 35 to 50 years;2003;12.0;88.0;14.0;86.0
41;999;Age: 35 to 50 years;2004;12.0;88.0;14.0;86.0
42;999;Age: 35 to 50 years;2005;12.0;88.0;14.0;86.0
43;999;Age: 35 to 50 years;2006;12.0;88.0;14.0;86.0
44;999;Age: 35 to 50 years;2007;11.0;89.0;13.0;87.0
45;999;Age: 35 to 50 years;2008;13.0;87.0;14.0;86.0
46;999;Age: 35 to 50 years;2009;11.0;89.0;14.0;86.0
47;999;Age: 35 to 50 years;2010 old method;12.0;88.0;15.0;85.0
48;999;Age: 35 to 50 years;2010 new method;16.0;84.0;16.0;84.0
49;999;Age: 35 to 50 years;2012;16.0;84.0;17.0;83.0
50;999;Age: 50 to 65 years;2003;14.0;86.0;13.0;87.0
51;999;Age: 50 to 65 years;2004;14.0;86.0;14.0;86.0
52;999;Age: 50 to 65 years;2005;15.0;85.0;16.0;84.0
53;999;Age: 50 to 65 years;2006;13.0;87.0;15.0;85.0
54;999;Age: 50 to 65 years;2007;14.0;86.0;14.0;86.0
55;999;Age: 50 to 65 years;2008;13.0;87.0;12.0;88.0
56;999;Age: 50 to 65 years;2009;11.0;89.0;13.0;87.0
57;999;Age: 50 to 65 years;2010 old method;14.0;86.0;15.0;85.0
58;999;Age: 50 to 65 years;2010 new method;17.0;83.0;16.0;84.0
59;999;Age: 50 to 65 years;2012;22.0;78.0;21.0;79.0
60;999;Age: 65 years or older;2003;18.0;82.0;15.0;85.0
61;999;Age: 65 years or older;2004;17.0;83.0;13.0;87.0
62;999;Age: 65 years or older;2005;17.0;83.0;13.0;87.0
63;999;Age: 65 years or older;2006;15.0;85.0;12.0;88.0
64;999;Age: 65 years or older;2007;16.0;84.0;14.0;86.0
65;999;Age: 65 years or older;2008;15.0;85.0;12.0;88.0
66;999;Age: 65 years or older;2009;15.0;85.0;13.0;87.0
67;999;Age: 65 years or older;2010 old method;18.0;82.0;14.0;86.0
68;999;Age: 65 years or older;2010 new method;20.0;80.0;16.0;84.0
69;999;Age: 65 years or older;2012;18.0;82.0;15.0;85.0
70;999;Origin: Native Dutch background;2003;11.0;89.0;12.0;88.0
71;999;Origin: Native Dutch background;2004;11.0;89.0;12.0;88.0
72;999;Origin: Native Dutch background;2005;11.0;89.0;12.0;88.0
