ID;KenmerkenHuishoudens;RegioS;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;TotaalVermogen_3;GemiddeldVermogen_4;MediaanVermogen_5
0;Particuliere huishoudens;Nederland;2006;7024.5;100.0;1146.4;163.2;33.1
1;Particuliere huishoudens;Nederland;2007;7081.5;100.0;1222.9;172.7;40.3
2;Particuliere huishoudens;Nederland;2008;7146.0;100.0;1309.3;183.2;44.6
3;Particuliere huishoudens;Nederland;2009;7214.8;100.0;1274.9;176.7;40.1
4;Particuliere huishoudens;Nederland;2010;7281.3;100.0;1253.0;172.1;32.7
5;Particuliere huishoudens;Nederland;2011;7347.6;100.0;1240.3;168.8;31.8
6;Particuliere huishoudens;Nederland;2012;7412.1;100.0;1174.6;158.5;25.1
7;Particuliere huishoudens;Nederland;2013;7467.8;100.0;1123.0;150.4;17.2
8;Particuliere huishoudens;Nederland;2014;7496.4;100.0;1131.2;150.9;17.3
9;Particuliere huishoudens;Nederland;2015;7568.5;100.0;1214.3;160.4;20.9
10;Particuliere huishoudens;Nederland;2016;7623.2;100.0;1271.5;166.8;23.5
11;Particuliere huishoudens;Nederland;2017;7694.9;100.0;1404.9;182.6;30.2
12;Particuliere huishoudens;Nederland;2018;7760.6;100.0;1551.6;199.9;39.4
13;Particuliere huishoudens;Nederland;2019;7827.4;100.0;1697.3;216.8;52.4
14;Particuliere huishoudens;Nederland;2020;7894.5;100.0;1888.0;239.2;65.3
15;Particuliere huishoudens;Nederland;2021;7948.7;100.0;2072.4;260.7;87.3
16;Particuliere huishoudens;Noord-Nederland (LD);2006;737.0;100.0;98.1;133.1;37.5
17;Particuliere huishoudens;Noord-Nederland (LD);2007;743.0;100.0;105.4;141.9;42.8
18;Particuliere huishoudens;Noord-Nederland (LD);2008;749.2;100.0;116.0;154.8;51.0
19;Particuliere huishoudens;Noord-Nederland (LD);2009;755.3;100.0;113.8;150.6;47.3
20;Particuliere huishoudens;Noord-Nederland (LD);2010;757.7;100.0;109.5;144.5;37.0
21;Particuliere huishoudens;Noord-Nederland (LD);2011;763.2;100.0;106.7;139.9;36.8
22;Particuliere huishoudens;Noord-Nederland (LD);2012;768.2;100.0;100.9;131.4;28.9
23;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;100.0;94.8;122.7;20.0
24;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;100.0;93.8;121.2;19.3
25;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;100.0;99.5;127.8;21.7
26;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;100.0;102.8;131.6;23.4
27;Particuliere huishoudens;Noord-Nederland (LD);2017;786.3;100.0;111.5;141.8;28.5
28;Particuliere huishoudens;Noord-Nederland (LD);2018;789.9;100.0;121.2;153.4;35.1
29;Particuliere huishoudens;Noord-Nederland (LD);2019;794.3;100.0;132.1;166.4;43.7
30;Particuliere huishoudens;Noord-Nederland (LD);2020;799.0;100.0;144.5;180.8;52.8
31;Particuliere huishoudens;Noord-Nederland (LD);2021;803.6;100.0;161.3;200.7;72.8
32;Particuliere huishoudens;Oost-Nederland (LD);2006;1412.7;100.0;235.6;166.8;47.9
33;Particuliere huishoudens;Oost-Nederland (LD);2007;1426.3;100.0;251.9;176.6;54.3
34;Particuliere huishoudens;Oost-Nederland (LD);2008;1440.7;100.0;269.3;186.9;60.0
35;Particuliere huishoudens;Oost-Nederland (LD);2009;1454.8;100.0;260.9;179.4;52.1
36;Particuliere huishoudens;Oost-Nederland (LD);2010;1469.4;100.0;254.3;173.1;41.9
37;Particuliere huishoudens;Oost-Nederland (LD);2011;1482.8;100.0;249.6;168.3;39.5
38;Particuliere huishoudens;Oost-Nederland (LD);2012;1496.8;100.0;235.3;157.2;30.9
39;Particuliere huishoudens;Oost-Nederland (LD);2013;1510.0;100.0;223.5;148.0;21.3
40;Particuliere huishoudens;Oost-Nederland (LD);2014;1513.7;100.0;221.3;146.2;21.1
41;Particuliere huishoudens;Oost-Nederland (LD);2015;1527.5;100.0;239.5;156.8;24.4
42;Particuliere huishoudens;Oost-Nederland (LD);2016;1538.9;100.0;248.9;161.7;27.5
43;Particuliere huishoudens;Oost-Nederland (LD);2017;1555.6;100.0;269.9;173.5;33.7
44;Particuliere huishoudens;Oost-Nederland (LD);2018;1569.8;100.0;296.1;188.6;43.4
45;Particuliere huishoudens;Oost-Nederland (LD);2019;1586.1;100.0;325.8;205.4;57.0
46;Particuliere huishoudens;Oost-Nederland (LD);2020;1601.6;100.0;357.9;223.5;70.6
47;Particuliere huishoudens;Oost-Nederland (LD);2021;1615.6;100.0;396.6;245.5;95.1
48;Particuliere huishoudens;West-Nederland (LD);2006;3372.9;100.0;547.5;162.3;22.9
49;Particuliere huishoudens;West-Nederland (LD);2007;3399.0;100.0;586.2;172.5;27.4
50;Particuliere huishoudens;West-Nederland (LD);2008;3430.1;100.0;623.5;181.8;30.7
