ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheid_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidOpleidingskansen_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidDagelijkseBezigheden_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreTevredenheidFinancieleSituatie_17;Ontevreden_18;NietTevredenNietOntevreden_19;Tevreden_20
0;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2013;8.0;2.5;10.8;86.8;7.7;4.2;14.6;81.2;;;;;;;;;;;;
1;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2017/2018;8.1;1.6;8.7;89.7;8.0;1.6;10.3;88.1;7.5;4.2;20.4;75.4;7.8;3.6;14.2;82.3;7.0;7.6;26.2;66.2
2;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2021;8.2;1.5;7.6;91.0;8.0;1.6;9.4;89.0;7.5;5.0;21.3;73.7;7.9;2.7;10.6;86.8;7.2;6.0;22.8;71.1
3;Totaal persoonskenmerken;Percentage;Bonaire;2013;8.0;2.0;10.9;87.0;7.7;4.1;15.6;80.3;;;;;;;;;;;;
4;Totaal persoonskenmerken;Percentage;Bonaire;2017/2018;8.1;1.5;9.2;89.3;8.0;1.5;9.8;88.7;7.6;3.3;19.5;77.2;7.9;2.5;13.2;84.3;7.2;6.1;24.5;69.4
5;Totaal persoonskenmerken;Percentage;Bonaire;2021;8.1;1.4;7.5;91.1;7.9;1.4;11.2;87.5;7.4;4.6;21.8;73.6;7.8;2.2;11.1;86.8;7.3;4.3;20.4;75.2
6;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2013;8.0;5.8;8.5;85.7;7.8;5.3;10.0;84.6;;;;;;;;;;;;
7;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2017/2018;8.0;1.8;8.7;89.5;7.9;;13.5;85.2;7.3;4.3;26.6;69.1;7.5;5.4;19.0;75.6;6.9;7.7;30.4;62.0
8;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2021;8.4;1.3;6.8;91.9;8.3;1.3;5.7;93.1;7.6;4.0;21.1;74.9;8.0;2.0;8.6;89.4;7.2;5.7;24.8;69.5
9;Totaal persoonskenmerken;Percentage;Saba;2013;8.0;;13.7;86.3;7.9;3.2;14.4;82.4;;;;;;;;;;;;
10;Totaal persoonskenmerken;Percentage;Saba;2017/2018;8.3;1.6;6.8;91.7;8.2;2.4;7.5;90.1;7.7;7.4;14.6;78.0;7.9;4.7;10.5;84.8;6.7;13.6;26.6;59.8
11;Totaal persoonskenmerken;Percentage;Saba;2021;8.2;1.9;7.5;90.6;8.1;2.8;8.7;88.4;7.5;8.0;20.2;71.8;8.0;5.3;12.4;82.3;6.9;11.3;26.3;62.4
12;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2013;0.1;0.9;1.9;2.0;0.1;1.2;2.1;2.4;;;;;;;;;;;;
