ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;WoonWerkafstand_2
0;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2021 december;8697.6;19.9
1;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2022 december;8941.8;19.8
2;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2023 december;9020.0;19.9
3;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland;2021 december;8679.6;19.9
4;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland;2022 december;8921.6;19.8
5;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Nederland;2023 december;8996.7;19.9
6;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2021 december;18.0;
7;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2022 december;20.2;
8;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2023 december;23.3;
9;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2021 december;764.9;19.4
10;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2022 december;778.9;19.2
11;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2023 december;783.2;19.1
12;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2021 december;1748.8;18.7
13;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2022 december;1799.7;18.5
14;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2023 december;1806.9;18.3
15;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2021 december;4303.2;20.7
16;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2022 december;4432.8;20.9
17;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2023 december;4493.8;21.2
18;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2021 december;1862.7;19.4
19;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2022 december;1910.2;18.6
20;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2023 december;1912.8;18.5
21;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2021 december;18.0;
22;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2022 december;20.2;
23;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2023 december;23.3;
24;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Groningen (PV);2021 december;275.9;19.1
25;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Groningen (PV);2022 december;281.1;19.2
26;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Groningen (PV);2023 december;280.9;18.8
27;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2021 december;279.4;18.6
28;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2022 december;283.3;18.3
29;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2023 december;283.7;18.2
30;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2021 december;209.6;20.8
31;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2022 december;214.6;20.5
32;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2023 december;218.6;20.7
33;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2021 december;588.6;18.1
34;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2022 december;605.5;17.9
35;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2023 december;606.1;17.6
36;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2021 december;167.6;20.8
37;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2022 december;171.4;20.5
38;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2023 december;172.0;20.7
39;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2021 december;992.6;18.6
40;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2022 december;1022.9;18.5
41;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2023 december;1028.8;18.4
42;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2021 december;778.2;24.6
43;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2022 december;802.0;24.9
44;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2023 december;818.6;25.5
45;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2021 december;1585.7;22.1
46;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2022 december;1637.9;22.2
47;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2023 december;1669.4;22.7
48;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2021 december;1777.8;18.2
49;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2022 december;1826.4;18.4
50;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2023 december;1837.8;18.3
51;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zeeland (PV);2021 december;161.4;16.9
52;Totaal mannen en vrouwen;Totaal;Nederland, Buitenland, Niet in te delen;Zeeland (PV);2022 december;166.5;16.8
