ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;SlachtofferschapTotaal_1;SlachtofferVanGeweldsdelict_2;SlachtofferVanVandalisme_3;VermogensdelictTotaal_4;PogingTotInbraak_5;Autodiefstal_6;DiefstalAndereVoertuigen_7;PogingTotZakkenrollerijBeroving_8;OverigeDiefstal_9
0;Totaal personen;Perrcentage;Caribisch Nederland;2013;16.7;2.9;4.4;13.2;5.1;1.8;1.2;3.4;6.4
1;Totaal personen;Perrcentage;Caribisch Nederland;2017/2018;8.8;1.6;1.6;6.8;2.8;0.5;0.6;1.6;2.6
2;Totaal personen;Perrcentage;Caribisch Nederland;2021;7.6;1.2;2.9;4.6;1.7;0.8;0.7;0.5;2.3
3;Totaal personen;Perrcentage;Bonaire;2013;16.9;2.3;4.0;14.7;5.8;2.4;1.6;3.5;7.2
4;Totaal personen;Perrcentage;Bonaire;2017/2018;9.8;1.0;1.5;8.4;4.0;0.8;;1.8;3.2
5;Totaal personen;Perrcentage;Bonaire;2021;7.6;0.7;1.9;5.7;1.7;0.8;0.8;;3.0
6;Totaal personen;Perrcentage;Sint-Eustatius;2013;15.0;3.8;7.9;7.1;;;;;4.4
7;Totaal personen;Perrcentage;Sint-Eustatius;2017/2018;5.0;1.3;;3.5;;;1.3;;1.7
8;Totaal personen;Perrcentage;Sint-Eustatius;2021;4.3;;1.6;3.7;2.6;1.2;;;1.3
9;Totaal personen;Perrcentage;Saba;2013;19.1;6.4;;12.7;5.6;;;4.7;3.5
10;Totaal personen;Perrcentage;Saba;2017/2018;10.7;4.2;2.9;5.2;;;;2.4;2.0
11;Totaal personen;Perrcentage;Saba;2021;13.1;3.4;7.9;3.2;;;;;2.0
12;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.2;1.0;1.2;2.0;1.3;0.8;0.6;1.1;1.5
13;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;1.4;0.6;0.6;1.2;0.8;0.3;0.4;0.6;0.8
14;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;1.3;0.5;0.8;1.1;0.6;0.5;0.4;0.3;0.8
