ID;Geslacht;Persoonskenmerken;RegioS;Perioden;Personen_1;PersonenMetPersoonlijkInkomen_2;AandeelPersonen_3;GemiddeldGestandaardiseerdInkomen_4;MediaanGestandaardiseerdInkomen_5;GemiddeldPersoonlijkInkomen_6;MediaanPersoonlijkInkomen_7
0;Totaal mannen en vrouwen;Totaal personen;Nederland;2011;16309.7;12807.2;100;26.9;24.2;28.9;23.1
1;Totaal mannen en vrouwen;Totaal personen;Nederland;2012;16378.0;12891.6;100;27.1;24.4;29.1;23.1
2;Totaal mannen en vrouwen;Totaal personen;Nederland;2013;16429.5;12951.4;100;27.3;24.6;29.4;23.1
3;Totaal mannen en vrouwen;Totaal personen;Nederland;2014;16454.5;13005.8;100;28.9;25.4;29.9;23.3
4;Totaal mannen en vrouwen;Totaal personen;Nederland;2015;16528.1;13115.5;100;28.7;25.9;30.4;23.5
5;Totaal mannen en vrouwen;Totaal personen;Nederland;2016;16595.2;13225.4;100;30.0;27.0;31.0;24.0
6;Totaal mannen en vrouwen;Totaal personen;Nederland;2017;16702.4;13383.3;100;30.6;27.6;32.0;24.5
7;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2011;1679.9;1319.5;100;24.6;22.5;25.7;21.0
8;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2012;1680.4;1324.6;100;24.7;22.7;25.8;21.0
9;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2013;1680.2;1327.3;100;25.0;23.0;26.2;21.1
10;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2014;1676.1;1329.0;100;26.2;23.8;26.6;21.2
11;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2015;1676.9;1335.9;100;26.1;24.2;26.8;21.4
12;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2016;1674.6;1340.6;100;27.3;25.2;27.5;21.9
13;Totaal mannen en vrouwen;Totaal personen;Noord-Nederland (LD);2017;1677.8;1351.3;100;27.9;25.8;28.2;22.3
14;Totaal mannen en vrouwen;Totaal personen;Oost-Nederland (LD);2011;3461.4;2687.0;100;26.2;23.9;27.5;22.6
15;Totaal mannen en vrouwen;Totaal personen;Oost-Nederland (LD);2012;3473.9;2705.1;100;26.3;24.0;27.7;22.5
