ID;SamenstellingVanHetHuishouden;PrognoseInterval;RegioIndeling2015;Perioden;ParticuliereHuishoudens_1
0;Particulier huishouden;Prognose;Nederland;2017;7812.0
1;Particulier huishouden;Prognose;Nederland;2018;7883.9
2;Particulier huishouden;Prognose;Nederland;2019;7938.6
3;Particulier huishouden;Prognose;Nederland;2020;7983.0
4;Particulier huishouden;Prognose;Nederland;2021;8027.5
5;Particulier huishouden;Prognose;Nederland;2022;8072.1
6;Particulier huishouden;Prognose;Nederland;2023;8115.1
7;Particulier huishouden;Prognose;Nederland;2024;8156.3
8;Particulier huishouden;Prognose;Nederland;2025;8195.6
9;Particulier huishouden;Prognose;Nederland;2026;8232.9
10;Particulier huishouden;Prognose;Nederland;2027;8268.4
11;Particulier huishouden;Prognose;Nederland;2028;8301.9
12;Particulier huishouden;Prognose;Nederland;2029;8333.4
13;Particulier huishouden;Prognose;Nederland;2030;8362.5
14;Particulier huishouden;Prognose;Nederland;2031;8389.0
15;Particulier huishouden;Prognose;Nederland;2032;8412.8
16;Particulier huishouden;Prognose;Nederland;2033;8434.4
17;Particulier huishouden;Prognose;Nederland;2034;8453.6
18;Particulier huishouden;Prognose;Nederland;2035;8470.8
19;Particulier huishouden;Prognose;Nederland;2036;8486.1
20;Particulier huishouden;Prognose;Nederland;2037;8499.5
21;Particulier huishouden;Prognose;Nederland;2038;8511.4
22;Particulier huishouden;Prognose;Nederland;2039;8521.8
23;Particulier huishouden;Prognose;Nederland;2040;8531.2
24;Particulier huishouden;Prognose;Groningen (PV);2017;296.9
25;Particulier huishouden;Prognose;Groningen (PV);2018;300.2
26;Particulier huishouden;Prognose;Groningen (PV);2019;301.7
27;Particulier huishouden;Prognose;Groningen (PV);2020;302.6
28;Particulier huishouden;Prognose;Groningen (PV);2021;303.7
29;Particulier huishouden;Prognose;Groningen (PV);2022;305.1
30;Particulier huishouden;Prognose;Groningen (PV);2023;306.2
31;Particulier huishouden;Prognose;Groningen (PV);2024;307.1
32;Particulier huishouden;Prognose;Groningen (PV);2025;307.7
