ID;PersonalCharacteristics;Periods;VeryContented_1;Contented_2;NotContentedNotDiscontented_3;Discontented_4;VeryDiscontented_5;DutchLabourParty_6;ChristianDemocraticAppeal_7;PeopleSPartyForFreedomAndDemocracy_8;Democrats1966_9;GreenLeftParty_10;PoliticalReformedPartyChristianUnion_11;SocialistParty_12;LiveableNetherlands_13;ListPimFortuyn_14;OtherPoliticalParties_15;NonVotersAbstentions_16;DoNotKnow_17;CastHisHerVote_18;DutchLabourParty_19;ChristianDemocraticAppeal_20;PeopleSPartyForFreedomAndDemocracy_21;Democrats1966_22;GreenLeftParty_23;PoliticalReformedPartyChristianUnion_24;SocialistParty_25;LiveableNetherlands_26;ListPimFortuyn_27;OtherPoliticalParties_28;Abstentions_29;DoNotKnow_30;VeryMuchInterested_31;RatherInterested_32;NotMuchInterested_33;NotInterestedAtAll_34;ActiveDebater_35;Listens_36;DoesNotListen_37;MemberOfAPoliticalParty_38;AttendsMeetingsPolParty1529Yrs_39;BondWithPolitcalParty_40;VeryStrongBond_41;RatherStrongBond_42;ModeratelyStrongBond_43;WeakVeryWeakBond_44;IsMemberOfAStudentsTradeUnion_45;EmployersOrgTradeUnion_46;NoRestrictions_47;MustBeRestricted_48;MustBeStoppedAltogether_49;NoRestrictions_50;MustBeRestricted_51;MustBeStoppedAltogether_52;NoRestrictions_53;MustBeRestricted_54;MustBeStoppedAltogether_55;MakeMuchMoreDifficult_56;MakeMoreDifficult_57;PreferCurrentSituation_58;MakeEasier_59;MakeMuchEasier_60;RetainOwnCultureCompletely_61;LargelyRetainOwnCulture_62;NotRetainOwnCultureNotConform_63;LargelyConformToDutchCulture_64;ConformCompletelyToDutchCulture_65;AgreeCompletely_66;Agree_67;DoNotAgreeDoNotDisagree_68;Disagree_69;DisagreeCompletely_70;AgreeCompletely_71;Agree_72;DoNotAgreeDoNotDisagree_73;Disagree_74;DisagreeCompletely_75;FamilyEthnicMinority_76;DutchFamily_77;ShouldNotMakeAnyDifference_78;EmployeeWithFamily_79;EmployeeWithoutFamily_80;ShouldNotMakeAnyDifference_81;AForeigner_82;ADutchman_83;ShouldNotMakeAnyDifference_84;AMan_85;AWoman_86;ShouldNotMakeAnyDifference_87;AYoungEmployee_88;AnOlderEmployee_89;ShouldNotMakeAnyDifference_90;AWhiteEmployee_91;AColouredEmployee_92;ShouldNotMakeAnyDifference_93;Annoying_94;NotAnnoying_95;DoNotKnow_96;Annoying_97;NotAnnoying_98;DoNotKnow_99;ExtremelyImportant_100;VeryImportant_101;Important_102;NotSure_103;Unimportant_104;ExtremelyImportant_105;VeryImportant_106;Important_107;NotSure_108;Unimportant_109;ExtremelyImportant_110;VeryImportant_111;Important_112;NotSure_113;Unimportant_114;ExtremelyImportant_115;VeryImportant_116;Important_117;NotSure_118;Unimportant_119;ExtremelyImportant_120;VeryImportant_121;Important_122;NotSure_123;Unimportant_124;ExtremelyImportant_125;VeryImportant_126;Important_127;NotSure_128;Unimportant_129;ExtremelyImportant_130;VeryImportant_131;Important_132;NotSure_133;Unimportant_134;ExtremelyImportant_135;VeryImportant_136;Important_137;NotSure_138;Unimportant_139;ExtremelyImportant_140;VeryImportant_141;Important_142;NotSure_143;Unimportant_144;ExtremelyImportant_145;VeryImportant_146;Important_147;NotSure_148;Unimportant_149;ExtremelyImportant_150;VeryImportant_151;Important_152;NotSure_153;Unimportant_154;ExtremelyImportant_155;VeryImportant_156;Important_157;NotSure_158;Unimportant_159;ExtremelyImportant_160;VeryImportant_161;Important_162;NotSure_163;Unimportant_164;ExtremelyImportant_165;VeryImportant_166;Important_167;NotSure_168;Unimportant_169;LargelyAgree_170;DoNotAgreeDoNotDisagree_171;DoNotAgreeAtAll_172;LargelyAgree_173;DoNotAgreeDoNotDisagree_174;DoNotAgreeAtAll_175;LargelyAgree_176;DoNotAgreeDoNotDisagree_177;DoNotAgreeAtAll_178;LargelyAgree_179;DoNotAgreeDoNotDisagree_180;DoNotAgreeAtAll_181;LargelyAgree_182;DoNotAgreeDoNotDisagree_183;DoNotAgreeAtAll_184;LargelyAgree_185;DoNotAgreeDoNotDisagree_186;DoNotAgreeAtAll_187;AdulteryEndsARelationship_188;AdulteryIsWrongButNotTheEnd_189;AdulteryShouldBePossible_190;NoOpinionDoesNotKnowRefuses_191
10;Men;1999;1.0;38.0;43.0;15.0;3.0;21.0;14.0;23.0;5.0;8.0;3.0;3.0;;;1.0;14.0;8.0;;;;;;;;;;;;;;15.0;43.0;25.0;16.0;51.0;35.0;15.0;5.0;;61.0;17.0;45.0;32.0;5.0;;;8.0;76.0;16.0;34.0;56.0;10.0;11.0;66.0;23.0;23.0;28.0;29.0;12.0;7.0;3.0;7.0;34.0;31.0;25.0;2.0;22.0;23.0;33.0;20.0;17.0;57.0;12.0;8.0;5.0;1.0;20.0;79.0;3.0;40.0;57.0;9.0;2.0;89.0;1.0;5.0;94.0;22.0;14.0;65.0;1.0;3.0;96.0;13.0;79.0;8.0;6.0;88.0;5.0;15.0;15.0;33.0;5.0;32.0;35.0;30.0;26.0;2.0;7.0;49.0;25.0;15.0;4.0;8.0;45.0;29.0;21.0;1.0;4.0;18.0;28.0;45.0;2.0;6.0;19.0;26.0;51.0;2.0;2.0;18.0;32.0;42.0;4.0;4.0;16.0;32.0;46.0;3.0;3.0;6.0;14.0;41.0;19.0;21.0;11.0;22.0;44.0;12.0;10.0;9.0;17.0;36.0;21.0;18.0;10.0;24.0;46.0;10.0;9.0;47.0;29.0;22.0;1.0;1.0;31.0;33.0;33.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
11;Men;2000;1.0;43.0;41.0;12.0;2.0;22.0;14.0;22.0;4.0;7.0;3.0;2.0;;;1.0;14.0;10.0;;;;;;;;;;;;;;14.0;43.0;26.0;17.0;51.0;35.0;15.0;4.0;;60.0;15.0;46.0;34.0;5.0;;;9.0;76.0;15.0;35.0;57.0;7.0;13.0;68.0;19.0;21.0;28.0;32.0;12.0;7.0;2.0;6.0;33.0;33.0;25.0;3.0;24.0;21.0;35.0;18.0;19.0;57.0;12.0;9.0;3.0;1.0;16.0;83.0;3.0;41.0;56.0;8.0;2.0;90.0;1.0;4.0;95.0;20.0;13.0;67.0;1.0;3.0;96.0;12.0;81.0;7.0;6.0;88.0;6.0;15.0;15.0;33.0;5.0;32.0;36.0;30.0;26.0;3.0;5.0;52.0;22.0;15.0;4.0;7.0;45.0;31.0;21.0;2.0;3.0;20.0;27.0;44.0;2.0;7.0;17.0;28.0;51.0;2.0;2.0;18.0;30.0;43.0;4.0;6.0;15.0;31.0;48.0;3.0;2.0;6.0;13.0;43.0;17.0;20.0;11.0;21.0;45.0;12.0;10.0;9.0;15.0;37.0;22.0;17.0;12.0;23.0;47.0;11.0;8.0;49.0;29.0;21.0;1.0;0.0;33.0;33.0;31.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
12;Men;2001;1.0;43.0;40.0;14.0;3.0;21.0;13.0;22.0;4.0;6.0;3.0;3.0;;;3.0;13.0;11.0;;;;;;;;;;;;;;15.0;44.0;25.0;16.0;54.0;33.0;12.0;5.0;2.0;60.0;15.0;45.0;36.0;5.0;12.0;7.0;7.0;77.0;16.0;33.0;59.0;8.0;11.0;69.0;20.0;24.0;27.0;31.0;13.0;6.0;3.0;6.0;32.0;33.0;26.0;3.0;23.0;21.0;34.0;19.0;17.0;58.0;11.0;9.0;4.0;1.0;19.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0;26.0;20.0;42.0;26.0;31.0;70.0;16.0;13.0;42.0;32.0;25.0;71.0;13.0;14.0;14.0;23.0;62.0;68.0;16.0;2.0;13.0
13;Men;2002;1.0;27.0;41.0;24.0;7.0;15.0;22.0;18.0;4.0;5.0;3.0;5.0;3.0;5.0;1.0;8.0;11.0;89.0;16.0;30.0;17.0;5.0;8.0;3.0;6.0;1.0;12.0;0.0;0.0;1.0;20.0;45.0;22.0;13.0;59.0;30.0;11.0;5.0;;59.0;17.0;47.0;32.0;4.0;;;7.0;77.0;16.0;32.0;59.0;9.0;11.0;66.0;23.0;22.0;27.0;31.0;13.0;7.0;2.0;6.0;29.0;33.0;29.0;3.0;19.0;21.0;37.0;21.0;16.0;56.0;12.0;11.0;5.0;1.0;18.0;81.0;;;;;;;;;;;;;;;;;;;;;;15.0;15.0;33.0;6.0;31.0;36.0;33.0;23.0;2.0;5.0;52.0;24.0;14.0;3.0;7.0;47.0;31.0;18.0;1.0;3.0;18.0;28.0;47.0;3.0;5.0;17.0;28.0;51.0;2.0;2.0;17.0;31.0;44.0;4.0;3.0;14.0;31.0;49.0;4.0;2.0;5.0;11.0;43.0;20.0;21.0;10.0;21.0;48.0;12.0;9.0;8.0;16.0;40.0;21.0;16.0;10.0;23.0;47.0;13.0;8.0;48.0;32.0;20.0;1.0;0.0;34.0;34.0;30.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
14;Men;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;12.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.0;26.0;20.0;39.0;26.0;35.0;70.0;15.0;14.0;40.0;34.0;24.0;70.0;12.0;16.0;14.0;21.0;63.0;69.0;17.0;2.0;12.0
15;Men;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Women;1997;0.0;30.0;54.0;14.0;2.0;20.0;16.0;15.0;8.0;5.0;4.0;2.0;;;2.0;14.0;14.0;;;;;;;;;;;;;;7.0;37.0;33.0;23.0;31.0;49.0;20.0;4.0;1.0;56.0;13.0;42.0;40.0;5.0;8.0;4.0;9.0;72.0;19.0;17.0;69.0;14.0;8.0;67.0;25.0;22.0;25.0;37.0;11.0;5.0;4.0;6.0;39.0;26.0;25.0;2.0;15.0;27.0;34.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66.0;20.0;2.0;13.0
17;Women;1998;1.0;36.0;50.0;12.0;2.0;25.0;15.0;17.0;7.0;7.0;4.0;2.0;;;1.0;13.0;9.0;82.0;32.0;17.0;22.0;9.0;8.0;5.0;3.0;;;2.0;1.0;1.0;8.0;39.0;32.0;22.0;35.0;46.0;20.0;4.0;;58.0;14.0;48.0;33.0;4.0;;;8.0;76.0;16.0;18.0;69.0;12.0;10.0;68.0;22.0;22.0;26.0;36.0;11.0;4.0;4.0;7.0;38.0;26.0;26.0;2.0;17.0;26.0;33.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Women;1999;1.0;28.0;54.0;15.0;3.0;21.0;15.0;16.0;4.0;10.0;4.0;2.0;;;1.0;15.0;12.0;;;;;;;;;;;;;;8.0;36.0;32.0;24.0;35.0;46.0;19.0;4.0;;58.0;14.0;44.0;36.0;5.0;;;9.0;74.0;17.0;21.0;67.0;12.0;11.0;68.0;21.0;20.0;24.0;38.0;12.0;7.0;3.0;7.0;38.0;28.0;24.0;3.0;20.0;26.0;34.0;18.0;14.0;54.0;14.0;11.0;6.0;1.0;22.0;77.0;5.0;35.0;60.0;9.0;4.0;87.0;2.0;7.0;91.0;17.0;15.0;69.0;2.0;4.0;95.0;11.0;81.0;8.0;7.0;86.0;6.0;15.0;13.0;32.0;4.0;36.0;39.0;27.0;26.0;2.0;6.0;57.0;21.0;13.0;2.0;6.0;51.0;26.0;19.0;1.0;2.0;19.0;25.0;45.0;3.0;7.0;16.0;24.0;56.0;2.0;2.0;18.0;28.0;45.0;4.0;4.0;16.0;28.0;51.0;3.0;2.0;7.0;15.0;45.0;19.0;14.0;14.0;24.0;45.0;11.0;6.0;12.0;18.0;39.0;21.0;10.0;14.0;24.0;46.0;10.0;5.0;49.0;27.0;23.0;1.0;0.0;33.0;31.0;32.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;
19;Women;2000;1.0;33.0;51.0;13.0;2.0;21.0;14.0;15.0;4.0;9.0;4.0;2.0;;;1.0;16.0;15.0;;;;;;;;;;;;;;7.0;35.0;33.0;25.0;34.0;47.0;19.0;4.0;;56.0;13.0;43.0;40.0;5.0;;;9.0;74.0;17.0;24.0;67.0;10.0;10.0;71.0;19.0;21.0;22.0;39.0;13.0;5.0;3.0;7.0;35.0;28.0;26.0;3.0;20.0;27.0;35.0;15.0;15.0;56.0;14.0;11.0;4.0;1.0;19.0;80.0;3.0;34.0;63.0;9.0;3.0;89.0;1.0;6.0;93.0;13.0;13.0;74.0;1.0;3.0;96.0;11.0;81.0;8.0;6.0;87.0;7.0;12.0;11.0;34.0;5.0;38.0;39.0;27.0;27.0;3.0;5.0;57.0;20.0;14.0;3.0;5.0;53.0;25.0;18.0;1.0;3.0;17.0;26.0;47.0;3.0;7.0;16.0;24.0;56.0;3.0;2.0;18.0;29.0;45.0;4.0;4.0;14.0;31.0;51.0;3.0;1.0;7.0;16.0;46.0;18.0;13.0;14.0;24.0;45.0;11.0;6.0;11.0;17.0;41.0;20.0;10.0;14.0;24.0;47.0;10.0;5.0;50.0;29.0;21.0;1.0;0.0;37.0;31.0;29.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
