ID;Functions;Providers;Periods;HealthCareExpenditure_1
0;Health expenditure for residents;Total health care providers;2021;100183
1;Health expenditure for residents;Total health care providers;2022;100607
2;Health expenditure for residents;Total health care providers;2023;106359
3;Health expenditure for residents;HP1: Hospitals;2021;32424
4;Health expenditure for residents;HP1: Hospitals;2022;33212
5;Health expenditure for residents;HP1: Hospitals;2023;35430
6;Health expenditure for residents;HP11: General and university hospitals;2021;26351
7;Health expenditure for residents;HP11: General and university hospitals;2022;26787
8;Health expenditure for residents;HP11: General and university hospitals;2023;28453
9;Health expenditure for residents;HP12: Mental health institutions,;2021;4656
10;Health expenditure for residents;HP12: Mental health institutions,;2022;4985
11;Health expenditure for residents;HP12: Mental health institutions,;2023;5431
12;Health expenditure for residents;HP13: Specialised hospitals;2021;1417
13;Health expenditure for residents;HP13: Specialised hospitals;2022;1440
14;Health expenditure for residents;HP13: Specialised hospitals;2023;1546
15;Health expenditure for residents;HP2: Nursing and residential care facil.;2021;26735
16;Health expenditure for residents;HP2: Nursing and residential care facil.;2022;27254
17;Health expenditure for residents;HP2: Nursing and residential care facil.;2023;29738
18;Health expenditure for residents;HP21: Nursing care facilities;2021;19234
19;Health expenditure for residents;HP21: Nursing care facilities;2022;19499
20;Health expenditure for residents;HP21: Nursing care facilities;2023;21331
21;Health expenditure for residents;HP22-29: Facilities for the disabled;2021;7501
22;Health expenditure for residents;HP22-29: Facilities for the disabled;2022;7755
23;Health expenditure for residents;HP22-29: Facilities for the disabled;2023;8407
24;Health expenditure for residents;HP3: Providers of ambulatory health care;2021;17713
25;Health expenditure for residents;HP3: Providers of ambulatory health care;2022;19052
26;Health expenditure for residents;HP3: Providers of ambulatory health care;2023;20876
27;Health expenditure for residents;HP31: Medical practices;2021;3956
28;Health expenditure for residents;HP31: Medical practices;2022;3913
29;Health expenditure for residents;HP31: Medical practices;2023;4296
30;Health expenditure for residents;HP32: Dental practices;2021;3073
31;Health expenditure for residents;HP32: Dental practices;2022;3124
32;Health expenditure for residents;HP32: Dental practices;2023;3395
33;Health expenditure for residents;HP33 : Other health care practitioners;2021;5542
34;Health expenditure for residents;HP33 : Other health care practitioners;2022;5980
35;Health expenditure for residents;HP33 : Other health care practitioners;2023;6499
36;Health expenditure for residents;HP34: Ambulatory health care centres;2021;4150
37;Health expenditure for residents;HP34: Ambulatory health care centres;2022;4960
38;Health expenditure for residents;HP34: Ambulatory health care centres;2023;5508
39;Health expenditure for residents;HP35: Providers home healthcare services;2021;993
40;Health expenditure for residents;HP35: Providers home healthcare services;2022;1074
41;Health expenditure for residents;HP35: Providers home healthcare services;2023;1178
42;Health expenditure for residents;HP4: Providers of ancillary services;2021;1120
43;Health expenditure for residents;HP4: Providers of ancillary services;2022;933
44;Health expenditure for residents;HP4: Providers of ancillary services;2023;878
45;Health expenditure for residents;HP41: Patient transportation, emergency;2021;500
46;Health expenditure for residents;HP41: Patient transportation, emergency;2022;487
47;Health expenditure for residents;HP41: Patient transportation, emergency;2023;592
48;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2021;620
49;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2022;446
50;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2023;286
51;Health expenditure for residents;HP5: Retailers of medical goods;2021;8230
52;Health expenditure for residents;HP5: Retailers of medical goods;2022;8319
53;Health expenditure for residents;HP5: Retailers of medical goods;2023;8604
54;Health expenditure for residents;HP51: Pharmacies;2021;4759
55;Health expenditure for residents;HP51: Pharmacies;2022;5008
56;Health expenditure for residents;HP51: Pharmacies;2023;5193
57;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2021;3471
58;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2022;3311
59;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2023;3410
60;Health expenditure for residents;HP6: Providers of preventive care;2021;6901
61;Health expenditure for residents;HP6: Providers of preventive care;2022;4667
62;Health expenditure for residents;HP6: Providers of preventive care;2023;3698
63;Health expenditure for residents;HP7: Healthcare adm. and financ.;2021;3686
64;Health expenditure for residents;HP7: Healthcare adm. and financ.;2022;3774
65;Health expenditure for residents;HP7: Healthcare adm. and financ.;2023;3844
66;Health expenditure for residents;HP71: Government health administration;2021;1394
67;Health expenditure for residents;HP71: Government health administration;2022;1398
68;Health expenditure for residents;HP71: Government health administration;2023;1370
69;Health expenditure for residents;HP72: Social health insurance agencies;2021;1797
70;Health expenditure for residents;HP72: Social health insurance agencies;2022;1849
71;Health expenditure for residents;HP72: Social health insurance agencies;2023;1939
72;Health expenditure for residents;HP73: Providers of health insurance;2021;462
73;Health expenditure for residents;HP73: Providers of health insurance;2022;488
74;Health expenditure for residents;HP73: Providers of health insurance;2023;492
75;Health expenditure for residents;HP79: Other administration agencies;2021;34
76;Health expenditure for residents;HP79: Other administration agencies;2022;38
77;Health expenditure for residents;HP79: Other administration agencies;2023;43
78;Health expenditure for residents;HP8: Rest of economy;2021;2777
79;Health expenditure for residents;HP8: Rest of economy;2022;2751
80;Health expenditure for residents;HP8: Rest of economy;2023;2685
81;Health expenditure for residents;HP81: Households prov. home health care;2021;157
82;Health expenditure for residents;HP81: Households prov. home health care;2022;139
83;Health expenditure for residents;HP81: Households prov. home health care;2023;145
84;Health expenditure for residents;HP82: Secondary providers of health care;2021;2620
85;Health expenditure for residents;HP82: Secondary providers of health care;2022;2612
86;Health expenditure for residents;HP82: Secondary providers of health care;2023;2540
87;Health expenditure for residents;HP9: Rest of the world;2021;597
88;Health expenditure for residents;HP9: Rest of the world;2022;645
89;Health expenditure for residents;HP9: Rest of the world;2023;607
90;HC1: Services of curative care;Total health care providers;2021;42429
91;HC1: Services of curative care;Total health care providers;2022;44070
92;HC1: Services of curative care;Total health care providers;2023;47766
93;HC1: Services of curative care;HP1: Hospitals;2021;28688
94;HC1: Services of curative care;HP1: Hospitals;2022;29195
95;HC1: Services of curative care;HP1: Hospitals;2023;31337
96;HC1: Services of curative care;HP11: General and university hospitals;2021;23944
97;HC1: Services of curative care;HP11: General and university hospitals;2022;24166
98;HC1: Services of curative care;HP11: General and university hospitals;2023;25903
99;HC1: Services of curative care;HP12: Mental health institutions,;2021;3997
100;HC1: Services of curative care;HP12: Mental health institutions,;2022;4291
101;HC1: Services of curative care;HP12: Mental health institutions,;2023;4641
102;HC1: Services of curative care;HP13: Specialised hospitals;2021;747
103;HC1: Services of curative care;HP13: Specialised hospitals;2022;739
104;HC1: Services of curative care;HP13: Specialised hospitals;2023;794
105;HC1: Services of curative care;HP2: Nursing and residential care facil.;2021;890
106;HC1: Services of curative care;HP2: Nursing and residential care facil.;2022;893
107;HC1: Services of curative care;HP2: Nursing and residential care facil.;2023;965
108;HC1: Services of curative care;HP21: Nursing care facilities;2021;774
109;HC1: Services of curative care;HP21: Nursing care facilities;2022;781
110;HC1: Services of curative care;HP21: Nursing care facilities;2023;842
111;HC1: Services of curative care;HP22-29: Facilities for the disabled;2021;117
112;HC1: Services of curative care;HP22-29: Facilities for the disabled;2022;112
113;HC1: Services of curative care;HP22-29: Facilities for the disabled;2023;122
114;HC1: Services of curative care;HP3: Providers of ambulatory health care;2021;11719
115;HC1: Services of curative care;HP3: Providers of ambulatory health care;2022;12661
116;HC1: Services of curative care;HP3: Providers of ambulatory health care;2023;14031
117;HC1: Services of curative care;HP31: Medical practices;2021;3523
118;HC1: Services of curative care;HP31: Medical practices;2022;3501
119;HC1: Services of curative care;HP31: Medical practices;2023;3893
120;HC1: Services of curative care;HP32: Dental practices;2021;1914
121;HC1: Services of curative care;HP32: Dental practices;2022;1931
122;HC1: Services of curative care;HP32: Dental practices;2023;2102
123;HC1: Services of curative care;HP33 : Other health care practitioners;2021;2957
124;HC1: Services of curative care;HP33 : Other health care practitioners;2022;3309
125;HC1: Services of curative care;HP33 : Other health care practitioners;2023;3626
126;HC1: Services of curative care;HP34: Ambulatory health care centres;2021;3244
127;HC1: Services of curative care;HP34: Ambulatory health care centres;2022;3844
128;HC1: Services of curative care;HP34: Ambulatory health care centres;2023;4330
129;HC1: Services of curative care;HP35: Providers home healthcare services;2021;82
130;HC1: Services of curative care;HP35: Providers home healthcare services;2022;75
131;HC1: Services of curative care;HP35: Providers home healthcare services;2023;82
132;HC1: Services of curative care;HP4: Providers of ancillary services;2021;187
133;HC1: Services of curative care;HP4: Providers of ancillary services;2022;195
134;HC1: Services of curative care;HP4: Providers of ancillary services;2023;211
135;HC1: Services of curative care;HP41: Patient transportation, emergency;2021;0
136;HC1: Services of curative care;HP41: Patient transportation, emergency;2022;0
137;HC1: Services of curative care;HP41: Patient transportation, emergency;2023;0
138;HC1: Services of curative care;HP42-49: Laboratories, other anc. serv.;2021;187
139;HC1: Services of curative care;HP42-49: Laboratories, other anc. serv.;2022;195
140;HC1: Services of curative care;HP42-49: Laboratories, other anc. serv.;2023;211
141;HC1: Services of curative care;HP5: Retailers of medical goods;2021;8
142;HC1: Services of curative care;HP5: Retailers of medical goods;2022;8
143;HC1: Services of curative care;HP5: Retailers of medical goods;2023;9
144;HC1: Services of curative care;HP51: Pharmacies;2021;5
145;HC1: Services of curative care;HP51: Pharmacies;2022;5
146;HC1: Services of curative care;HP51: Pharmacies;2023;6
147;HC1: Services of curative care;HP52-59 : Suppl. med. appliances, other;2021;3
148;HC1: Services of curative care;HP52-59 : Suppl. med. appliances, other;2022;3
149;HC1: Services of curative care;HP52-59 : Suppl. med. appliances, other;2023;3
150;HC1: Services of curative care;HP6: Providers of preventive care;2021;83
151;HC1: Services of curative care;HP6: Providers of preventive care;2022;91
152;HC1: Services of curative care;HP6: Providers of preventive care;2023;96
153;HC1: Services of curative care;HP7: Healthcare adm. and financ.;2021;4
154;HC1: Services of curative care;HP7: Healthcare adm. and financ.;2022;3
155;HC1: Services of curative care;HP7: Healthcare adm. and financ.;2023;3
156;HC1: Services of curative care;HP71: Government health administration;2021;0
157;HC1: Services of curative care;HP71: Government health administration;2022;0
158;HC1: Services of curative care;HP71: Government health administration;2023;0
159;HC1: Services of curative care;HP72: Social health insurance agencies;2021;0
160;HC1: Services of curative care;HP72: Social health insurance agencies;2022;0
161;HC1: Services of curative care;HP72: Social health insurance agencies;2023;0
162;HC1: Services of curative care;HP73: Providers of health insurance;2021;0
163;HC1: Services of curative care;HP73: Providers of health insurance;2022;0
164;HC1: Services of curative care;HP73: Providers of health insurance;2023;0
165;HC1: Services of curative care;HP79: Other administration agencies;2021;4
166;HC1: Services of curative care;HP79: Other administration agencies;2022;3
167;HC1: Services of curative care;HP79: Other administration agencies;2023;3
168;HC1: Services of curative care;HP8: Rest of economy;2021;573
169;HC1: Services of curative care;HP8: Rest of economy;2022;572
170;HC1: Services of curative care;HP8: Rest of economy;2023;633
171;HC1: Services of curative care;HP81: Households prov. home health care;2021;0
172;HC1: Services of curative care;HP81: Households prov. home health care;2022;0
173;HC1: Services of curative care;HP81: Households prov. home health care;2023;0
174;HC1: Services of curative care;HP82: Secondary providers of health care;2021;573
175;HC1: Services of curative care;HP82: Secondary providers of health care;2022;572
176;HC1: Services of curative care;HP82: Secondary providers of health care;2023;633
177;HC1: Services of curative care;HP9: Rest of the world;2021;275
178;HC1: Services of curative care;HP9: Rest of the world;2022;451
179;HC1: Services of curative care;HP9: Rest of the world;2023;480
180;HC11: In-patient curative care;Total health care providers;2021;13251
181;HC11: In-patient curative care;Total health care providers;2022;13355
182;HC11: In-patient curative care;Total health care providers;2023;14262
183;HC11: In-patient curative care;HP1: Hospitals;2021;12416
184;HC11: In-patient curative care;HP1: Hospitals;2022;12386
185;HC11: In-patient curative care;HP1: Hospitals;2023;13239
186;HC11: In-patient curative care;HP11: General and university hospitals;2021;10180
187;HC11: In-patient curative care;HP11: General and university hospitals;2022;10033
188;HC11: In-patient curative care;HP11: General and university hospitals;2023;10700
189;HC11: In-patient curative care;HP12: Mental health institutions,;2021;1977
190;HC11: In-patient curative care;HP12: Mental health institutions,;2022;2092
191;HC11: In-patient curative care;HP12: Mental health institutions,;2023;2259
192;HC11: In-patient curative care;HP13: Specialised hospitals;2021;258
