ID;SBI93;Perioden;ProducentenprijzenAfzetBinnenland_1;IngekochteGrondstoffenHalffabrikaten_2
0;15-36 Totaal industrie;1935;8.0;6.0
1;15-36 Totaal industrie;1936;8.0;6.0
2;15-36 Totaal industrie;1937;10.0;8.0
3;15-36 Totaal industrie;1938;10.0;6.0
4;15-36 Totaal industrie;1939;10.0;8.0
5;15-36 Totaal industrie;1940;12.0;11.0
6;15-36 Totaal industrie;1941;14.0;11.0
7;15-36 Totaal industrie;1942;14.0;11.0
8;15-36 Totaal industrie;1943;14.0;11.0
9;15-36 Totaal industrie;1944;15.0;11.0
10;15-36 Totaal industrie;1945;17.0;14.0
11;15-36 Totaal industrie;1946;24.0;19.0
12;15-36 Totaal industrie;1947;25.0;23.0
13;15-36 Totaal industrie;1948;26.0;24.0
14;15-36 Totaal industrie;1949;27.0;25.0
15;15-36 Totaal industrie;1950;30.0;30.0
16;15-36 Totaal industrie;1951;38.0;40.0
17;15-36 Totaal industrie;1952;36.0;39.0
18;15-36 Totaal industrie;1953;35.0;37.0
19;15-36 Totaal industrie;1954;35.0;37.0
20;15-36 Totaal industrie;1955;36.0;38.0
21;15-36 Totaal industrie;1956;36.0;40.0
22;15-36 Totaal industrie;1957;37.0;41.0
23;15-36 Totaal industrie;1958;36.0;41.0
24;15-36 Totaal industrie;1959;36.0;40.0
25;15-36 Totaal industrie;1960;36.0;39.0
26;15-36 Totaal industrie;1961;36.0;39.0
27;15-36 Totaal industrie;1962;37.0;38.0
28;15-36 Totaal industrie;1963;38.0;39.0
29;15-36 Totaal industrie;1964;40.0;40.0
30;15-36 Totaal industrie;1965;41.0;41.0
31;15-36 Totaal industrie;1966;43.0;43.0
32;15-36 Totaal industrie;1967;43.0;41.0
33;15-36 Totaal industrie;1968;44.0;41.0
34;15-36 Totaal industrie;1969;47.0;44.0
35;15-36 Totaal industrie;1970;48.0;46.0
36;15-36 Totaal industrie;1971;50.0;47.0
37;15-36 Totaal industrie;1972;53.0;47.0
38;15-36 Totaal industrie;1973;56.0;54.0
39;15-36 Totaal industrie;1974;62.0;72.0
40;15-36 Totaal industrie;1975;66.0;73.0
41;15-36 Totaal industrie;1976;71.0;79.0
42;15-36 Totaal industrie;1977;75.0;81.0
43;15-36 Totaal industrie;1978;77.0;78.0
44;15-36 Totaal industrie;1979;79.0;88.0
45;15-36 Totaal industrie;1980;85.0;104.0
46;15-36 Totaal industrie;1981;91.0;125.0
47;15-36 Totaal industrie;1982;96.0;127.0
48;15-36 Totaal industrie;1983;97.0;127.0
49;15-36 Totaal industrie;1984;102.0;137.0
50;15-36 Totaal industrie;1985;102.0;137.0
51;15-36 Totaal industrie;1986;96.0;101.0
52;15-36 Totaal industrie;1987;95.0;96.0
53;15-36 Totaal industrie;1988;96.0;94.0
54;15-36 Totaal industrie;1989;98.0;102.0
55;15-36 Totaal industrie;1990;100.0;100.0
56;15-36 Totaal industrie;1991;102.0;98.0
57;15-36 Totaal industrie;1992;102.0;94.0
58;15-36 Totaal industrie;1993;101.0;91.0
59;15-36 Totaal industrie;1994;102.0;92.0
60;15-36 Totaal industrie;1995;104.0;94.0
61;15-36 Totaal industrie;1996;106.0;98.0
62;15-36 Totaal industrie;1997;108.0;102.0
63;15-36 Totaal industrie;1998;107.0;96.0
64;15-36 Totaal industrie;1999;107.0;110.0
65;15-36 Totaal industrie;2000;116.0;125.0
66;15-36 Totaal industrie;2001;119.0;121.0
67;15-36 Totaal industrie;2002;119.0;120.0
68;15-16 Voedings- en genotmiddelen ind.;1935;12.0;
69;15-16 Voedings- en genotmiddelen ind.;1936;13.0;
70;15-16 Voedings- en genotmiddelen ind.;1937;13.0;
71;15-16 Voedings- en genotmiddelen ind.;1938;13.0;
72;15-16 Voedings- en genotmiddelen ind.;1939;13.0;
73;15-16 Voedings- en genotmiddelen ind.;1940;14.0;
74;15-16 Voedings- en genotmiddelen ind.;1941;16.0;
75;15-16 Voedings- en genotmiddelen ind.;1942;17.0;
76;15-16 Voedings- en genotmiddelen ind.;1943;17.0;
77;15-16 Voedings- en genotmiddelen ind.;1944;18.0;
78;15-16 Voedings- en genotmiddelen ind.;1945;21.0;
79;15-16 Voedings- en genotmiddelen ind.;1946;27.0;
80;15-16 Voedings- en genotmiddelen ind.;1947;28.0;
81;15-16 Voedings- en genotmiddelen ind.;1948;28.0;
82;15-16 Voedings- en genotmiddelen ind.;1949;29.0;
83;15-16 Voedings- en genotmiddelen ind.;1950;32.0;
84;15-16 Voedings- en genotmiddelen ind.;1951;38.0;
85;15-16 Voedings- en genotmiddelen ind.;1952;39.0;
86;15-16 Voedings- en genotmiddelen ind.;1953;38.0;
87;15-16 Voedings- en genotmiddelen ind.;1954;39.0;
88;15-16 Voedings- en genotmiddelen ind.;1955;38.0;
89;15-16 Voedings- en genotmiddelen ind.;1956;39.0;
90;15-16 Voedings- en genotmiddelen ind.;1957;40.0;
91;15-16 Voedings- en genotmiddelen ind.;1958;41.0;
92;15-16 Voedings- en genotmiddelen ind.;1959;41.0;
93;15-16 Voedings- en genotmiddelen ind.;1960;40.0;
94;15-16 Voedings- en genotmiddelen ind.;1961;40.0;
95;15-16 Voedings- en genotmiddelen ind.;1962;41.0;
96;15-16 Voedings- en genotmiddelen ind.;1963;42.0;
97;15-16 Voedings- en genotmiddelen ind.;1964;46.0;
98;15-16 Voedings- en genotmiddelen ind.;1965;47.0;
99;15-16 Voedings- en genotmiddelen ind.;1966;51.0;
100;15-16 Voedings- en genotmiddelen ind.;1967;51.0;
101;15-16 Voedings- en genotmiddelen ind.;1968;53.0;
102;15-16 Voedings- en genotmiddelen ind.;1969;56.0;
103;15-16 Voedings- en genotmiddelen ind.;1970;58.0;82.0
104;15-16 Voedings- en genotmiddelen ind.;1971;59.0;80.0
105;15-16 Voedings- en genotmiddelen ind.;1972;62.0;83.0
106;15-16 Voedings- en genotmiddelen ind.;1973;67.0;98.0
107;15-16 Voedings- en genotmiddelen ind.;1974;71.0;101.0
