ID;Geslacht;Onderwijssoorten;Migratieachtergrond;Generatie;WoonregioSchoolregio;Regiokenmerken;Perioden;TotaalAantalLeerlingen_1;TotaalVertraagdeLeerlingen_2;VertraagdeLeerlingenNaarHogerNiveau_3;VertraagdeLeerlingenNaarLagerNiveau_4;VertraagdeLeerlingenNaarGelijkNiveau_5;TotaalVertraagdeLeerlingen_6;VertraagdeLeerlingenNaarHogerNiveau_7;VertraagdeLeerlingenNaarLagerNiveau_8;VertraagdeLeerlingenNaarGelijkNiveau_9
0;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2003/'04 naar 2004/'05;862542.0;51784.0;7926.0;3622.0;27515.0;6.0;1.0;0.0;3.0
1;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2004/'05 naar 2005/'06;874315.0;49841.0;8660.0;3512.0;26801.0;6.0;1.0;0.0;3.0
2;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2005/'06 naar 2006/'07;912601.0;52442.0;9812.0;3600.0;28937.0;6.0;1.0;0.0;3.0
3;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2006/'07 naar 2007/'08;915245.0;53741.0;11348.0;3766.0;28902.0;6.0;1.0;0.0;3.0
4;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2007/'08 naar 2008/'09;914058.0;50076.0;11276.0;3830.0;25632.0;5.0;1.0;0.0;3.0
5;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2008/'09 naar 2009/'10;907684.0;53846.0;11018.0;4345.0;28574.0;6.0;1.0;0.0;3.0
6;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2009/'10 naar 2010/'11;908185.0;59248.0;10753.0;5053.0;31817.0;7.0;1.0;1.0;4.0
7;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2010/'11 naar 2011/'12;912913.0;;9771.0;5686.0;34038.0;;1.0;1.0;4.0
8;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2011/'12 naar 2012/'13;921929.0;;9282.0;6275.0;34412.0;;1.0;1.0;4.0
9;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2012/'13 naar 2013/'14;933093.0;;8672.0;5505.0;32661.0;;1.0;1.0;4.0
10;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2013/'14 naar 2014/'15;944888.0;;9450.0;4710.0;31314.0;;1.0;0.0;3.0
11;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2014/'15 naar 2015/'16;955795.0;;11186.0;4371.0;30666.0;;1.0;0.0;3.0
12;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2015/'16 naar 2016/'17;965564.0;;11961.0;4127.0;30512.0;;1.0;0.0;3.0
13;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2016/'17 naar 2017/'18;965700.0;;12276.0;4335.0;32580.0;;1.0;0.0;3.0
14;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Nederland;2017/'18 naar 2018/'19;955699.0;;11286.0;4802.0;34273.0;;1.0;1.0;4.0
15;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2003/'04 naar 2004/'05;89194.0;6497.0;739.0;346.0;3183.0;7.0;1.0;0.0;4.0
16;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2004/'05 naar 2005/'06;89809.0;6527.0;755.0;404.0;3351.0;7.0;1.0;0.0;4.0
17;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2005/'06 naar 2006/'07;93128.0;6363.0;891.0;370.0;3283.0;7.0;1.0;0.0;4.0
18;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2006/'07 naar 2007/'08;92570.0;6319.0;1041.0;335.0;3202.0;7.0;1.0;0.0;3.0
19;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2007/'08 naar 2008/'09;91611.0;5837.0;1054.0;353.0;2905.0;6.0;1.0;0.0;3.0
20;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2008/'09 naar 2009/'10;90865.0;6455.0;1055.0;400.0;3309.0;7.0;1.0;0.0;4.0
21;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2009/'10 naar 2010/'11;91432.0;7240.0;1063.0;499.0;3679.0;8.0;1.0;1.0;4.0
22;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2010/'11 naar 2011/'12;93041.0;;923.0;528.0;3896.0;;1.0;1.0;4.0
23;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Woonregio;Vier grote gemeenten (G4);2011/'12 naar 2012/'13;95810.0;;983.0;589.0;4000.0;;1.0;1.0;4.0
