ID;TypeZelfstandige;BedrijfstakkenBranchesSBI2008;Perioden;Zelfstandigen_1;GemiddeldPersoonlijkInkomen_2;MediaanPersoonlijkInkomen_3;GemiddeldInkomenAlsZelfstandige_4;MediaanInkomenAlsZelfstandige_5;GemiddeldGestandaardiseerdInkomen_6;MediaanGestandaardiseerdInkomen_7;ZelfstandigenMetBedrijfsvermogen_8;MediaanVermogen_9;MediaanBedrijfsvermogen_10
0;Zelfstandige;A-U Alle economische activiteiten;2007;994.8;38.4;28.8;37.2;27.3;32.9;26.5;712.7;234.7;35.7
1;Zelfstandige;A-U Alle economische activiteiten;2008;1044.9;39.1;29.4;38.2;28.0;31.5;27.0;843.9;221.2;33.0
2;Zelfstandige;A-U Alle economische activiteiten;2009;1067.8;36.9;27.0;36.0;25.8;29.8;26.0;891.9;189.5;28.9
3;Zelfstandige;A-U Alle economische activiteiten;2010;1048.1;38.6;28.5;37.5;27.2;30.8;26.4;858.1;184.6;30.0
4;Zelfstandige;A-U Alle economische activiteiten;2011;1093.1;38.8;29.4;37.6;28.0;34.9;29.6;894.9;173.2;27.8
5;Zelfstandige;A-U Alle economische activiteiten;2012;1106.2;38.1;28.2;36.9;26.9;34.7;29.3;913.9;149.0;27.2
6;Zelfstandige;A-U Alle economische activiteiten;2013;1120.2;37.9;27.8;36.4;26.4;33.9;29.0;926.3;116.9;26.2
7;Zelfstandige;A-U Alle economische activiteiten;2014;1149.7;39.1;28.9;37.6;27.4;38.5;30.4;948.7;112.5;25.7
8;Zelfstandige;A-U Alle economische activiteiten;2015;1180.0;39.8;29.9;38.3;28.3;35.7;30.9;980.7;115.5;25.1
9;Zelfstandige;A-U Alle economische activiteiten;2016;1205.9;40.6;30.9;38.9;29.6;36.6;32.0;1012.8;125.2;27.1
10;Zelfstandige;A Landbouw, bosbouw en visserij;2007;89.5;30.6;24.7;30.9;23.6;29.3;26.9;75.5;545.6;183.0
11;Zelfstandige;A Landbouw, bosbouw en visserij;2008;87.5;29.8;25.3;30.0;24.3;30.9;29.0;84.2;599.5;198.1
12;Zelfstandige;A Landbouw, bosbouw en visserij;2009;84.0;23.0;20.8;23.2;20.0;24.0;24.7;82.2;597.9;204.3
13;Zelfstandige;A Landbouw, bosbouw en visserij;2010;84.7;32.7;26.5;32.6;25.3;30.9;28.3;80.7;548.1;229.2
14;Zelfstandige;A Landbouw, bosbouw en visserij;2011;87.1;33.2;28.7;32.9;27.2;34.1;32.3;84.3;534.0;225.7
15;Zelfstandige;A Landbouw, bosbouw en visserij;2012;85.7;33.4;28.3;32.9;26.8;34.6;32.2;82.9;561.4;252.2
16;Zelfstandige;A Landbouw, bosbouw en visserij;2013;85.0;35.2;30.3;34.4;28.9;35.8;33.5;82.4;586.4;290.1
17;Zelfstandige;A Landbouw, bosbouw en visserij;2014;84.2;35.0;30.2;34.2;28.8;36.5;34.0;81.7;622.1;315.3
18;Zelfstandige;A Landbouw, bosbouw en visserij;2015;83.7;34.0;28.0;33.1;26.5;35.1;32.8;81.3;637.6;324.2
19;Zelfstandige;A Landbouw, bosbouw en visserij;2016;85.3;35.6;29.6;34.2;28.1;36.4;34.0;82.2;677.9;356.1
20;Zelfstandige;01 Landbouw;2007;88.1;30.5;24.5;30.8;23.5;29.3;27.0;74.4;550.0;185.5
21;Zelfstandige;01 Landbouw;2008;86.1;29.7;25.2;29.8;24.1;31.0;29.1;83.0;605.4;201.3
22;Zelfstandige;01 Landbouw;2009;82.7;22.8;20.6;23.0;19.9;23.9;24.7;81.0;603.6;208.2
23;Zelfstandige;01 Landbouw;2010;83.2;32.5;26.3;32.4;25.1;31.0;28.3;79.4;555.6;234.3
24;Zelfstandige;01 Landbouw;2011;85.1;33.0;28.5;32.7;27.0;34.2;32.4;82.9;543.7;230.5
25;Zelfstandige;01 Landbouw;2012;83.7;33.1;28.1;32.5;26.5;34.6;32.2;81.5;573.4;258.3
26;Zelfstandige;01 Landbouw;2013;83.0;34.9;30.1;34.0;28.6;35.8;33.5;81.0;600.8;297.2
27;Zelfstandige;01 Landbouw;2014;82.2;34.5;29.9;33.6;28.4;36.4;34.0;80.3;638.6;323.4
28;Zelfstandige;01 Landbouw;2015;81.7;33.4;27.6;32.4;26.2;34.9;32.7;79.9;655.1;332.2
29;Zelfstandige;01 Landbouw;2016;83.4;34.9;29.3;33.5;27.8;36.3;33.9;80.8;696.1;365.8
30;Zelfstandige;011 Teelt van eenjarige gewassen;2007;32.8;36.0;26.8;36.3;25.3;32.3;28.0;27.6;574.3;202.5
31;Zelfstandige;011 Teelt van eenjarige gewassen;2008;30.3;31.9;25.7;32.2;24.3;30.4;28.6;29.1;638.5;223.4
32;Zelfstandige;011 Teelt van eenjarige gewassen;2009;27.5;22.2;21.5;22.4;20.3;22.3;25.2;26.8;649.1;236.4
33;Zelfstandige;011 Teelt van eenjarige gewassen;2010;19.8;40.3;30.5;40.4;28.6;35.4;31.4;18.6;653.4;272.3
34;Zelfstandige;011 Teelt van eenjarige gewassen;2011;19.9;37.1;30.5;36.6;28.4;37.0;34.7;19.3;638.4;268.9
35;Zelfstandige;011 Teelt van eenjarige gewassen;2012;18.4;36.8;29.9;36.2;27.6;37.0;34.4;17.9;664.3;288.2
36;Zelfstandige;011 Teelt van eenjarige gewassen;2013;17.8;41.5;34.1;40.5;31.6;40.3;36.7;17.4;691.2;325.8
37;Zelfstandige;011 Teelt van eenjarige gewassen;2014;18.0;39.1;31.9;37.8;29.7;39.9;36.1;17.6;719.1;347.0
38;Zelfstandige;011 Teelt van eenjarige gewassen;2015;17.8;44.1;33.2;42.7;30.7;42.2;37.2;17.5;746.4;359.9
39;Zelfstandige;011 Teelt van eenjarige gewassen;2016;17.0;44.0;33.9;42.1;31.8;42.4;37.8;16.5;792.3;400.1
40;Zelfstandige;0111 Teelt van granen en peulvruchten;2007;20.8;35.0;25.4;34.8;23.8;32.1;27.8;17.3;599.7;250.1
41;Zelfstandige;0111 Teelt van granen en peulvruchten;2008;18.9;35.0;26.3;34.9;24.5;34.4;30.1;18.3;683.2;279.4
42;Zelfstandige;0111 Teelt van granen en peulvruchten;2009;16.9;28.5;22.2;28.7;20.6;28.7;26.3;16.6;728.3;312.8
43;Zelfstandige;0111 Teelt van granen en peulvruchten;2010;9.4;40.3;30.3;40.6;27.8;37.6;32.6;8.7;732.3;350.5
44;Zelfstandige;0111 Teelt van granen en peulvruchten;2011;9.2;41.8;32.0;41.1;28.9;41.6;37.1;9.0;714.4;347.3
45;Zelfstandige;0111 Teelt van granen en peulvruchten;2012;8.0;38.0;30.3;37.1;27.0;39.6;35.7;7.8;793.2;389.7
46;Zelfstandige;0111 Teelt van granen en peulvruchten;2013;7.6;45.5;35.8;44.0;32.6;44.9;39.4;7.5;855.0;457.2
47;Zelfstandige;0111 Teelt van granen en peulvruchten;2014;7.8;38.9;30.9;36.8;27.8;40.7;36.7;7.7;879.5;480.6
48;Zelfstandige;0111 Teelt van granen en peulvruchten;2015;7.8;38.4;30.3;36.4;27.5;40.2;36.8;7.6;915.8;495.1
49;Zelfstandige;0111 Teelt van granen en peulvruchten;2016;6.8;39.9;32.6;37.2;29.6;41.2;37.6;6.6;978.3;571.4
50;Zelfstandige;0113 Teelt van groenten en knolgewassen;2007;12.1;37.8;29.3;38.9;28.6;32.7;28.6;10.3;526.1;134.0
51;Zelfstandige;0113 Teelt van groenten en knolgewassen;2008;11.4;26.7;24.3;27.7;23.9;23.8;26.0;10.8;551.2;136.3
52;Zelfstandige;0113 Teelt van groenten en knolgewassen;2009;10.6;12.1;20.2;12.3;19.8;12.1;23.4;10.2;526.9;130.1
53;Zelfstandige;0113 Teelt van groenten en knolgewassen;2010;6.2;46.5;34.6;46.2;33.2;37.7;32.5;5.9;656.0;269.3
54;Zelfstandige;0113 Teelt van groenten en knolgewassen;2011;6.4;34.4;31.7;34.2;30.1;34.2;34.0;6.2;637.3;264.8
55;Zelfstandige;0113 Teelt van groenten en knolgewassen;2012;6.4;38.6;31.6;38.6;30.1;37.0;35.0;6.2;649.7;284.2
56;Zelfstandige;0113 Teelt van groenten en knolgewassen;2013;6.3;43.0;36.5;42.6;34.8;40.0;36.9;6.2;674.1;323.9
57;Zelfstandige;0113 Teelt van groenten en knolgewassen;2014;6.4;38.9;34.5;38.3;33.0;38.8;36.5;6.2;716.2;360.9
58;Zelfstandige;0113 Teelt van groenten en knolgewassen;2015;6.3;51.5;37.4;50.8;35.4;46.0;39.3;6.1;748.6;363.5
59;Zelfstandige;0113 Teelt van groenten en knolgewassen;2016;6.4;48.3;36.8;47.0;34.5;44.5;39.1;6.1;794.5;412.1
60;Zelfstandige;0116 Teelt van vezelgewassen;2007;0.0;;;;;;;;;
61;Zelfstandige;0116 Teelt van vezelgewassen;2008;0.0;;;;;;;;;
