ID;Geslacht;LeeftijdOp31December;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;PeriodeLevensverwachting_4
0;Mannen;0 jaar;2014;0.00313;100000;313;79.9
1;Mannen;0 jaar;2015;0.003;100000;300;80.1
2;Mannen;0 jaar;2016;0.00288;100000;288;80.26
3;Mannen;0 jaar;2017;0.00277;100000;277;80.42
4;Mannen;0 jaar;2018;0.00266;100000;266;80.58
5;Mannen;0 jaar;2019;0.00255;100000;255;80.74
6;Mannen;0 jaar;2020;0.00245;100000;245;80.9
7;Mannen;0 jaar;2021;0.00235;100000;235;81.07
8;Mannen;0 jaar;2022;0.00225;100000;225;81.25
9;Mannen;0 jaar;2023;0.00216;100000;216;81.42
10;Mannen;0 jaar;2024;0.00206;100000;206;81.6
11;Mannen;0 jaar;2025;0.00198;100000;198;81.77
12;Mannen;0 jaar;2026;0.00189;100000;190;81.94
13;Mannen;0 jaar;2027;0.00181;100000;182;82.11
14;Mannen;0 jaar;2028;0.00174;100000;174;82.28
15;Mannen;0 jaar;2029;0.00166;100000;166;82.44
16;Mannen;0 jaar;2030;0.00159;100000;159;82.61
17;Mannen;0 jaar;2031;0.00153;100000;153;82.77
18;Mannen;0 jaar;2032;0.00146;100000;146;82.93
19;Mannen;0 jaar;2033;0.0014;100000;140;83.1
20;Mannen;0 jaar;2034;0.00134;100000;134;83.26
21;Mannen;0 jaar;2035;0.00128;100000;128;83.42
22;Mannen;0 jaar;2036;0.00123;100000;123;83.57
23;Mannen;0 jaar;2037;0.00117;100000;117;83.73
24;Mannen;0 jaar;2038;0.00112;100000;112;83.89
25;Mannen;0 jaar;2039;0.00107;100000;107;84.04
26;Mannen;0 jaar;2040;0.00103;100000;103;84.19
27;Mannen;0 jaar;2041;0.00098;100000;98;84.35
28;Mannen;0 jaar;2042;0.00094;100000;94;84.5
29;Mannen;0 jaar;2043;0.0009;100000;90;84.65
30;Mannen;0 jaar;2044;0.00086;100000;86;84.8
31;Mannen;0 jaar;2045;0.00082;100000;82;84.94
32;Mannen;0 jaar;2046;0.00079;100000;79;85.09
33;Mannen;0 jaar;2047;0.00075;100000;75;85.24
34;Mannen;0 jaar;2048;0.00072;100000;72;85.38
35;Mannen;0 jaar;2049;0.00069;100000;69;85.52
36;Mannen;0 jaar;2050;0.00066;100000;66;85.66
37;Mannen;0 jaar;2051;0.00063;100000;63;85.81
38;Mannen;0 jaar;2052;0.0006;100000;60;85.95
39;Mannen;0 jaar;2053;0.00058;100000;58;86.08
40;Mannen;0 jaar;2054;0.00055;100000;55;86.22
41;Mannen;0 jaar;2055;0.00053;100000;53;86.36
42;Mannen;0 jaar;2056;0.0005;100000;50;86.49
43;Mannen;0 jaar;2057;0.00048;100000;48;86.63
44;Mannen;0 jaar;2058;0.00046;100000;46;86.76
45;Mannen;0 jaar;2059;0.00044;100000;44;86.89
46;Mannen;0 jaar;2060;0.00042;100000;42;87.02
47;Mannen;1 jaar;2014;0.00052;99687;51;79.65
48;Mannen;1 jaar;2015;0.00049;99700;49;79.84
49;Mannen;1 jaar;2016;0.00047;99712;47;79.99
50;Mannen;1 jaar;2017;0.00046;99724;45;80.15
51;Mannen;1 jaar;2018;0.00044;99734;44;80.3
52;Mannen;1 jaar;2019;0.00042;99745;42;80.45
53;Mannen;1 jaar;2020;0.0004;99755;40;80.6
54;Mannen;1 jaar;2021;0.00039;99765;39;80.76
55;Mannen;1 jaar;2022;0.00037;99775;37;80.93
56;Mannen;1 jaar;2023;0.00035;99784;35;81.1
57;Mannen;1 jaar;2024;0.00034;99794;34;81.27
58;Mannen;1 jaar;2025;0.00033;99802;33;81.43
59;Mannen;1 jaar;2026;0.00031;99811;31;81.59
60;Mannen;1 jaar;2027;0.0003;99819;30;81.76
61;Mannen;1 jaar;2028;0.00029;99826;29;81.92
62;Mannen;1 jaar;2029;0.00027;99834;27;82.08
63;Mannen;1 jaar;2030;0.00026;99841;26;82.24
64;Mannen;1 jaar;2031;0.00025;99847;25;82.4
65;Mannen;1 jaar;2032;0.00024;99854;24;82.56
66;Mannen;1 jaar;2033;0.00023;99860;23;82.71
67;Mannen;1 jaar;2034;0.00022;99866;22;82.87
68;Mannen;1 jaar;2035;0.00021;99872;21;83.02
69;Mannen;1 jaar;2036;0.0002;99877;20;83.18
70;Mannen;1 jaar;2037;0.00019;99883;19;83.33
71;Mannen;1 jaar;2038;0.00018;99888;18;83.48
72;Mannen;1 jaar;2039;0.00018;99893;18;83.63
73;Mannen;1 jaar;2040;0.00017;99897;17;83.78
74;Mannen;1 jaar;2041;0.00016;99902;16;83.93
75;Mannen;1 jaar;2042;0.00016;99906;15;84.08
76;Mannen;1 jaar;2043;0.00015;99910;15;84.22
77;Mannen;1 jaar;2044;0.00014;99914;14;84.37
78;Mannen;1 jaar;2045;0.00013;99918;13;84.51
79;Mannen;1 jaar;2046;0.00013;99921;13;84.66
80;Mannen;1 jaar;2047;0.00012;99925;12;84.8
81;Mannen;1 jaar;2048;0.00012;99928;12;84.94
82;Mannen;1 jaar;2049;0.00011;99931;11;85.08
83;Mannen;1 jaar;2050;0.00011;99934;11;85.22
84;Mannen;1 jaar;2051;0.0001;99937;10;85.36
85;Mannen;1 jaar;2052;0.0001;99940;10;85.5
86;Mannen;1 jaar;2053;0.0001;99942;9;85.63
87;Mannen;1 jaar;2054;9e-05;99945;9;85.77
88;Mannen;1 jaar;2055;9e-05;99947;9;85.9
89;Mannen;1 jaar;2056;8e-05;99950;8;86.04
90;Mannen;1 jaar;2057;8e-05;99952;8;86.17
