ID;KenmerkenVanHetHuishouden;RegioS;Perioden;AantalHuishoudens_1;AandeelHuishoudensPerRegio_2;PersonenPerHuishouden_3;TotaalVermogen_4;GemiddeldVermogen_5;MediaanVermogen_6
0;Particuliere huishoudens;Nederland;2011;7337.3;100.0;2.2;1193.3;162.6;29.8
1;Particuliere huishoudens;Nederland;2012;7406.4;100.0;2.2;1180.0;159.3;27.1
2;Particuliere huishoudens;Nederland;2013;7458.1;100.0;2.2;1085.0;145.5;19.2
3;Particuliere huishoudens;Nederland;2014;7480.8;100.0;2.2;1189.5;159.0;19.4
4;Particuliere huishoudens;Noord-Nederland (LD);2011;762.1;100.0;2.2;107.8;141.4;35.8
5;Particuliere huishoudens;Noord-Nederland (LD);2012;767.5;100.0;2.2;107.0;139.4;32.2
6;Particuliere huishoudens;Noord-Nederland (LD);2013;771.4;100.0;2.2;98.0;127.1;22.5
7;Particuliere huishoudens;Noord-Nederland (LD);2014;772.3;100.0;2.2;104.1;134.7;21.9
8;Particuliere huishoudens;Oost-Nederland (LD);2011;1481.1;100.0;2.3;240.8;162.6;37.8
9;Particuliere huishoudens;Oost-Nederland (LD);2012;1495.6;100.0;2.3;238.0;159.1;34.0
10;Particuliere huishoudens;Oost-Nederland (LD);2013;1508.4;100.0;2.3;217.4;144.2;23.6
11;Particuliere huishoudens;Oost-Nederland (LD);2014;1511.4;100.0;2.3;236.0;156.1;23.2
12;Particuliere huishoudens;West-Nederland (LD);2011;3538.1;100.0;2.1;574.0;162.2;22.8
13;Particuliere huishoudens;West-Nederland (LD);2012;3572.7;100.0;2.1;568.3;159.1;20.7
14;Particuliere huishoudens;West-Nederland (LD);2013;3596.4;100.0;2.1;525.4;146.1;13.2
15;Particuliere huishoudens;West-Nederland (LD);2014;3609.5;100.0;2.1;583.6;161.7;13.7
16;Particuliere huishoudens;Zuid-Nederland (LD);2011;1555.9;100.0;2.2;270.8;174.1;50.8
17;Particuliere huishoudens;Zuid-Nederland (LD);2012;1570.5;100.0;2.2;266.7;169.8;46.1
18;Particuliere huishoudens;Zuid-Nederland (LD);2013;1582.0;100.0;2.2;244.1;154.3;32.3
19;Particuliere huishoudens;Zuid-Nederland (LD);2014;1587.6;100.0;2.2;265.9;167.5;32.3
20;Particuliere huishoudens;Groningen (PV);2011;274.2;100.0;2.0;32.2;117.3;19.4
21;Particuliere huishoudens;Groningen (PV);2012;277.0;100.0;2.0;32.3;116.8;16.9
22;Particuliere huishoudens;Groningen (PV);2013;278.6;100.0;2.0;29.7;106.4;10.9
23;Particuliere huishoudens;Groningen (PV);2014;279.0;100.0;2.0;31.3;112.0;10.9
24;Particuliere huishoudens;Friesland (PV);2011;279.3;100.0;2.3;42.1;150.8;46.2
25;Particuliere huishoudens;Friesland (PV);2012;280.8;100.0;2.2;41.7;148.6;42.4
26;Particuliere huishoudens;Friesland (PV);2013;282.1;100.0;2.2;38.4;136.0;29.0
27;Particuliere huishoudens;Friesland (PV);2014;282.9;100.0;2.2;41.0;144.9;27.9
28;Particuliere huishoudens;Drenthe (PV);2011;208.6;100.0;2.3;33.5;160.4;55.7
29;Particuliere huishoudens;Drenthe (PV);2012;209.8;100.0;2.3;32.9;157.0;52.2
30;Particuliere huishoudens;Drenthe (PV);2013;210.6;100.0;2.3;30.0;142.3;35.9
31;Particuliere huishoudens;Drenthe (PV);2014;210.4;100.0;2.3;31.8;151.2;35.9
32;Particuliere huishoudens;Overijssel (PV);2011;474.2;100.0;2.3;73.7;155.4;37.3
33;Particuliere huishoudens;Overijssel (PV);2012;477.5;100.0;2.3;73.5;153.9;34.3
34;Particuliere huishoudens;Overijssel (PV);2013;480.5;100.0;2.3;68.1;141.7;24.5
35;Particuliere huishoudens;Overijssel (PV);2014;479.4;100.0;2.3;73.3;152.9;24.5
36;Particuliere huishoudens;Flevoland (PV);2011;156.9;100.0;2.4;15.0;95.3;12.0
37;Particuliere huishoudens;Flevoland (PV);2012;159.6;100.0;2.4;15.3;96.0;9.9
38;Particuliere huishoudens;Flevoland (PV);2013;161.3;100.0;2.4;13.4;83.1;4.1
39;Particuliere huishoudens;Flevoland (PV);2014;162.0;100.0;2.4;15.1;93.5;4.5
40;Particuliere huishoudens;Gelderland (PV);2011;850.0;100.0;2.3;152.1;179.0;46.2
41;Particuliere huishoudens;Gelderland (PV);2012;858.5;100.0;2.3;149.2;173.8;42.1
42;Particuliere huishoudens;Gelderland (PV);2013;866.6;100.0;2.3;136.0;156.9;28.5
43;Particuliere huishoudens;Gelderland (PV);2014;870.0;100.0;2.2;147.5;169.5;27.5
44;Particuliere huishoudens;Utrecht (PV);2011;542.0;100.0;2.2;102.6;189.4;32.3
45;Particuliere huishoudens;Utrecht (PV);2012;546.8;100.0;2.2;100.9;184.6;29.9
46;Particuliere huishoudens;Utrecht (PV);2013;551.4;100.0;2.2;93.4;169.4;21.1
47;Particuliere huishoudens;Utrecht (PV);2014;554.6;100.0;2.2;102.6;185.0;21.6
