ID;Geslacht;PositieWerkkring;Persoonskenmerken;Werktijden;WerkzaamBuitenKantoortijden;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2003;7783.0
1;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2004;7761.0
2;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2005;7818.0
3;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2006;7938.0
4;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2007;8169.0
5;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2008;8358.0
6;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2009;8361.0
7;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2010;8278.0
8;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2011;8280.0
9;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2012;8330.0
10;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2013;8266.0
11;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2014;8214.0
12;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2015;8294.0
13;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2016;8403.0
14;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2017;8579.0
15;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2018;8774.0
16;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2019;8953.0
17;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Totaal;2020;8951.0
18;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2003;2404.0
19;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2004;2446.0
20;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2005;2476.0
21;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2006;2528.0
22;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2007;2586.0
23;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2008;2639.0
24;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2009;2769.0
25;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2010;2621.0
26;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2011;2527.0
27;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2012;2508.0
28;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2013;2628.0
29;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2014;2579.0
30;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2015;2600.0
31;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2016;2671.0
32;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2017;2758.0
33;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2018;2756.0
34;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2019;2727.0
35;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de avond;2020;2596.0
36;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2003;755.0
37;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2004;757.0
38;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2005;776.0
39;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2006;789.0
40;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2007;776.0
41;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2008;774.0
42;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2009;819.0
43;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2010;753.0
44;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2011;684.0
45;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2012;685.0
46;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2013;703.0
47;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2014;673.0
48;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2015;664.0
49;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2016;699.0
50;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2017;732.0
51;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2018;756.0
52;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2019;707.0
53;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam in de nacht;2020;677.0
54;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;Regelmatig werkzaam op zaterdag;2003;2292.0
