ID;Sex;Characteristics;CaribbeanNetherlands;Periods;Persons_1;PersonalGrossIncomeMean_2;PersonalGrossIncomeMedian_3;PersonalIncomeMean_4;PersonalIncomeMedian_5
0;Total male and female;Total persons;Caribbean Netherlands;2011;12500.0;24.8;17.0;23.1;16.5
1;Total male and female;Total persons;Caribbean Netherlands;2012;13000.0;25.7;17.8;24.0;17.2
2;Total male and female;Total persons;Caribbean Netherlands;2013;13850.0;26.3;18.5;24.5;18.0
3;Total male and female;Total persons;Caribbean Netherlands;2014;14300.0;27.1;19.0;25.2;18.5
4;Total male and female;Total persons;Caribbean Netherlands;2015;14900.0;27.5;19.2;25.5;18.6
5;Total male and female;Total persons;Caribbean Netherlands;2016;15650.0;28.6;19.8;25.7;19.1
6;Total male and female;Total persons;Caribbean Netherlands;2017;16350.0;29.5;20.5;26.5;19.8
7;Total male and female;Total persons;Caribbean Netherlands;2018;16900.0;29.8;21.2;26.9;20.4
8;Total male and female;Total persons;Caribbean Netherlands;2019;17550.0;29.9;20.7;26.9;20.1
9;Total male and female;Total persons;Caribbean Netherlands;2020;18050.0;30.1;20.6;27.1;20.1
10;Total male and female;Total persons;Caribbean Netherlands;2021;18650.0;30.3;20.6;27.4;19.9
11;Total male and female;Total persons;Caribbean Netherlands;2022;19400.0;31.7;22.3;28.5;21.4
12;Total male and female;Total persons;Bonaire;2011;10150.0;23.5;16.5;22.0;16.1
13;Total male and female;Total persons;Bonaire;2012;10600.0;24.2;16.9;22.7;16.5
14;Total male and female;Total persons;Bonaire;2013;11250.0;24.9;17.7;23.3;17.3
15;Total male and female;Total persons;Bonaire;2014;11650.0;25.6;18.1;24.0;17.6
16;Total male and female;Total persons;Bonaire;2015;12150.0;25.8;18.5;24.0;17.9
17;Total male and female;Total persons;Bonaire;2016;12800.0;27.3;19.1;24.4;18.4
18;Total male and female;Total persons;Bonaire;2017;13350.0;28.1;19.6;25.0;18.9
19;Total male and female;Total persons;Bonaire;2018;13800.0;28.4;20.2;25.4;19.5
20;Total male and female;Total persons;Bonaire;2019;14400.0;28.5;20.0;25.5;19.4
21;Total male and female;Total persons;Bonaire;2020;14900.0;28.7;19.8;25.8;19.2
22;Total male and female;Total persons;Bonaire;2021;15400.0;29.2;19.8;26.2;19.1
23;Total male and female;Total persons;Bonaire;2022;16000.0;30.6;21.5;27.3;20.6
24;Total male and female;Total persons;St. Eustatius;2011;1450.0;31.8;22.2;29.4;20.9
25;Total male and female;Total persons;St. Eustatius;2012;1550.0;33.7;23.5;31.1;22.4
26;Total male and female;Total persons;St. Eustatius;2013;1650.0;34.4;24.2;31.7;23.1
27;Total male and female;Total persons;St. Eustatius;2014;1650.0;34.9;25.5;32.2;24.4
28;Total male and female;Total persons;St. Eustatius;2015;1700.0;37.3;26.4;34.6;25.1
