ID;ArbeidspositieEindePeriode;LangdurigeAandoening;Persoonskenmerken;Perioden;Personen15Tot65JaarBeginPeriode_1;WerkzameBeroepsbevolkingBeginPeriode_2;WerklozenNietActievenBeginPeriode_3
0;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2003 1e kwartaal;10893.0;6945.0;3948.0
1;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2003 2e kwartaal;10906.0;6959.0;3948.0
2;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2003 3e kwartaal;10906.0;7022.0;3884.0
3;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2003 4e kwartaal;10913.0;6945.0;3968.0
4;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2003;10903.0;6969.0;3934.0
5;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2004 1e kwartaal;10919.0;6894.0;4025.0
6;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2004 2e kwartaal;10923.0;6933.0;3990.0
7;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2004 3e kwartaal;10927.0;7004.0;3923.0
8;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2004 4e kwartaal;10931.0;6933.0;3998.0
9;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2004;10925.0;6941.0;3984.0
10;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2005 1e kwartaal;10935.0;6881.0;4054.0
11;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2005 2e kwartaal;10938.0;6959.0;3979.0
12;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2005 3e kwartaal;10941.0;7042.0;3900.0
13;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2005 4e kwartaal;10945.0;7010.0;3934.0
14;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2005;10940.0;6973.0;3967.0
15;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2006 1e kwartaal;10948.0;6994.0;3953.0
16;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2006 2e kwartaal;10950.0;7060.0;3890.0
17;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2006 3e kwartaal;10951.0;7170.0;3781.0
18;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2006 4e kwartaal;10956.0;7165.0;3791.0
19;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2006;10952.0;7097.0;3854.0
20;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2008 1e kwartaal;10984.0;7396.0;3588.0
21;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2008 2e kwartaal;10992.0;7495.0;3497.0
22;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2008 3e kwartaal;11001.0;7578.0;3423.0
23;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2008 4e kwartaal;11010.0;7534.0;3476.0
24;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2008;10997.0;7501.0;3496.0
25;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2009 1e kwartaal;11014.0;7500.0;3514.0
26;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2009 2e kwartaal;11014.0;7495.0;3518.0
27;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2009 3e kwartaal;11014.0;7499.0;3514.0
28;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2009 4e kwartaal;11013.0;7382.0;3631.0
29;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2009;11014.0;7469.0;3545.0
30;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2010 1e kwartaal;11014.0;7312.0;3702.0
31;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;Totaal persoonskenmerken;2010 2e kwartaal;11016.0;7370.0;3646.0
