ID;Geslacht;Leeftijd;Zorgkenmerken;DiagnosenGGZ;Perioden;PrimaireDiagnoses_1;PrimaireEnNevendiagnoses_2;PrimaireDiagnoses_3;PrimaireEnNevendiagnoses_4;PrimaireDiagnoses_5;PrimaireEnNevendiagnoses_6;PrimaireDiagnoses_7;PrimaireEnNevendiagnoses_8
0;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2009;1414880.0;1414880;8559.0;8559;979160.0;979160;5923.0;5923
1;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2010;1491570.0;1491570;8977.0;8977;1084730.0;1084730;6528.0;6528
2;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2011;1495650.0;1495650;8960.0;8960;1066035.0;1066035;6386.0;6386
3;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2012;1358840.0;1358840;8110.0;8110;977405.0;977405;5834.0;5834
4;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2013;1403315.0;1403315;8351.0;8351;998960.0;998960;5945.0;5945
5;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2014;1249120.0;1249120;7407.0;7407;978315.0;978315;5801.0;5801
6;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2015;866560.0;866560;5115.0;5115;621065.0;621065;3666.0;3666
7;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;Totaal alle diagnosen;2016;860450.0;860450;5052.0;5052;613110.0;613110;3600.0;3600
8;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;1 Totaal stoornissen in de kindertijd;2009;219365.0;268830;1327.0;1626;138710.0;170470;839.0;1031
9;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;1 Totaal stoornissen in de kindertijd;2010;250675.0;306080;1509.0;1842;170430.0;208415;1026.0;1254
10;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;1 Totaal stoornissen in de kindertijd;2011;274895.0;334140;1647.0;2002;182350.0;221870;1092.0;1329
11;Totaal mannen en vrouwen;Totaal;Totaal zorgtrajecten;1 Totaal stoornissen in de kindertijd;2012;298295.0;357755;1780.0;2135;195725.0;236015;1168.0;1409
