ID;Persoonskenmerken;Perioden;DaklozeMensen_1;DaklozeMensenRelatief_2
0;Totaal personen;2022;26.6;100
1;Totaal personen;2023;30.6;100
2;Totaal personen;2024;33.0;100
3;Geslacht: mannen;2022;21.7;82
4;Geslacht: mannen;2023;24.5;80
5;Geslacht: mannen;2024;27.3;83
6;Geslacht: vrouwen;2022;4.9;18
7;Geslacht: vrouwen;2023;6.1;20
8;Geslacht: vrouwen;2024;5.6;17
9;Leeftijd: 18 tot 27 jaar;2022;5.0;19
10;Leeftijd: 18 tot 27 jaar;2023;6.2;20
11;Leeftijd: 18 tot 27 jaar;2024;6.2;19
12;Leeftijd: 27 tot 50 jaar;2022;16.1;61
13;Leeftijd: 27 tot 50 jaar;2023;18.6;61
14;Leeftijd: 27 tot 50 jaar;2024;20.0;61
15;Leeftijd: 50 tot 65 jaar;2022;5.4;20
16;Leeftijd: 50 tot 65 jaar;2023;5.8;19
17;Leeftijd: 50 tot 65 jaar;2024;6.7;20
18;Ingeschreven in een van de G4;2022;10.2;38
19;Ingeschreven in een van de G4;2023;11.0;36
20;Ingeschreven in een van de G4;2024;10.6;32
21;Ingeschreven in andere gemeente;2022;16.3;61
22;Ingeschreven in andere gemeente;2023;19.6;64
23;Ingeschreven in andere gemeente;2024;22.3;68
24;Herkomst: geb. in NL, ouders in NL;2022;9.9;37
25;Herkomst: geb. in NL, ouders in NL;2023;10.9;36
26;Herkomst: geb. in NL, ouders in NL;2024;10.9;33
27;Herkomst: geb. in NL, ouder(s) in Europa;2022;0.6;2
28;Herkomst: geb. in NL, ouder(s) in Europa;2023;1.0;3
29;Herkomst: geb. in NL, ouder(s) in Europa;2024;1.0;3
30;Herkomst: geb. NL, ouder(s) buit. Europa;2022;5.6;21
31;Herkomst: geb. NL, ouder(s) buit. Europa;2023;6.2;20
32;Herkomst: geb. NL, ouder(s) buit. Europa;2024;6.0;18
33;Herkomst: geboren in Europa (excl. NL);2022;1.3;5
34;Herkomst: geboren in Europa (excl. NL);2023;2.3;8
35;Herkomst: geboren in Europa (excl. NL);2024;2.9;9
36;Herkomst: geboren buiten Europa;2022;9.1;34
37;Herkomst: geboren buiten Europa;2023;10.3;34
38;Herkomst: geboren buiten Europa;2024;12.2;37
39;Herkomstland: Nederland;2022;9.9;37
40;Herkomstland: Nederland;2023;10.9;36
41;Herkomstland: Nederland;2024;10.9;33
42;Herkomstland: Europa (excl. Nederland);2022;1.9;7
43;Herkomstland: Europa (excl. Nederland);2023;3.3;11
44;Herkomstland: Europa (excl. Nederland);2024;3.9;12
45;Herkomstland: Buiten Europa;2022;14.7;55
46;Herkomstland: Buiten Europa;2023;16.5;54
47;Herkomstland: Buiten Europa;2024;18.2;55
