ID;Geslacht;Leeftijd;SoortOpname;DiagnoseIndelingISHMT;Perioden;Opnamen_1;OpnamenPer10000Inwoners_2;PersMet1OfMeerOpnamen_3;PersMet1OfMeerOpnPer10000Inw_4;Verpleegdagen_5;VerpleegdagenPer10000Inwoners_6;GemiddeldeVerpleegduur_7
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2013;3906510.0;2280.4;2229520.0;1301.5;;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2014;3395150.0;1973.8;2042425.0;1187.4;;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2015;3280115.0;1897.5;2000360.0;1157.2;;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2016;3275660.0;1883.8;1985750.0;1142.0;;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2017;3164440.0;1809.3;1927205.0;1101.9;;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2018;3088055.0;1754.7;1877275.0;1066.7;;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2019;3114065.0;1757.0;1874600.0;1057.7;;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2020;2736480.0;1537.5;1646145.0;924.9;;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2021;2848555.0;1590.7;1716150.0;958.3;;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2022;2921495.0;1609.1;1783430.0;982.3;;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2013;38925.0;22.7;34255.0;20.0;;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2014;36710.0;21.3;32540.0;18.9;;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2015;38200.0;22.1;34545.0;20.0;;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2016;43875.0;25.2;39715.0;22.8;;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2017;41680.0;23.8;38080.0;21.8;;;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2018;41740.0;23.7;38260.0;21.7;;;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2019;39315.0;22.2;35950.0;20.3;;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2020;28365.0;15.9;25935.0;14.6;;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2021;30955.0;17.3;28300.0;15.8;;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2022;33945.0;18.7;31365.0;17.3;;;
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2013;8030.0;4.7;7680.0;4.5;;;
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2014;6930.0;4.0;6610.0;3.8;;;
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2015;8500.0;4.9;8095.0;4.7;;;
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2016;8095.0;4.7;7695.0;4.4;;;
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2017;7635.0;4.4;7210.0;4.1;;;
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2018;7575.0;4.3;7175.0;4.1;;;
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2019;6935.0;3.9;6645.0;3.7;;;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2020;4130.0;2.3;3925.0;2.2;;;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2021;5635.0;3.1;5300.0;3.0;;;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal..;2022;6150.0;3.4;5815.0;3.2;;;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2013;3325.0;1.9;3215.0;1.9;;;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2014;2210.0;1.3;2150.0;1.3;;;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2015;4275.0;2.5;4125.0;2.4;;;
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2016;9420.0;5.4;9065.0;5.2;;;
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2017;8655.0;4.9;8370.0;4.8;;;
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2018;9310.0;5.3;8900.0;5.1;;;
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2019;8415.0;4.7;8060.0;4.5;;;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2020;5995.0;3.4;5755.0;3.2;;;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2021;6885.0;3.8;6625.0;3.7;;;
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Diarree en infect. gastro-enteritis;2022;7130.0;3.9;6875.0;3.8;;;
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2013;515.0;0.3;445.0;0.3;;;
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2014;515.0;0.3;400.0;0.2;;;
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2015;550.0;0.3;385.0;0.2;;;
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2016;555.0;0.3;425.0;0.2;;;
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2017;495.0;0.3;385.0;0.2;;;
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2018;540.0;0.3;405.0;0.2;;;
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2019;450.0;0.3;355.0;0.2;;;
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2020;375.0;0.2;295.0;0.2;;;
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2021;435.0;0.2;345.0;0.2;;;
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.3 Tuberculose;2022;365.0;0.2;275.0;0.2;;;
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2013;5940.0;3.5;5680.0;3.3;;;
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2014;6595.0;3.8;6320.0;3.7;;;
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2015;5725.0;3.3;5505.0;3.2;;;
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2016;5265.0;3.0;5060.0;2.9;;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2017;4525.0;2.6;4345.0;2.5;;;
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2018;4360.0;2.5;4190.0;2.4;;;
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2019;3860.0;2.2;3735.0;2.1;;;
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.4 Sepsis;2020;2840.0;1.6;2760.0;1.6;;;
