ID;EmploymentType;Sex;Periods;EmployedPersons_1;Jobs_2;HoursWorked_3;HoursWorkedPerEmployedPerson_4;HoursWorkedPerJob_5;EmployedPersons_6;Jobs_7;HoursWorked_8;HoursWorkedPerEmployedPerson_9;HoursWorkedPerJob_10
0;Total;Total male and female;2010 1st quarter;8689;9727;3180;366;327;8746.0;9780.0;3123.0;357.0;319.0
1;Total;Total male and female;2010 2nd quarter;8800;9876;2952;335;299;8778.0;9837.0;3141.0;358.0;319.0
2;Total;Total male and female;2010 3rd quarter;8821;9875;3027;343;307;8789.0;9846.0;3179.0;362.0;323.0
3;Total;Total male and female;2010 4th quarter;8804;9850;3396;386;345;8802.0;9860.0;3176.0;361.0;322.0
4;Total;Total male and female;2010;8779;9832;12555;1430;1277;;;;;
5;Total;Total male and female;2011 1st quarter;8779;9876;3246;370;329;8820.0;9915.0;3169.0;359.0;320.0
6;Total;Total male and female;2011 2nd quarter;8858;9989;3018;341;302;8849.0;9959.0;3142.0;355.0;316.0
7;Total;Total male and female;2011 3rd quarter;8897;10002;3051;343;305;8858.0;9972.0;3192.0;360.0;320.0
8;Total;Total male and female;2011 4th quarter;8863;9976;3347;378;336;8855.0;9970.0;3202.0;362.0;321.0
9;Total;Total male and female;2011;8850;9961;12662;1431;1271;;;;;
10;Total;Total male and female;2012 1st quarter;8791;9885;3281;373;332;8856.0;9964.0;3179.0;359.0;319.0
11;Total;Total male and female;2012 2nd quarter;8862;9992;3030;342;303;8843.0;9944.0;3173.0;359.0;319.0
12;Total;Total male and female;2012 3rd quarter;8843;9932;2978;337;300;8815.0;9911.0;3144.0;357.0;317.0
13;Total;Total male and female;2012 4th quarter;8813;9900;3261;370;329;8783.0;9870.0;3128.0;356.0;317.0
14;Total;Total male and female;2012;8827;9927;12549;1422;1264;;;;;
15;Total;Total male and female;2013 1st quarter;8670;9730;3157;364;324;8744.0;9817.0;3121.0;357.0;318.0
16;Total;Total male and female;2013 2nd quarter;8739;9832;3016;345;307;8724.0;9795.0;3146.0;361.0;321.0
17;Total;Total male and female;2013 3rd quarter;8756;9821;2997;342;305;8714.0;9782.0;3137.0;360.0;321.0
18;Total;Total male and female;2013 4th quarter;8710;9765;3270;375;335;8705.0;9769.0;3140.0;361.0;321.0
19;Total;Total male and female;2013;8719;9787;12439;1427;1271;;;;;
20;Total;Total male and female;2014 1st quarter;8610;9665;3182;370;329;8690.0;9754.0;3150.0;362.0;323.0
21;Total;Total male and female;2014 2nd quarter;8725;9824;3024;347;308;8701.0;9769.0;3114.0;358.0;319.0
22;Total;Total male and female;2014 3rd quarter;8731;9794;3020;346;308;8710.0;9788.0;3165.0;363.0;323.0
23;Total;Total male and female;2014 4th quarter;8755;9846;3297;377;335;8722.0;9816.0;3166.0;363.0;322.0
24;Total;Total male and female;2014;8706;9783;12524;1439;1280;;;;;
25;Total;Total male and female;2015 1st quarter;8653;9745;3180;367;326;8738.0;9844.0;3153.0;361.0;320.0
26;Total;Total male and female;2015 2nd quarter;8784;9923;3019;344;304;8761.0;9877.0;3161.0;361.0;320.0
27;Total;Total male and female;2015 3rd quarter;8831;9944;3040;344;306;8792.0;9911.0;3191.0;363.0;322.0
28;Total;Total male and female;2015 4th quarter;8833;9950;3384;383;340;8824.0;9951.0;3216.0;365.0;323.0
29;Total;Total male and female;2015;8776;9891;12624;1438;1276;;;;;
30;Total;Total male and female;2016 1st quarter;8773;9897;3244;370;328;8838.0;9964.0;3225.0;365.0;324.0
31;Total;Total male and female;2016 2nd quarter;8907;10060;3181;357;316;8886.0;10016.0;3257.0;367.0;325.0
32;Total;Total male and female;2016 3rd quarter;8954;10073;3083;344;306;8929.0;10058.0;3237.0;362.0;322.0
33;Total;Total male and female;2016 4th quarter;8999;10129;3420;380;338;8978.0;10113.0;3285.0;366.0;325.0
34;Total;Total male and female;2016;8909;10040;12928;1451;1288;;;;;
35;Total;Total male and female;2017 1st quarter;8957;10093;3376;377;334;9028.0;10173.0;3293.0;365.0;324.0
36;Total;Total male and female;2017 2nd quarter;9113;10290;3239;355;315;9084.0;10237.0;3342.0;368.0;326.0
37;Total;Total male and female;2017 3rd quarter;9173;10323;3164;345;307;9146.0;10311.0;3352.0;367.0;325.0
38;Total;Total male and female;2017 4th quarter;9217;10394;3449;374;332;9208.0;10383.0;3353.0;364.0;323.0
39;Total;Total male and female;2017;9116;10276;13228;1451;1287;;;;;
40;Total;Total male and female;2018 1st quarter;9215;10387;3439;373;331;9277.0;10460.0;3387.0;365.0;324.0
41;Total;Total male and female;2018 2nd quarter;9349;10551;3298;353;313;9337.0;10522.0;3400.0;364.0;323.0
42;Total;Total male and female;2018 3rd quarter;9431;10615;3256;345;307;9396.0;10586.0;3447.0;367.0;326.0
43;Total;Total male and female;2018 4th quarter;9447;10635;3590;380;338;9454.0;10641.0;3465.0;366.0;326.0
44;Total;Total male and female;2018;9361;10548;13583;1451;1288;;;;;
45;Total;Total male and female;2019 1st quarter;9463;10638;3521;372;331;9509.0;10700.0;3497.0;368.0;327.0
46;Total;Total male and female;2019 2nd quarter;9580;10780;3428;358;318;9552.0;10735.0;3496.0;366.0;326.0
47;Total;Total male and female;2019 3rd quarter;9588;10769;3343;349;310;9584.0;10770.0;3505.0;366.0;325.0
48;Total;Total male and female;2019 4th quarter;9658;10866;3651;378;336;9616.0;10814.0;3531.0;367.0;326.0
49;Total;Total male and female;2019;9573;10764;13944;1457;1295;;;;;
50;Total;Total male and female;2020 1st quarter;9558;10728;3410;357;318;9622.0;10812.0;3357.0;349.0;310.0
51;Total;Total male and female;2020 2nd quarter;9436;10554;3236;343;307;9411.0;10501.0;3364.0;357.0;320.0
52;Total;Total male and female;2020 3rd quarter;9549;10673;3131;328;293;9543.0;10673.0;3373.0;353.0;316.0
53;Total;Total male and female;2020 4th quarter;9554;10688;3577;374;335;9541.0;10668.0;3394.0;356.0;318.0
54;Total;Total male and female;2020;9524;10661;13354;1402;1253;;;;;
55;Total;Total male and female;2021 1st quarter;9469;10617;3537;374;333;9520.0;10679.0;3478.0;365.0;326.0
56;Total;Total male and female;2021 2nd quarter;9660;10875;3470;359;319;9633.0;10823.0;3541.0;368.0;327.0
57;Total;Total male and female;2021 3rd quarter;9768;10983;3224;330;294;9774.0;10993.0;3464.0;354.0;315.0
58;Total;Total male and female;2021 4th quarter;9860;11086;3744;380;338;9835.0;11060.0;3520.0;358.0;318.0
59;Total;Total male and female;2021;9690;10892;13975;1442;1283;;;;;
60;Total;Total male and female;2022 1st quarter;9911;11121;3677;371;331;9948.0;11177.0;3587.0;361.0;321.0
61;Total;Total male and female;2022 2nd quarter;10060;11330;3534;351;312;10038.0;11288.0;3614.0;360.0;320.0
62;Total;Total male and female;2022 3rd quarter;10099;11364;3468;343;305;10108.0;11370.0;3706.0;367.0;326.0
63;Total;Total male and female;2022 4th quarter;10204;11479;3848;377;335;10171.0;11443.0;3691.0;363.0;323.0
64;Total;Total male and female;2022;10069;11325;14526;1443;1283;;;;;
65;Total;Total male and female;2023 1st quarter;10155;11414;3808;375;334;10201.0;11482.0;3686.0;361.0;321.0
66;Total;Total male and female;2023 2nd quarter;10235;11541;3602;352;312;10210.0;11502.0;3692.0;362.0;321.0
67;Total;Total male and female;2023 3rd quarter;10231;11533;3478;340;302;10242.0;11541.0;3737.0;365.0;324.0
68;Total;Total male and female;2023 4th quarter;10310;11618;3834;372;330;10277.0;11578.0;3716.0;362.0;321.0
69;Total;Total male and female;2023;10233;11527;14723;1439;1277;;;;;
70;Total;Total male and female;2024 1st quarter;10280;11538;3808;370;330;10314.0;11612.0;3725.0;361.0;321.0
71;Total;Total male and female;2024 2nd quarter;10352;11683;3679;355;315;10327.0;11633.0;3739.0;362.0;321.0
72;Total;Total male and female;2024 3rd quarter;10325;11644;3519;341;302;10340.0;11655.0;3739.0;362.0;321.0
