ID;Persoonskenmerken;OptredenTegenWetsvoorstelGroteKans_1;RadioTelevisieOfKrantInschakelen_2;ViaPolitiekePartijOfOrganisatie_3;DeelnameBijeenkomstOverheid_4;ContacterenPoliticusOfAmbtenaar_5;DeelnameActiegroep_6;DeelnameProtestactieDemonstratie_7;DiscussieActieViaInternetEmailSms_8;AndereManier_9;GeenVanDezeManieren_10;MilieuEnNatuurorganisatie_11;IdeeleOrganisatie_12;Vakbond_13;BeroepsorganisatieOfBeroepsvereniging_14;Werkgeversorganisatie_15;BuurtWijkOfGezelligheidsvereniging_16;MuziekOfCultuurvereniging_17;Sportvereniging_18;KerkOfLevensbeschouwelijkeOrganisatie_19;AndereVereniging_20
0;Totaal persoonskenmerken;19;10;4.0;10;10;3;7;16;4;64;28;19;19;12;3.0;26;16;39;32;15
1;Mannen 18 jaar of ouder;20;12;6.0;12;11;4;7;19;5;60;25;17;25;16;5.0;26;14;40;29;15
2;Vrouwen 18 jaar of ouder;18;8;3.0;8;8;3;8;14;4;68;31;21;14;9;1.0;26;17;37;35;14
3;18 tot 25 jaar;17;12;2.0;6;2;1;8;21;5;65;12;13;8;4;3.0;20;14;54;25;12
4;25 tot 35 jaar;17;12;2.0;7;7;2;9;22;4;62;18;16;17;15;4.0;21;11;40;24;7
5;35 tot 45 jaar;18;13;3.0;9;10;3;8;21;6;60;28;17;17;17;4.0;23;12;41;23;11
6;45 tot 55 jaar;29;9;8.0;14;16;5;10;20;5;56;37;23;27;15;5.0;29;14;41;31;18
7;55 tot 65 jaar;18;9;7.0;12;12;4;6;10;3;66;30;19;27;13;2.0;32;25;36;35;15
8;65 tot 75 jaar;18;7;4.0;11;8;4;4;6;2;71;35;23;17;7;1.0;34;24;33;53;21
9;75 jaar of ouder;7;4;2.0;2;6;0;1;3;4;86;35;17;11;6;;22;12;13;50;25
10;Ongehuwd;19;12;3.0;7;6;2;9;23;6;59;21;16;16;12;3.0;19;11;46;19;13
11;Gehuwd;19;10;5.0;11;11;4;7;15;4;64;31;20;22;14;3.0;30;19;38;38;15
12;Gescheiden;24;10;4.0;9;11;4;7;15;6;68;32;20;21;11;3.0;20;12;31;26;12
13;Verweduwd;15;3;1.0;4;5;1;3;6;2;83;30;22;12;4;;27;15;21;44;22
14;Migratieachtergrond: Nederland;18;10;4.0;10;10;3;6;17;4;65;29;19;20;13;3.0;27;16;40;33;15
15;Migratieachtergrond: westers;21;11;4.0;8;8;3;9;12;6;63;35;19;17;9;1.0;26;17;32;26;15
16;Migratieachtergrond: niet-westers;27;13;3.0;8;7;3;15;19;3;61;14;20;11;10;3.0;16;11;30;33;11
17;Lager onderwijs;6;4;1.0;3;1;2;2;3;1;90;18;10;14;2;1.0;25;9;13;36;8
18;Lbo;16;9;1.0;6;7;2;5;7;5;74;18;12;18;8;2.0;27;14;33;32;18
19;Mavo, vwo-3;18;10;3.0;5;5;0;6;9;3;74;21;12;17;7;2.0;23;14;40;26;15
20;Havo, vwo, mbo;19;12;4.0;8;9;3;7;18;4;62;26;18;19;11;4.0;26;15;43;31;15
21;Hbo, universiteit;25;12;10.0;19;17;6;12;30;7;44;46;34;21;27;4.0;29;22;47;34;15
22;Noord Nederland (LD);16;7;5.0;8;8;3;6;16;7;66;26;21;27;13;3.0;38;17;34;34;16
23;Oost Nederland (LD);22;14;4.0;11;10;3;6;16;6;61;25;17;19;13;4.0;33;17;41;37;13
24;West Nederland (LD);19;10;4.0;10;9;4;9;18;4;63;33;21;17;11;3.0;18;14;38;31;15
25;Zuid Nederland (LD);17;8;4.0;9;11;3;6;13;3;68;22;16;20;13;2.0;31;18;40;29;14
26;Zeer sterk stedelijk;20;13;5.0;9;10;4;14;22;5;58;30;22;17;10;3.0;17;12;33;21;17
27;Sterk stedelijk;21;9;4.0;10;7;3;7;16;5;65;29;21;17;12;3.0;18;14;39;29;12
28;Matig stedelijk;20;9;3.0;10;11;3;6;16;4;65;30;16;20;14;2.0;25;17;39;33;13
29;Weinig stedelijk;14;11;5.0;8;11;3;5;14;4;66;26;16;20;14;5.0;33;18;42;41;17
30;Niet stedelijk;18;8;6.0;9;9;4;4;13;4;67;25;18;22;13;3.0;46;19;37;37;16
31;CDA;14;12;4.0;12;12;2;4;15;4;61;28;19;18;16;4.0;34;23;42;61;18
32;PvdA;22;8;4.0;10;9;4;9;17;4;62;28;21;27;10;3.0;23;14;38;22;12
33;VVD;17;10;6.0;11;14;3;3;19;4;63;32;14;11;17;7.0;26;21;51;24;17
34;GroenLinks;30;7;13.0;12;14;9;28;37;11;37;56;41;24;16;3.0;23;18;46;16;17
35;SP;26;13;5.0;10;10;4;13;22;5;57;32;22;22;9;2.0;25;15;40;18;16
36;ChristenUnie;19;10;7.0;9;13;7;11;16;4;59;34;40;18;11;;33;29;24;85;22
37;PVV;17;8;3.0;6;7;2;5;16;4;73;22;7;17;12;3.0;25;7;36;15;16
38;Overige politieke partijen;28;14;13.0;24;17;9;8;22;6;51;42;23;16;12;;24;13;35;38;21
39;Niet gestemd;13;9;;3;2;1;3;8;4;82;16;11;18;10;2.0;22;7;31;21;7
40;Geen kerkelijke gezindte;19;10;4.0;8;9;3;8;19;5;64;30;17;19;12;3.0;21;13;41;6;14
41;Rooms-katholiek;17;9;3.0;10;9;4;5;12;3;68;25;18;19;14;3.0;34;20;40;53;15
42;Nederlands hervormd;19;10;4.0;10;7;1;6;12;5;67;26;15;18;12;2.0;30;19;31;71;15
43;Gereformeerde kerken;13;18;7.0;12;7;4;6;17;2;61;28;31;23;13;5.0;32;21;36;92;14
44;Protestantse Kerk in Nederland;18;8;8.0;16;12;3;8;19;8;58;35;32;23;20;3.0;36;22;34;85;17
45;Overige kerkelijke gezindte;29;12;5.0;13;15;5;14;16;2;59;23;26;16;9;2.0;22;16;26;60;14
46;Kerkbezoek een keer per week of vaker;21;13;5.0;8;9;3;8;12;4;37;25;26;16;9;2.0;32;27;22;95;20
47;Kerkbezoek twee tot drie keer per maand;23;8;6.0;14;11;3;7;16;4;44;38;34;18;15;7.0;46;37;49;84;16
48;Kerkbezoek een keer per maand;20;12;6.0;18;13;7;7;17;6;43;28;26;20;16;4.0;45;29;36;76;13
49;Kerkbezoek minder dan een keer per maand;16;6;4.0;11;11;6;6;16;3;31;30;23;21;16;4.0;34;20;40;65;16
50;Kerkbezoek zelden of nooit;18;11;4.0;10;9;2;7;12;3;33;23;14;20;14;2.0;24;10;36;38;13
