ID;TeeltsectorenEnGewassen;Gewasbeschermingsmiddelen;Perioden;OppervlakteMetGewasbescherming_1;GebruikInKilogramWerkzameStof_2;DoseringPerJaarPerHectare_3
0;Totaal gewassen/teeltsectoren;Totaal van alle werkzame stoffen;2012;749398.0;5880806.0;7.8
1;Totaal gewassen/teeltsectoren;Totaal van alle werkzame stoffen;2016;710507.0;5673564.0;8.0
2;Totaal gewassen/teeltsectoren;Totaal schimmel- en bacteriënbestrijding;2012;475561.0;2836160.0;6.0
3;Totaal gewassen/teeltsectoren;Totaal schimmel- en bacteriënbestrijding;2016;472085.0;2757150.0;5.8
4;Totaal gewassen/teeltsectoren;Totaal onkruidbestrijding en loofdoding;2012;719694.0;1756564.0;2.4
5;Totaal gewassen/teeltsectoren;Totaal onkruidbestrijding en loofdoding;2016;664521.0;1484928.0;2.2
6;Totaal gewassen/teeltsectoren;Totaal insecten- en mijtenbestrijding;2012;321103.0;130222.0;0.4
7;Totaal gewassen/teeltsectoren;Totaal insecten- en mijtenbestrijding;2016;317086.0;95865.0;0.3
8;Totaal gewassen/teeltsectoren;Totaal slakkenbestrijding;2012;11074.0;6496.0;0.6
9;Totaal gewassen/teeltsectoren;Totaal slakkenbestrijding;2016;15975.0;4493.0;0.3
10;Totaal gewassen/teeltsectoren;Totaal plantengroeiregulatie/kiemremming;2012;164590.0;182475.0;1.1
11;Totaal gewassen/teeltsectoren;Totaal plantengroeiregulatie/kiemremming;2016;162037.0;193179.0;1.2
12;Totaal gewassen/teeltsectoren;Totaal andere gewasbeschermingsmiddelen;2012;71121.0;968890.0;13.6
13;Totaal gewassen/teeltsectoren;Totaal andere gewasbeschermingsmiddelen;2016;52600.0;1137949.0;21.6
14;Totaal gewassen/teeltsectoren;1-methylcyclopropeen;2012;12.0;0.0;0.0
15;Totaal gewassen/teeltsectoren;1-methylcyclopropeen;2016;549.0;2.0;0.0
16;Totaal gewassen/teeltsectoren;1-naftylazijnzuur;2012;6818.0;73.0;0.0
17;Totaal gewassen/teeltsectoren;1-naftylazijnzuur;2016;3284.0;34.0;0.0
18;Totaal gewassen/teeltsectoren;2,4-D;2012;9018.0;2961.0;0.3
19;Totaal gewassen/teeltsectoren;2,4-D;2016;7832.0;6119.0;0.8
20;Totaal gewassen/teeltsectoren;6-benzyladenine;2012;3293.0;105.0;0.0
21;Totaal gewassen/teeltsectoren;6-benzyladenine;2016;4738.0;268.0;0.1
22;Totaal gewassen/teeltsectoren;Abamectin;2012;21367.0;538.0;0.0
23;Totaal gewassen/teeltsectoren;Abamectin;2016;8685.0;435.0;0.1
24;Totaal gewassen/teeltsectoren;Acequinocyl;2012;1460.0;803.0;0.5
25;Totaal gewassen/teeltsectoren;Acequinocyl;2016;1453.0;549.0;0.4
26;Totaal gewassen/teeltsectoren;Acetamiprid;2012;28340.0;1855.0;0.1
27;Totaal gewassen/teeltsectoren;Acetamiprid;2016;48279.0;3849.0;0.1
28;Totaal gewassen/teeltsectoren;Acibenzolar-S-methyl;2012;0.0;0.0;
29;Totaal gewassen/teeltsectoren;Acibenzolar-S-methyl;2016;69.0;8.0;0.1
30;Totaal gewassen/teeltsectoren;Aclonifen;2012;48006.0;44209.0;0.9
31;Totaal gewassen/teeltsectoren;Aclonifen;2016;48902.0;39604.0;0.8
32;Totaal gewassen/teeltsectoren;Aluminiumfosfide;2012;880.0;393.0;0.4
33;Totaal gewassen/teeltsectoren;Aluminiumfosfide;2016;65.0;7.0;0.1
34;Totaal gewassen/teeltsectoren;Aluminiumsulfaat;2012;227.0;8448.0;37.2
35;Totaal gewassen/teeltsectoren;Aluminiumsulfaat;2016;75.0;2478.0;33.1
