ID;Bedrijfskenmerken;Perioden;AandeelWerknemersDatHeeftVerzuimd_1;GemiddeldeVerzuimfrequentie_2;GemiddeldeVerzuimduur_3;k_1Tot5Werkdagen_4;k_5Tot20Werkdagen_5;k_20Tot210Werkdagen_6;k_210WerkdagenOfMeer_7;JaHoofdzakelijkGevolgVanMijnWerk_8;JaVoorEenDeelGevolgVanMijnWerk_9;NeeGeenGevolgVanMijnWerk_10;WeetNiet_11
0;A-U Alle economische activiteiten;2011;49.2;1.1;7.7;65.6;21.4;12.1;0.9;9.4;15.6;70.6;4.3
1;A-U Alle economische activiteiten;2012;47.1;1.1;7.3;65.5;21.5;11.9;1.1;9.0;16.3;69.7;5.0
2;A-U Alle economische activiteiten;2013;47.7;1.1;7.0;65.4;21.9;11.8;0.9;8.2;14.8;71.1;5.9
3;A Landbouw, bosbouw en visserij;2011;;;;;;;;;;;
4;A Landbouw, bosbouw en visserij;2012;30.9;0.7;5.4;;;;;;;;
5;A Landbouw, bosbouw en visserij;2013;45.3;1.1;3.8;;;;;;;;
6;B-E Nijverheid (geen bouw) en energie;2011;48.5;1.1;9.4;55.3;28.6;15.2;0.9;10.8;16.5;66.2;6.4
7;B-E Nijverheid (geen bouw) en energie;2012;47.0;0.9;8.6;56.8;27.9;13.8;1.4;11.9;15.3;66.2;6.6
8;B-E Nijverheid (geen bouw) en energie;2013;47.9;1.0;8.6;54.5;30.3;13.9;1.3;9.8;16.5;68.0;5.8
9;F Bouwnijverheid;2011;44.5;0.7;9.4;55.6;26.9;15.8;1.7;14.2;16.8;63.3;5.7
10;F Bouwnijverheid;2012;44.7;1.0;9.7;50.6;28.6;18.2;2.7;17.3;16.7;57.8;8.1
11;F Bouwnijverheid;2013;39.9;0.8;6.3;54.2;27.3;17.2;1.3;12.7;14.7;65.4;7.2
12;G Handel;2011;46.8;1.1;6.1;70.5;17.9;10.8;0.8;7.8;14.5;74.0;3.8
13;G Handel;2012;45.3;1.1;6.4;70.7;17.9;10.6;0.8;8.4;14.8;72.9;3.9
14;G Handel;2013;45.1;1.0;5.8;70.5;18.1;10.5;0.9;5.7;14.1;73.0;7.2
15;H Vervoer en opslag;2011;43.3;0.8;9.5;48.5;33.5;15.8;2.2;17.9;16.9;62.0;3.2
16;H Vervoer en opslag;2012;45.5;0.9;9.0;51.4;31.1;16.5;1.0;11.7;18.1;64.7;5.5
17;H Vervoer en opslag;2013;46.2;0.9;9.2;45.8;34.8;17.9;1.4;11.6;14.2;66.2;7.9
18;I Horeca;2011;40.4;1.0;6.5;65.5;20.1;12.5;2.0;13.5;19.0;62.2;5.3
19;I Horeca;2012;36.1;0.8;6.4;61.8;19.9;17.5;0.8;11.1;16.4;65.8;6.6
20;I Horeca;2013;39.3;1.1;4.6;72.9;17.6;9.0;0.5;10.7;18.0;63.9;7.4
21;J Informatie en communicatie;2011;54.8;1.4;5.5;76.6;17.0;5.9;0.5;8.3;13.2;73.5;5.0
22;J Informatie en communicatie;2012;52.9;1.2;4.9;77.9;17.2;4.5;0.4;4.3;13.8;78.5;3.4
23;J Informatie en communicatie;2013;49.2;1.1;6.3;72.5;16.3;9.6;1.7;7.3;13.3;74.9;4.5
24;"K-L Financiële diensten; onroerend goed";2011;51.0;1.0;6.4;71.2;18.5;9.0;1.3;6.8;11.2;79.3;2.7
25;"K-L Financiële diensten; onroerend goed";2012;46.4;1.0;6.2;69.9;19.3;10.2;0.6;6.3;11.8;77.8;4.1
26;"K-L Financiële diensten; onroerend goed";2013;47.5;1.0;6.3;69.5;19.2;10.4;0.9;6.0;11.4;79.5;3.1
27;M-N Zakelijke dienstverlening;2011;48.4;1.1;7.1;68.2;21.1;10.1;0.6;10.3;14.2;71.2;4.2
28;M-N Zakelijke dienstverlening;2012;45.6;1.0;7.0;66.2;21.5;11.0;1.3;8.4;15.4;70.9;5.2
29;M-N Zakelijke dienstverlening;2013;47.5;1.0;6.3;68.4;21.3;9.6;0.8;10.0;15.0;69.6;5.4
30;O Openbaar bestuur en overheidsdiensten;2011;56.8;1.2;9.5;66.4;20.0;12.4;1.1;7.2;13.9;74.2;4.7
31;O Openbaar bestuur en overheidsdiensten;2012;54.4;1.3;8.9;64.2;24.1;10.4;1.3;7.3;15.0;74.3;3.5
32;O Openbaar bestuur en overheidsdiensten;2013;55.1;1.1;9.7;59.1;27.1;12.6;1.2;6.1;12.4;77.5;3.9
33;P Onderwijs;2011;53.2;1.3;7.6;69.3;19.5;10.4;0.8;7.3;18.5;71.4;2.9
34;P Onderwijs;2012;50.6;1.5;7.1;70.3;17.8;10.6;1.3;8.4;20.5;67.5;3.7
35;P Onderwijs;2013;51.1;1.3;7.0;70.2;17.2;12.0;0.7;9.0;18.6;66.5;5.9
36;Q Gezondheids- en welzijnszorg;2011;53.3;1.2;8.5;65.8;19.6;13.9;0.8;9.1;17.7;69.1;4.1
37;Q Gezondheids- en welzijnszorg;2012;50.4;1.2;7.1;67.7;19.2;12.0;1.0;7.7;19.4;68.0;4.9
