ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
0;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2001;10800.0;7187.0;6935.0;252.0;3613.0;66.5;64.2;3.5
1;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2002;10863.0;7312.0;7010.0;302.0;3551.0;67.3;64.5;4.1
2;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2003;10903.0;7364.0;6968.0;396.0;3539.0;67.5;63.9;5.4
3;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2004;10925.0;7417.0;6941.0;476.0;3508.0;67.9;63.5;6.4
4;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2005;10940.0;7455.0;6973.0;482.0;3485.0;68.1;63.7;6.5
5;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2006;10952.0;7507.0;7097.0;410.0;3444.0;68.5;64.8;5.5
6;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2007;10968.0;7653.0;7309.0;344.0;3315.0;69.8;66.6;4.5
7;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2008;10997.0;7801.0;7501.0;300.0;3196.0;70.9;68.2;3.8
8;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2009;11014.0;7846.0;7469.0;377.0;3167.0;71.2;67.8;4.8
9;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2010;11017.0;7817.0;7391.0;426.0;3200.0;71.0;67.1;5.4
10;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2011;10994.0;7811.0;7392.0;419.0;3183.0;71.1;67.2;5.4
11;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;1;2012;10992.0;7894.0;7387.0;507.0;3098.0;71.8;67.2;6.4
12;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2001;3702.0;1824.0;1724.0;100.0;1877.0;49.3;46.6;5.5
13;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2002;3581.0;1768.0;1654.0;114.0;1813.0;49.4;46.2;6.5
