ID;Geslacht;Persoonskenmerken;Beroep;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 1e kwartaal;8427
1;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 2e kwartaal;8436
2;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 3e kwartaal;8443
3;Totaal mannen en vrouwen;Totaal personen;Totaal;2013 4e kwartaal;8426
4;Totaal mannen en vrouwen;Totaal personen;Totaal;2013;8433
5;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 1e kwartaal;8320
6;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 2e kwartaal;8360
7;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 3e kwartaal;8417
8;Totaal mannen en vrouwen;Totaal personen;Totaal;2014 4e kwartaal;8433
9;Totaal mannen en vrouwen;Totaal personen;Totaal;2014;8382
10;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 1e kwartaal;8395
11;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 2e kwartaal;8457
12;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 3e kwartaal;8499
13;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 4e kwartaal;8480
14;Totaal mannen en vrouwen;Totaal personen;Totaal;2015 ;8458
15;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 1e kwartaal;8456
16;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 2e kwartaal;8552
17;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 3e kwartaal;8628
18;Totaal mannen en vrouwen;Totaal personen;Totaal;2016 4e kwartaal;8644
19;Totaal mannen en vrouwen;Totaal personen;Totaal;2016;8570
20;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 1e kwartaal;8640
21;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 2e kwartaal;8719
22;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 3e kwartaal;8804
23;Totaal mannen en vrouwen;Totaal personen;Totaal;2017 4e kwartaal;8815
24;Totaal mannen en vrouwen;Totaal personen;Totaal;2017;8744
25;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 1e kwartaal;8819
26;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 2e kwartaal;8913
27;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 3e kwartaal;9000
28;Totaal mannen en vrouwen;Totaal personen;Totaal;2018 4e kwartaal;9026
29;Totaal mannen en vrouwen;Totaal personen;Totaal;2018;8939
30;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 1e kwartaal;9030
31;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 2e kwartaal;9104
32;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 3e kwartaal;9156
33;Totaal mannen en vrouwen;Totaal personen;Totaal;2019 4e kwartaal;9177
34;Totaal mannen en vrouwen;Totaal personen;Totaal;2019;9117
35;Totaal mannen en vrouwen;Totaal personen;Totaal;2020 1e kwartaal;9174
36;Totaal mannen en vrouwen;Totaal personen;Totaal;2020 2e kwartaal;9051
37;Totaal mannen en vrouwen;Totaal personen;Totaal;2020 3e kwartaal;9100
38;Totaal mannen en vrouwen;Totaal personen;Totaal;2020 4e kwartaal;9138
39;Totaal mannen en vrouwen;Totaal personen;Totaal;2020;9116
40;Totaal mannen en vrouwen;Totaal personen;Totaal;2021 1e kwartaal;9135
41;Totaal mannen en vrouwen;Totaal personen;Totaal;2021 2e kwartaal;9207
42;Totaal mannen en vrouwen;Totaal personen;Totaal;2021 3e kwartaal;9309
43;Totaal mannen en vrouwen;Totaal personen;Totaal;2021 4e kwartaal;9370
44;Totaal mannen en vrouwen;Totaal personen;Totaal;2021;9255
45;Totaal mannen en vrouwen;Totaal personen;Totaal;2022 1e kwartaal;9412
46;Totaal mannen en vrouwen;Totaal personen;Totaal;2022 2e kwartaal;9544
47;Totaal mannen en vrouwen;Totaal personen;Totaal;2022 3e kwartaal;9573
48;Totaal mannen en vrouwen;Totaal personen;Totaal;2022 4e kwartaal;9663
49;Totaal mannen en vrouwen;Totaal personen;Totaal;2022;9548
50;Totaal mannen en vrouwen;Totaal personen;Totaal;2023 1e kwartaal;9668
51;Totaal mannen en vrouwen;Totaal personen;Totaal;2023 2e kwartaal;9731
52;Totaal mannen en vrouwen;Totaal personen;Totaal;2023 3e kwartaal;9752
53;Totaal mannen en vrouwen;Totaal personen;Totaal;2023 4e kwartaal;9796
54;Totaal mannen en vrouwen;Totaal personen;Totaal;2023;9737
55;Totaal mannen en vrouwen;Totaal personen;Totaal;2024 1e kwartaal;9767
56;Totaal mannen en vrouwen;Totaal personen;Totaal;2024 2e kwartaal;9822
57;Totaal mannen en vrouwen;Totaal personen;Totaal;2024 3e kwartaal;9792
58;Totaal mannen en vrouwen;Totaal personen;Totaal;2024 4e kwartaal;9809
59;Totaal mannen en vrouwen;Totaal personen;Totaal;2024;9798
60;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2013 1e kwartaal;773
61;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2013 2e kwartaal;786
62;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2013 3e kwartaal;809
63;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2013 4e kwartaal;799
64;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2013;792
65;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2014 1e kwartaal;779
66;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2014 2e kwartaal;799
67;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2014 3e kwartaal;827
68;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2014 4e kwartaal;817
69;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2014;805
70;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2015 1e kwartaal;787
71;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2015 2e kwartaal;794
72;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2015 3e kwartaal;815
73;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2015 4e kwartaal;781
74;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2015 ;794
75;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2016 1e kwartaal;779
76;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2016 2e kwartaal;800
77;Totaal mannen en vrouwen;Totaal personen;Beroepsniveau 1 (ISCO 2008);2016 3e kwartaal;820
