ID;CountryUCI;SIC2008;CompanySize;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
0;Total domestic and foreign;A-U All economic activities;Total employed persons;2013;910.0;4130.0;70.0;545.0;1160.0;1490.0;0.0;0.0
1;Total domestic and foreign;A-U All economic activities;Total employed persons;2014;910.0;4385.0;70.0;440.0;1175.0;1660.0;15.0;15.0
2;Total domestic and foreign;A-U All economic activities;Total employed persons;2015;925.0;4585.0;70.0;455.0;1135.0;1705.0;10.0;10.0
3;Total domestic and foreign;A-U All economic activities;Total employed persons;2016;910.0;4195.0;65.0;455.0;1115.0;1615.0;10.0;10.0
4;Total domestic and foreign;A-U All economic activities;Total employed persons;2017;905.0;4260.0;50.0;365.0;1100.0;1665.0;10.0;10.0
5;Total domestic and foreign;A-U All economic activities;Total employed persons;2018;900.0;4195.0;80.0;365.0;1075.0;1635.0;15.0;15.0
6;Total domestic and foreign;A-U All economic activities;Total employed persons;2019;935.0;4270.0;75.0;380.0;1065.0;1720.0;15.0;15.0
7;Total domestic and foreign;A-U All economic activities;Total employed persons;2020;975.0;4245.0;85.0;485.0;1105.0;1645.0;20.0;20.0
8;Total domestic and foreign;A-U All economic activities;Total employed persons;2021;830.0;3465.0;60.0;375.0;1100.0;1635.0;20.0;15.0
9;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2013;305.0;560.0;15.0;50.0;570.0;720.0;0.0;0.0
10;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2014;360.0;615.0;15.0;40.0;580.0;715.0;10.0;10.0
11;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2015;350.0;540.0;20.0;35.0;580.0;700.0;5.0;5.0
12;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2016;370.0;545.0;15.0;20.0;570.0;695.0;5.0;5.0
13;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2017;365.0;615.0;5.0;20.0;495.0;635.0;5.0;5.0
14;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2018;355.0;480.0;15.0;25.0;475.0;625.0;5.0;5.0
15;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2019;400.0;600.0;20.0;40.0;515.0;690.0;5.0;5.0
16;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2020;410.0;580.0;20.0;25.0;545.0;685.0;10.0;10.0
17;Total domestic and foreign;A-U All economic activities;0 to 49 employed persons;2021;395.0;515.0;20.0;20.0;590.0;770.0;10.0;5.0
18;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2013;120.0;285.0;5.0;10.0;110.0;190.0;0.0;0.0
19;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2014;130.0;295.0;0.0;0.0;120.0;190.0;0.0;0.0
20;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2015;135.0;405.0;10.0;15.0;125.0;235.0;0.0;0.0
