ID;Periods;Indices_1;ChangesComparedToOneYearEarlier_2;Indices_3;ChangesComparedToOneYearEarlier_4
60;1954;9.6;7.3;;
61;1955 1st quarter;10.3;11.3;;
62;1955 2nd quarter;10.8;14.6;;
63;1955 3rd quarter;10.9;14.0;;
64;1955 4th quarter;11.3;11.7;;
65;1955;10.8;12.9;;
66;1956 1st quarter;11.4;10.6;;
67;1956 2nd quarter;11.8;9.7;;
68;1956 3rd quarter;12.2;11.0;;
69;1956 4th quarter;12.4;9.7;;
70;1956;11.9;10.2;;
71;1957 1st quarter;12.7;11.6;;
72;1957 2nd quarter;12.6;6.7;;
73;1957 3rd quarter;12.8;5.3;;
74;1957 4th quarter;12.6;1.7;;
75;1957;12.7;6.2;;
76;1958 1st quarter;12.3;-3.2;;
77;1958 2nd quarter;12.1;-4.5;;
78;1958 3rd quarter;12.1;-5.3;;
79;1958 4th quarter;12.0;-4.4;;
80;1958;12.1;-4.3;;
81;1959 1st quarter;12.1;-1.5;;
82;1959 2nd quarter;11.9;-1.4;;
83;1959 3rd quarter;11.9;-1.7;;
84;1959 4th quarter;12.1;0.7;;
85;1959;12.0;-1.0;;
86;1960 1st quarter;12.2;0.1;;
87;1960 2nd quarter;12.3;3.3;;
88;1960 3rd quarter;12.4;4.1;;
89;1960 4th quarter;12.3;1.9;;
90;1960;12.3;2.4;;
91;1961 1st quarter;12.6;3.3;;
92;1961 2nd quarter;12.3;0.5;;
93;1961 3rd quarter;12.8;2.9;;
94;1961 4th quarter;13.1;6.6;;
95;1961;12.7;3.3;;
96;1962 1st quarter;13.2;4.9;;
97;1962 2nd quarter;13.3;7.7;;
98;1962 3rd quarter;13.9;9.1;;
99;1962 4th quarter;14.2;7.7;;
100;1962;13.6;7.4;;
101;1963 1st quarter;14.1;7.2;;
102;1963 2nd quarter;14.3;7.4;;
103;1963 3rd quarter;14.7;5.2;;
104;1963 4th quarter;15.2;7.0;;
105;1963;14.6;6.7;;
106;1964 1st quarter;15.5;9.8;;
107;1964 2nd quarter;15.7;10.3;;
108;1964 3rd quarter;15.8;7.7;;
109;1964 4th quarter;16.0;5.9;;
110;1964;15.8;8.4;;
111;1965 1st quarter;16.4;5.7;;
112;1965 2nd quarter;16.4;4.2;;
113;1965 3rd quarter;16.6;5.3;;
114;1965 4th quarter;17.1;6.5;;
115;1965;16.6;5.4;;
116;1966 1st quarter;17.4;6.2;;
117;1966 2nd quarter;17.6;7.2;;
118;1966 3rd quarter;17.9;7.7;;
119;1966 4th quarter;17.5;2.5;;
120;1966;17.6;5.9;;
121;1967 1st quarter;17.4;-0.1;;
122;1967 2nd quarter;17.7;0.6;;
123;1967 3rd quarter;17.8;-0.8;;
124;1967 4th quarter;17.9;1.9;;
125;1967;17.7;0.4;;
126;1968 1st quarter;18.4;5.9;;
127;1968 2nd quarter;18.9;6.8;;
128;1968 3rd quarter;18.8;6.0;;
129;1968 4th quarter;19.1;6.8;;
130;1968;18.8;6.4;;
131;1969 1st quarter;20.4;10.8;21.4;
132;1969 2nd quarter;20.8;10.3;21.9;
133;1969 3rd quarter;21.2;12.7;22.2;
134;1969 4th quarter;21.5;12.9;22.6;
135;1969;21.0;11.7;22.0;
136;1970 1st quarter;22.3;9.5;23.4;9.5
137;1970 2nd quarter;22.9;10.0;24.0;10.0
138;1970 3rd quarter;23.5;10.6;24.6;10.6
139;1970 4th quarter;24.1;12.1;25.3;12.1
140;1970;23.2;10.6;24.4;10.6
141;1971 1st quarter;25.2;12.7;26.0;10.7
142;1971 2nd quarter;26.0;13.6;26.8;11.6
143;1971 3rd quarter;27.0;15.2;27.9;13.2
144;1971 4th quarter;27.2;12.7;28.0;10.7
145;1971;26.4;13.5;27.2;11.5
146;1972 1st quarter;28.1;11.7;29.0;11.7
147;1972 2nd quarter;28.5;9.4;29.3;9.4
148;1972 3rd quarter;29.2;7.9;30.1;7.9
149;1972 4th quarter;29.3;7.5;30.1;7.5
150;1972;28.7;9.1;29.6;9.1
151;1973 1st quarter;30.9;10.0;31.3;8.1
152;1973 2nd quarter;31.5;10.8;31.9;8.9
153;1973 3rd quarter;32.7;12.1;33.1;10.2
154;1973 4th quarter;33.2;13.6;33.6;11.6
155;1973;32.1;11.7;32.5;9.8
156;1974 1st quarter;35.0;13.2;35.5;13.2
157;1974 2nd quarter;36.0;14.0;36.4;14.0
158;1974 3rd quarter;37.0;13.2;37.5;13.2
159;1974 4th quarter;37.5;12.9;38.0;12.9
160;1974;36.4;13.3;36.8;13.3
161;1975 1st quarter;38.6;10.3;39.1;10.3
162;1975 2nd quarter;38.9;8.1;39.4;8.1
163;1975 3rd quarter;39.6;7.0;40.1;7.0
164;1975 4th quarter;40.0;6.7;40.5;6.7
165;1975;39.3;8.0;39.8;8.0
166;1976 1st quarter;41.6;7.8;42.2;7.8
167;1976 2nd quarter;42.0;8.2;42.6;8.2
168;1976 3th quarter;42.8;8.1;43.4;8.1
169;1976 4th quarter;44.2;10.4;44.0;8.6
170;1976;42.7;8.7;43.0;8.2
171;1977 1st quarter;45.3;8.9;45.1;7.0
172;1977 2nd quarter;45.9;9.1;45.7;7.2
173;1977 3rd quarter;47.2;10.2;47.0;8.3
174;1977 4th quarter;48.2;9.1;48.0;9.1
175;1977;46.6;9.3;46.4;7.9
176;1978 1st quarter;49.6;9.5;49.4;9.5
177;1978 2nd quarter;50.5;10.2;50.3;10.2
178;1978 3rd quarter;51.4;8.9;51.2;8.9
179;1978 4th quarter;52.3;8.4;52.0;8.4
180;1978;50.9;9.2;50.7;9.2
181;1979 1st quarter;54.0;8.8;53.8;8.8
182;1979 2nd quarter;55.3;9.4;55.1;9.4
183;1979 3rd quarter;56.7;10.4;56.5;10.4
184;1979 4th quarter;57.8;10.6;57.6;10.6
185;1979;56.0;9.9;55.7;9.9
186;1980 1st quarter;59.1;9.5;58.9;9.5
187;1980 2nd quarter;60.2;8.9;60.0;8.9
188;1980 3rd quarter;60.7;7.0;60.5;7.0
189;1980 4th quarter;61.4;6.1;61.1;6.1
190;1980;60.3;7.8;60.1;7.8
191;1981 1st quarter;62.0;5.0;61.8;5.0
192;1981 2nd quarter;61.9;2.8;61.6;2.8
193;1981 3rd quarter;62.5;2.9;62.2;2.9
194;1981 4th quarter;62.2;1.4;61.9;1.4
195;1981;62.1;3.0;61.9;3.0
196;1982 1st quarter;61.5;-0.9;61.2;-0.9
197;1982 2nd quarter;60.9;-1.6;60.7;-1.6
198;1982 3rd quarter;59.5;-4.8;59.2;-4.8
199;1982 4th quarter;61.4;-1.4;61.1;-1.4
200;1982;60.8;-2.1;60.6;-2.1
201;1983 1st quarter;60.7;-1.3;60.4;-1.3
202;1983 2nd quarter;60.8;-0.3;60.5;-0.3
203;1983 3rd quarter;60.0;0.9;59.8;0.9
204;1983 4th quarter;60.7;-1.1;60.4;-1.1
205;1983;60.5;-0.5;60.3;-0.5
206;1984 1st quarter;60.5;-0.4;59.7;-1.2
207;1984 2nd quarter;60.1;-1.1;59.3;-1.9
208;1984 3rd quarter;60.3;0.5;59.6;-0.3
209;1984 4th quarter;60.5;-0.4;59.7;-1.2
210;1984;60.3;-0.3;59.6;-1.1
211;1985 1st quarter;58.9;-2.6;58.1;-2.6
212;1985 2nd quarter;59.6;-0.9;58.8;-0.9
213;1985 3rd quarter;59.6;-1.3;58.8;-1.3
214;1985 4th quarter;60.3;-0.3;59.5;-0.3
215;1985;59.6;-1.3;58.8;-1.3
216;1986 1st quarter;59.2;0.6;58.5;0.6
217;1986 2nd quarter;60.3;1.2;59.5;1.2
218;1986 3rd quarter;62.4;4.8;61.6;4.8
219;1986 4th quarter;61.1;1.3;59.8;0.5
220;1986;60.8;2.0;59.9;1.8
221;1987 1st quarter;61.8;4.3;60.5;3.4
222;1987 2nd quarter;62.7;4.0;61.4;3.1
223;1987 3rd quarter;63.8;2.3;62.5;1.5
224;1987 4th quarter;64.4;5.4;63.0;5.4
225;1987;63.2;4.0;61.9;3.3
226;1988 1st quarter;64.5;4.4;63.2;4.4
227;1988 2nd quarter;64.6;3.1;63.3;3.1
228;1988 3rd quarter;65.0;1.8;63.6;1.8
229;1988 4th quarter;65.9;2.4;64.6;2.4
230;1988;65.0;3.0;63.7;3.0
231;1989 1st quarter;65.2;1.0;64.6;2.3
232;1989 2nd quarter;66.8;3.4;66.2;4.7
233;1989 3rd quarter;66.4;2.2;65.9;3.5
234;1989 4th quarter;66.9;1.5;66.3;2.7
235;1989;66.3;1.9;65.7;3.2
236;1990 1st quarter;66.9;2.6;66.3;2.6
237;1990 2nd quarter;67.4;0.9;66.8;0.9
238;1990 3rd quarter;68.2;2.7;67.7;2.7
239;1990 4th quarter;69.0;3.1;68.4;3.1
240;1990;67.9;2.4;67.3;2.4
241;1991 1st quarter;69.3;3.6;68.7;3.6
242;1991 2nd quarter;69.6;3.3;69.0;3.3
243;1991 3rd quarter;69.3;1.5;68.7;1.5
244;1991 4th quarter;70.0;1.5;69.4;1.5
245;1991;69.6;2.5;69.0;2.5
246;1992 1st quarter;71.9;3.8;71.3;3.8
247;1992 2nd quarter;72.4;4.0;71.8;4.0
248;1992 3rd quarter;72.6;4.9;72.0;4.9
249;1992 4th quarter;73.7;5.3;73.7;6.2
250;1992;72.7;4.5;72.2;4.7
251;1993 1st quarter;74.9;4.2;74.9;5.1
252;1993 2nd quarter;74.8;3.3;74.8;4.2
253;1993 3rd quarter;75.3;3.6;75.3;4.5
254;1993 4th quarter;75.5;2.4;75.5;2.4
255;1993;75.1;3.4;75.1;4.0
256;1994 1st quarter;76.0;1.4;76.0;1.4
257;1994 2nd quarter;76.7;2.5;76.7;2.5
258;1994 3rd quarter;76.7;1.9;76.7;1.9
259;1994 4th quarter;78.2;3.6;78.2;3.6
260;1994;76.9;2.3;76.9;2.3
261;1995 1st quarter;79.3;4.3;79.3;4.3
262;1995 2nd quarter;79.2;3.3;79.2;3.3
263;1995 3rd quarter;80.4;4.8;80.4;4.8
264;1995 4th quarter;81.1;3.7;81.1;3.7
265;1995;80.0;4.0;80.0;4.0
266;1996 1st quarter;82.6;4.1;82.6;4.1
267;1996 2nd quarter;83.0;4.8;83.0;4.8
268;1996 3rd quarter;83.0;3.3;83.0;3.3
269;1996 4th quarter;83.8;3.3;83.8;3.3
270;1996;83.1;3.9;83.1;3.9
271;1997 1st quarter;85.1;3.1;85.1;3.1
272;1997 2nd quarter;85.8;3.4;85.8;3.4
273;1997 3rd quarter;87.0;4.8;87.0;4.8
274;1997 4th quarter;87.1;4.0;87.1;4.0
275;1997;86.2;3.8;86.2;3.8
276;1998 1st quarter;87.9;3.3;87.9;3.3
277;1998 2nd quarter;88.4;3.0;88.4;3.0
278;1998 3rd quarter;89.8;3.2;89.8;3.2
279;1998 4th quarter;91.9;5.5;91.9;5.5
280;1998;89.5;3.8;89.5;3.8
281;1999 1st quarter;92.6;5.3;92.6;5.3
282;1999 2nd quarter;95.2;7.7;95.2;7.7
283;1999 3rd quarter;96.2;7.0;96.2;7.0
284;1999 4th quarter;95.8;4.3;95.8;4.3
285;1999;95.0;6.1;95.0;6.1
286;2000 1st quarter;97.4;5.3;97.4;5.3
287;2000 2nd quarter;97.7;2.6;97.7;2.6
288;2000 3rd quarter;101.4;5.5;101.4;5.5
289;2000 4th quarter;103.4;7.8;103.4;7.8
290;2000;100.0;5.3;100.0;5.3
291;2001 1st quarter;104.3;7.1;103.0;5.7
292;2001 2nd quarter;106.2;8.7;104.8;7.3
293;2001 3rd quarter;108.9;7.3;107.5;6.0
294;2001 4th quarter;108.2;4.7;106.9;3.4
295;2001;106.9;6.9;105.5;5.5
296;2002 1st quarter;115.2;10.4;113.7;10.4
297;2002 2nd quarter;117.1;10.3;115.6;10.3
298;2002 3rd quarter;118.9;9.2;117.4;9.2
299;2002 4th quarter;123.1;13.7;121.6;13.7
300;2002;118.6;10.9;117.1;10.9
301;2003 1st quarter;121.8;5.7;120.2;5.7
302;2003 2nd quarter;125.8;7.4;124.2;7.4
303;2003 3rd quarter;123.5;3.9;122.0;3.9
304;2003 4th quarter;121.8;-1.0;120.3;-1.0
305;2003;123.2;3.9;121.6;3.9
306;2004 1st quarter;121.2;-0.5;119.7;-0.5
307;2004 2nd quarter;118.4;-5.9;116.9;-5.9
308;2004 3rd quarter;117.7;-4.7;116.2;-4.7
309;2004 4th quarter;123.2;1.1;121.6;1.1
310;2004;120.1;-2.5;118.6;-2.5
311;2005 1st quarter;121.3;0.1;119.8;0.1
312;2005 2nd quarter;120.8;2.0;119.3;2.0
313;2005 3rd quarter;123.4;4.9;121.8;4.9
314;2005 4th quarter;126.4;2.6;124.8;2.6
315;2005;123.0;2.4;121.5;2.4
316;2006 1st quarter;122.5;1.0;121.0;1.0
317;2006 2nd quarter;123.8;2.5;122.2;2.5
318;2006 3rd quarter;122.4;-0.8;120.9;-0.8
319;2006 4th quarter;123.8;-2.0;122.2;-2.0
320;2006;123.1;0.1;121.5;0.1
321;2007 1st quarter;125.9;2.8;124.3;2.8
322;2007 2nd quarter;127.4;2.9;125.8;2.9
323;2007 3rd quarter;130.1;6.3;128.4;6.3
324;2007 4th quarter;133.4;7.8;131.8;7.8
325;2007;129.2;4.9;127.5;4.9
326;2008 1st quarter;136.4;8.4;134.7;8.4
327;2008 2nd quarter;135.9;6.7;134.2;6.7
328;2008 3rd quarter;136.4;4.9;134.7;4.9
329;2008 4th quarter;139.1;4.2;137.3;4.2
330;2008;136.9;6.0;135.2;6.0
331;2009 1st quarter;137.4;0.7;135.6;0.7
332;2009 2nd quarter;136.4;0.3;134.7;0.3
333;2009 3rd quarter;136.3;-0.1;134.5;-0.1
334;2009 4th quarter;132.2;-5.0;130.5;-5.0
335;2009;135.5;-1.0;133.8;-1.0
336;2010 1st quarter;128.0;-6.8;126.4;-6.8
337;2010 2nd quarter;129.5;-5.1;127.8;-5.1
338;2010 3rd quarter;127.8;-6.2;126.1;-6.2
339;2010 4th quarter;130.3;-1.4;128.7;-1.4
340;2010;128.9;-4.9;127.2;-4.9
341;2011 1st quarter;128.5;0.4;126.9;0.4
342;2011 2nd quarter;128.4;-0.9;126.8;-0.9
343;2011 3rd quarter;128.1;0.3;126.5;0.3
344;2011 4th quarter;127.3;-2.4;125.7;-2.4
345;2011;128.0;-0.7;126.4;-0.7
346;2012 1st quarter;120.8;-6.0;119.3;-6.0
347;2012 2nd quarter;124.7;-2.9;123.1;-2.9
348;2012 3rd quarter;120.2;-6.2;118.7;-6.2
349;2012 4th quarter;121.6;-4.5;118.1;-6.0
350;2012;121.8;-4.8;119.8;-5.2
351;2013 1st quarter;124.2;2.8;120.6;1.1
352;2013 2nd quarter;119.0;-4.5;115.6;-6.1
353;2013 3rd quarter;119.2;-0.8;115.7;-2.5
354;2013 4th quarter;116.1;-4.5;112.8;-4.5
355;2013;119.6;-1.8;116.2;-3.0
356;2014 1st quarter;112.3;-9.7;109.0;-9.7
357;2014 2nd quarter;114.6;-3.7;111.2;-3.7
358;2014 3rd quarter;116.5;-2.2;113.2;-2.2
359;2014 4th quarter;114.7;-1.2;111.4;-1.2
360;2014;114.5;-4.3;111.2;-4.3
361;2015 1st quarter;114.8;2.3;111.5;2.3
362;2015 2nd quarter;116.7;1.8;113.3;1.8
363;2015 3rd quarter;111.9;-4.0;108.7;-4.0
364;2015 4th quarter;111.2;-3.1;108.0;-3.1
365;2015;113.7;-0.8;110.4;-0.8
366;2016 1st quarter;110.6;-3.7;107.4;-3.7
367;2016 2nd quarter;111.9;-4.1;108.7;-4.1
368;2016 3rd quarter;114.9;2.6;111.5;2.6
369;2016 4th quarter;116.0;4.3;112.7;4.3
370;2016;113.3;-0.3;110.1;-0.3
371;2017 1st quarter;117.9;6.6;114.4;6.6
372;2017 2nd quarter;121.8;8.8;118.2;8.8
373;2017 3rd quarter;120.5;4.9;117.0;4.9
374;2017 4th quarter;124.8;7.6;121.2;7.6
375;2017;121.2;7.0;117.7;7.0
376;2018 1st quarter;127.7;8.3;124.0;8.3
377;2018 2nd quarter;128.6;5.6;124.8;5.6
378;2018 3rd quarter;132.0;9.6;128.2;9.6
379;2018 4th quarter;138.4;10.9;134.4;10.9
380;2018;131.7;8.6;127.9;8.6
381;2019 1st quarter;139.2;9.0;135.2;9.0
382;2019 2nd quarter;137.5;6.9;133.5;6.9
383;2019 3rd quarter;142.0;7.5;137.9;7.5
384;2019 4th quarter;146.3;5.7;142.0;5.7
385;2019;141.2;7.3;137.1;7.3
386;2020 1st quarter;146.2;5.0;142.0;5.0
387;2020 2nd quarter;147.5;7.3;143.2;7.3
388;2020 3rd quarter;145.6;2.6;141.4;2.6
389;2020 4th quarter;150.2;2.7;145.9;2.7
390;2020;147.4;4.4;143.1;4.4
391;2021 1st quarter;150.0;2.6;145.6;2.6
392;2021 2nd quarter;152.0;3.0;147.6;3.0
393;2021 3rd quarter;154.3;6.0;149.9;6.0
394;2021 4th quarter;156.4;4.1;151.9;4.1
395;2021;153.2;3.9;148.7;3.9
396;2022 1st quarter;156.6;4.4;152.1;4.4
397;2022 2nd quarter;162.2;6.7;157.5;6.7
398;2022 3rd quarter;169.2;9.7;164.3;9.7
399;2022 4th quarter;166.7;6.6;161.8;6.6
400;2022;163.7;6.9;158.9;6.9
401;2023 1st quarter;173.5;10.8;168.4;10.7
402;2023 2nd quarter;176.4;8.8;171.2;8.7
403;2023 3rd quarter;183.9;8.7;178.5;8.6
404;2023 4th quarter;183.2;9.9;177.9;10.0
405;2023;179.3;9.5;174.0;9.5
406;2024 1st quarter;182.4;5.1;177.0;5.1
407;2024 2nd quarter;186.5;5.7;181.1;5.7
408;2024 3rd quarter;185.1;0.7;179.7;0.7
409;2024 4th quarter;187.1;2.1;181.6;2.1
410;2024;185.3;3.4;179.9;3.4
