ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10797.6;18.6
1;Nederland;Totaal actief;6889.3;20.9
2;Nederland;Werknemer;6051.5;20.8
3;Nederland;Zelfstandige;827.1;21.4
4;Nederland;Totaal niet-actief;3905.9;14.5
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;390.7;12.4
6;Nederland;Pensioenontvanger;2404.2;16.2
7;Noord-Nederland;Totaal sociaal-economische categorie;1123.3;17.2
8;Noord-Nederland;Totaal actief;684.9;19.4
9;Noord-Nederland;Werknemer;588.7;19.3
10;Noord-Nederland;Zelfstandige;94.9;20.0
11;Noord-Nederland;Totaal niet-actief;438.1;13.7
12;Noord-Nederland;Werkloosheids- en bijstandsuitk. ontv.;41.6;12.2
13;Noord-Nederland;Pensioenontvanger;271.9;15.1
14;Oost-Nederland;Totaal sociaal-economische categorie;2236.0;17.9
15;Oost-Nederland;Totaal actief;1451.9;20.0
16;Oost-Nederland;Werknemer;1272.8;19.9
17;Oost-Nederland;Zelfstandige;176.6;20.3
18;Oost-Nederland;Totaal niet-actief;783.6;14.2
19;Oost-Nederland;Werkloosheids- en bijstandsuitk. ontv.;62.3;12.5
20;Oost-Nederland;Pensioenontvanger;490.2;15.8
21;West-Nederland;Totaal sociaal-economische categorie;5048.1;19.4
22;West-Nederland;Totaal actief;3236.6;21.9
23;West-Nederland;Werknemer;2854.3;21.8
24;West-Nederland;Zelfstandige;377.9;22.8
25;West-Nederland;Totaal niet-actief;1810.4;14.9
26;West-Nederland;Werkloosheids- en bijstandsuitk. ontv.;209.7;12.4
27;West-Nederland;Pensioenontvanger;1102.8;16.8
28;Zuid-Nederland;Totaal sociaal-economische categorie;2390.2;18.0
29;Zuid-Nederland;Totaal actief;1515.9;20.3
30;Zuid-Nederland;Werknemer;1335.6;20.3
31;Zuid-Nederland;Zelfstandige;177.7;20.1
32;Zuid-Nederland;Totaal niet-actief;873.8;14.2
33;Zuid-Nederland;Werkloosheids- en bijstandsuitk. ontv.;77.1;12.4
34;Zuid-Nederland;Pensioenontvanger;539.2;15.7
35;Groningen;Totaal sociaal-economische categorie;381.8;17.0
36;Groningen;Totaal actief;225.4;19.7
37;Groningen;Werknemer;196.8;19.6
38;Groningen;Zelfstandige;28.2;20.2
39;Groningen;Totaal niet-actief;156.3;13.3
40;Groningen;Werkloosheids- en bijstandsuitk. ontv.;17.8;12.0
41;Groningen;Pensioenontvanger;89.5;14.9
42;Friesland;Totaal sociaal-economische categorie;419.0;17.2
43;Friesland;Totaal actief;261.0;19.2
44;Friesland;Werknemer;220.2;19.0
45;Friesland;Zelfstandige;40.3;20.8
46;Friesland;Totaal niet-actief;157.9;13.8
47;Friesland;Werkloosheids- en bijstandsuitk. ontv.;14.3;12.2
48;Friesland;Pensioenontvanger;100.4;15.1
49;Drenthe;Totaal sociaal-economische categorie;322.5;17.4
50;Drenthe;Totaal actief;198.5;19.4
51;Drenthe;Werknemer;171.7;19.5
52;Drenthe;Zelfstandige;26.4;18.7
53;Drenthe;Totaal niet-actief;123.9;14.3
54;Drenthe;Werkloosheids- en bijstandsuitk. ontv.;9.5;12.6
55;Drenthe;Pensioenontvanger;82.0;15.4
56;Overijssel;Totaal sociaal-economische categorie;722.5;17.4
57;Overijssel;Totaal actief;459.4;19.4
58;Overijssel;Werknemer;402.7;19.4
59;Overijssel;Zelfstandige;55.9;19.6
60;Overijssel;Totaal niet-actief;262.9;13.9
61;Overijssel;Werkloosheids- en bijstandsuitk. ontv.;22.6;12.2
62;Overijssel;Pensioenontvanger;163.2;15.3
63;Flevoland;Totaal sociaal-economische categorie;219.3;18.4
64;Flevoland;Totaal actief;156.0;20.4
65;Flevoland;Werknemer;137.8;20.4
66;Flevoland;Zelfstandige;17.9;20.4
67;Flevoland;Totaal niet-actief;63.3;13.7
68;Flevoland;Werkloosheids- en bijstandsuitk. ontv.;7.3;12.9
69;Flevoland;Pensioenontvanger;33.5;15.3
70;Gelderland;Totaal sociaal-economische categorie;1294.2;18.2
71;Gelderland;Totaal actief;836.5;20.2
72;Gelderland;Werknemer;732.3;20.1
73;Gelderland;Zelfstandige;102.9;20.7
74;Gelderland;Totaal niet-actief;457.4;14.5
75;Gelderland;Werkloosheids- en bijstandsuitk. ontv.;32.3;12.5
76;Gelderland;Pensioenontvanger;293.5;16.1
77;Utrecht;Totaal sociaal-economische categorie;773.4;19.9
78;Utrecht;Totaal actief;513.5;22.3
79;Utrecht;Werknemer;455.8;22.2
80;Utrecht;Zelfstandige;57.0;23.4
81;Utrecht;Totaal niet-actief;259.7;15.2
82;Utrecht;Werkloosheids- en bijstandsuitk. ontv.;22.1;12.4
83;Utrecht;Pensioenontvanger;155.1;17.6
84;Noord-Holland;Totaal sociaal-economische categorie;1744.2;19.6
85;Noord-Holland;Totaal actief;1114.2;22.2
86;Noord-Holland;Werknemer;967.8;22.2
87;Noord-Holland;Zelfstandige;144.9;22.3
88;Noord-Holland;Totaal niet-actief;629.7;15.1
89;Noord-Holland;Werkloosheids- en bijstandsuitk. ontv.;71.8;12.6
90;Noord-Holland;Pensioenontvanger;370.0;16.9
91;Zuid-Holland;Totaal sociaal-economische categorie;2280.1;19.2
92;Zuid-Holland;Totaal actief;1451.7;21.8
93;Zuid-Holland;Werknemer;1296.8;21.6
94;Zuid-Holland;Zelfstandige;153.2;23.2
95;Zuid-Holland;Totaal niet-actief;827.8;14.7
96;Zuid-Holland;Werkloosheids- en bijstandsuitk. ontv.;109.8;12.3
97;Zuid-Holland;Pensioenontvanger;510.6;16.6
98;Zeeland;Totaal sociaal-economische categorie;250.4;18.1
99;Zeeland;Totaal actief;157.2;20.2
100;Zeeland;Werknemer;133.9;19.9
101;Zeeland;Zelfstandige;22.9;22.1
102;Zeeland;Totaal niet-actief;93.3;14.7
103;Zeeland;Werkloosheids- en bijstandsuitk. ontv.;6.1;12.7
104;Zeeland;Pensioenontvanger;67.1;15.8
105;Noord-Brabant;Totaal sociaal-economische categorie;1619.3;18.3
106;Noord-Brabant;Totaal actief;1053.5;20.5
107;Noord-Brabant;Werknemer;927.2;20.5
108;Noord-Brabant;Zelfstandige;124.5;20.4
109;Noord-Brabant;Totaal niet-actief;565.5;14.3
110;Noord-Brabant;Werkloosheids- en bijstandsuitk. ontv.;47.7;12.4
111;Noord-Brabant;Pensioenontvanger;351.4;15.9
112;Limburg;Totaal sociaal-economische categorie;770.9;17.5
113;Limburg;Totaal actief;462.4;19.8
114;Limburg;Werknemer;408.5;19.9
115;Limburg;Zelfstandige;53.1;19.5
116;Limburg;Totaal niet-actief;308.4;14.0
117;Limburg;Werkloosheids- en bijstandsuitk. ontv.;29.4;12.4
118;Limburg;Pensioenontvanger;187.8;15.4
119;Oost-Groningen;Totaal sociaal-economische categorie;103.5;16.3
120;Oost-Groningen;Totaal actief;59.6;18.6
121;Oost-Groningen;Werknemer;52.4;18.6
122;Oost-Groningen;Zelfstandige;7.1;18.7
123;Oost-Groningen;Totaal niet-actief;43.9;13.1
124;Oost-Groningen;Werkloosheids- en bijstandsuitk. ontv.;4.0;11.9
125;Oost-Groningen;Pensioenontvanger;28.1;13.7
126;Delfzijl en omgeving;Totaal sociaal-economische categorie;34.6;17.2
127;Delfzijl en omgeving;Totaal actief;20.7;19.6
128;Delfzijl en omgeving;Werknemer;18.0;19.5
129;Delfzijl en omgeving;Zelfstandige;2.7;20.4
130;Delfzijl en omgeving;Totaal niet-actief;13.9;13.7
131;Delfzijl en omgeving;Werkloosheids- en bijstandsuitk. ontv.;1.5;12.3
132;Delfzijl en omgeving;Pensioenontvanger;9.2;14.6
133;Overig Groningen;Totaal sociaal-economische categorie;243.6;17.3
134;Overig Groningen;Totaal actief;145.1;20.1
135;Overig Groningen;Werknemer;126.4;20.0
