ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;Verblijfsduur1eGeneratie;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2004/'05;93270.0;13000.0;80260.0;13.9
1;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2005/'06;98350.0;12450.0;85900.0;12.7
2;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2006/'07;96570.0;11290.0;85280.0;11.7
3;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2007/'08;95050.0;11250.0;83800.0;11.8
4;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2008/'09;92070.0;9690.0;82390.0;10.5
5;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Totaal verblijfsduur;2009/'10;91420.0;10230.0;81190.0;11.2
6;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2004/'05;28060.0;4580.0;23480.0;16.3
7;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2005/'06;25540.0;4020.0;21530.0;15.7
8;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2006/'07;20360.0;2750.0;17600.0;13.5
9;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2007/'08;17060.0;2220.0;14840.0;13.0
10;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2008/'09;17630.0;2250.0;15380.0;12.8
11;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;Minder dan 5 jaar;2009/'10;18670.0;2600.0;16070.0;13.9
12;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2004/'05;28230.0;3060.0;25170.0;10.8
13;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2005/'06;32690.0;3350.0;29330.0;10.3
14;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2006/'07;34580.0;3320.0;31270.0;9.6
15;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2007/'08;35210.0;3420.0;31790.0;9.7
16;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2008/'09;32420.0;2750.0;29670.0;8.5
17;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;5 tot 10 jaar;2009/'10;29410.0;2610.0;26800.0;8.9
18;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2004/'05;36900.0;5350.0;31550.0;14.5
19;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2005/'06;40040.0;5070.0;34980.0;12.7
20;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2006/'07;41550.0;5210.0;36340.0;12.5
21;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2007/'08;42570.0;5590.0;36980.0;13.1
22;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2008/'09;41980.0;4690.0;37290.0;11.2
23;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;0;10 jaar en langer;2009/'10;43290.0;5020.0;38280.0;11.6
24;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;15 jaar of jonger;Totaal verblijfsduur;2004/'05;21800.0;550.0;21250.0;2.5
25;Totaal mannen en vrouwen;Allochtonen 1e generatie;0;15 jaar of jonger;Totaal verblijfsduur;2005/'06;20590.0;480.0;20110.0;2.3
