ID;Beroep;Geslacht;Leeftijd;BurgerlijkeStaat;Personen_1
0;De geheele bevolking;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;7935519.0
1;De geheele bevolking;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;4532234.0
2;De geheele bevolking;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;3403285.0
3;De geheele bevolking;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;2283238.0
4;De geheele bevolking;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;2283238.0
5;De geheele bevolking;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
6;De geheele bevolking;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;600272.0
7;De geheele bevolking;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;599358.0
8;De geheele bevolking;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;914.0
9;De geheele bevolking;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;292247.0
10;De geheele bevolking;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;286270.0
11;De geheele bevolking;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;5977.0
12;De geheele bevolking;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;143588.0
13;De geheele bevolking;Totaal mannen en vrouwen;20 jaar;Ongehuwd;135466.0
14;De geheele bevolking;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;8122.0
15;De geheele bevolking;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;565703.0
16;De geheele bevolking;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;449354.0
17;De geheele bevolking;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;116349.0
18;De geheele bevolking;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;651598.0
