ID;RegioS;Perioden;AantalPersonen_1;GemiddeldBesteedbaarInkomen_2;RangnummerBesteedbaarInkomen_3;GemiddeldGestandaardiseerdInkomen_4;RangnummerGestandaardiseerdInkomen_5;AantalPersonen_6;InVanPersonenMetEnZonderInkomen_7;GemiddeldPersoonlijkInkomen_8;RangnummerPersoonlijkInkomen_9;GemiddeldBesteedbaarInkomen_10;RangnummerBesteedbaarInkomen_11
0;Nederland;2005;16334.2;12.7;;20.6;;10977.5;67.0;26.1;;18.1;
1;Nederland;2006;16358.0;13.4;;21.8;;11460.9;70.0;26.9;;18.7;
2;Nederland;2007;16405.4;14.4;;23.4;;11577.2;71.0;28.1;;20.0;
3;Nederland;2008;16485.8;14.7;;24.0;;11803.8;72.0;29.1;;20.2;
4;Nederland;2009 voor methodewijziging;16575.0;14.8;;24.1;;11900.3;72.0;29.6;;20.3;
5;Nederland;2009 na methodewijziging;16575.0;14.8;;24.1;;11901.1;72.0;29.5;;20.3;
6;Nederland;2010;16655.8;14.8;;24.1;;11970.7;72.0;29.8;;20.3;
7;Nederland;2011;16730.3;14.9;;24.1;;12068.9;72.0;30.3;;20.3;
8;Nederland;2012;16779.6;15.1;;24.4;;12089.5;72.0;30.6;;20.6;
9;Nederland;2013;16829.3;;;24.5;;12097.3;72.0;31.1;;;
10;Nederland;2014;16900.7;;;25.6;;12112.3;72.0;31.7;;;
11;Noord-Nederland (LD);2005;1700.8;11.6;4.0;18.8;4.0;1142.1;67.0;23.4;4.0;16.6;4.0
12;Noord-Nederland (LD);2006;1702.0;12.3;4.0;19.9;4.0;1190.1;70.0;24.1;4.0;17.2;4.0
13;Noord-Nederland (LD);2007;1704.8;13.1;4.0;21.2;4.0;1201.7;70.0;25.0;4.0;18.2;4.0
14;Noord-Nederland (LD);2008;1708.8;13.6;4.0;22.0;4.0;1225.7;72.0;25.9;4.0;18.6;4.0
15;Noord-Nederland (LD);2009 voor methodewijziging;1714.0;13.7;4.0;22.0;4.0;1232.3;72.0;26.5;4.0;18.7;4.0
16;Noord-Nederland (LD);2009 na methodewijziging;1714.0;13.6;4.0;21.9;4.0;1231.1;72.0;26.4;4.0;18.7;4.0
17;Noord-Nederland (LD);2010;1717.7;13.6;4.0;22.0;4.0;1234.7;72.0;26.7;4.0;18.7;4.0
