ID;Persoonskenmerken;WerkzameBeroepsbevolking_1;NietCursusdeelnemers_2;Cursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;Totaal personen;7030.0;3365.0;3665.0;52.2;3200.0;87.3
1;Geslacht: Mannen;3805.0;1865.0;1940.0;50.9;1740.0;89.8
2;Geslacht: Vrouwen;3230.0;1500.0;1730.0;53.6;1460.0;84.5
3;Leeftijd: 25 tot 35 jaar;1755.0;805.0;950.0;54.1;835.0;87.9
4;Leeftijd: 35 tot 45 jaar;1745.0;805.0;940.0;53.9;860.0;91.3
5;Leeftijd: 45 tot 55 jaar;2110.0;1040.0;1070.0;50.8;935.0;87.0
6;Leeftijd: 55 tot 65 jaar;1420.0;715.0;705.0;49.6;575.0;81.5
7;Migratieachtergrond: Nederland;5535.0;2570.0;2965.0;53.6;2655.0;89.5
8;Migratieachtergrond: westers;765.0;370.0;395.0;51.6;310.0;78.3
9;Migratieachtergrond: niet-westers;730.0;425.0;305.0;41.9;235.0;77.1
10;Migratieachtergrond : onbekend;;;;;;
11;Onderwijsniveau: laag onderwijs;1170.0;830.0;345.0;29.3;250.0;72.9
12;Onderwijsniveau: middelbaar onderwijs;2890.0;1540.0;1350.0;46.7;1205.0;89.1
13;Onderwijsniveau: hoog onderwijs;2850.0;920.0;1930.0;67.7;1725.0;89.4
14;Onderwijsniveau: onbekend;120.0;;;;;
15;Werkkring: vaste arbeidsrelatie;4735.0;2140.0;2595.0;54.8;2455.0;94.7
16;Werkkring: flexibele arbeidsrelatie;1035.0;545.0;490.0;47.3;350.0;71.7
17;Werkkring: zelfstandige;1265.0;680.0;585.0;46.3;395.0;67.5
18;Werkkring: positie onbekend;;;;;;
19;Arbeidsduur: minder dan 12 uur per week;445.0;;;;;
20;Arbeidsduur: 12 tot 20 uur per week;400.0;245.0;155.0;38.4;130.0;84.9
21;Arbeidsduur: 20 tot 28 uur per week;1005.0;500.0;505.0;50.4;425.0;84.2
22;Arbeidsduur: 28 tot 35 uur per week;1220.0;510.0;710.0;58.3;625.0;87.6
23;Arbeidsduur: 35 uur of meer per week;3965.0;1805.0;2160.0;54.5;1955.0;90.4
24;Anciënniteit: korter dan 2 jaar;895.0;470.0;425.0;47.4;315.0;74.0
25;Anciënniteit: 2 tot 5 jaar;1115.0;525.0;590.0;52.7;515.0;87.7
26;Anciënniteit: 5 tot 10 jaar;1445.0;680.0;770.0;53.1;680.0;88.9
27;Anciënniteit: 10 jaar of langer;3225.0;1505.0;1725.0;53.4;1580.0;91.6
28;Anciënniteit: onbekend;345.0;185.0;165.0;47.1;;
