ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
0;Total expenditure on health and care;Total financ schemes health,social care;1998;39380.0
1;Total expenditure on health and care;Total financ schemes health,social care;1999;42394.0
2;Total expenditure on health and care;Total financ schemes health,social care;2000;45361.0
3;Total expenditure on health and care;Total financ schemes health,social care;2001;50767.0
4;Total expenditure on health and care;Total financ schemes health,social care;2002;56663.0
5;Total expenditure on health and care;Total financ schemes health,social care;2003;60888.0
6;Total expenditure on health and care;Total financ schemes health,social care;2004;63003.0
7;Total expenditure on health and care;Total financ schemes health,social care;2005;65424.0
8;Total expenditure on health and care;Total financ schemes health,social care;2006;68495.0
9;Total expenditure on health and care;Total financ schemes health,social care;2007;72713.0
10;Total expenditure on health and care;Total financ schemes health,social care;2008;77705.0
11;Total expenditure on health and care;Total financ schemes health,social care;2009;82298.0
12;Total expenditure on health and care;Total financ schemes health,social care;2010;85790.0
13;Total expenditure on health and care;Total financ schemes health,social care;2011;88125.0
14;Total expenditure on health and care;Total financ schemes health,social care;2012;90622.0
15;Total expenditure on health and care;Total financ schemes health,social care;2013;90954.0
16;Total expenditure on health and care;Total financ schemes health,social care;2014;91927.0
17;Total expenditure on health and care;Total financ schemes health,social care;2015;92323.0
18;Total expenditure on health and care;Total financ schemes health,social care;2016;94842.0
19;Total expenditure on health and care;Total financ schemes health,social care;2017;96972.0
20;Total expenditure on health and care;Total financ schemes health,social care;2018;101031.0
21;Total expenditure on health and care;Total financ schemes health,social care;2019;107429.0
22;Total expenditure on health and care;Total financ schemes health,social care;2020;116384.0
23;Total expenditure on health and care;Total financ schemes health,social care;2021;124794.0
24;Total expenditure on health and care;Total financ schemes health,social care;2022;127306.0
25;Total expenditure on health and care;Total financing of residents;1998;39258.0
26;Total expenditure on health and care;Total financing of residents;1999;42269.0
27;Total expenditure on health and care;Total financing of residents;2000;45232.0
28;Total expenditure on health and care;Total financing of residents;2001;50632.0
29;Total expenditure on health and care;Total financing of residents;2002;56498.0
30;Total expenditure on health and care;Total financing of residents;2003;60730.0
31;Total expenditure on health and care;Total financing of residents;2004;62840.0
32;Total expenditure on health and care;Total financing of residents;2005;65253.0
33;Total expenditure on health and care;Total financing of residents;2006;68330.0
34;Total expenditure on health and care;Total financing of residents;2007;72549.0
35;Total expenditure on health and care;Total financing of residents;2008;77539.0
36;Total expenditure on health and care;Total financing of residents;2009;82116.0
37;Total expenditure on health and care;Total financing of residents;2010;85599.0
38;Total expenditure on health and care;Total financing of residents;2011;87921.0
39;Total expenditure on health and care;Total financing of residents;2012;90410.0
40;Total expenditure on health and care;Total financing of residents;2013;90748.0
41;Total expenditure on health and care;Total financing of residents;2014;91731.0
42;Total expenditure on health and care;Total financing of residents;2015;92115.0
43;Total expenditure on health and care;Total financing of residents;2016;94634.0
44;Total expenditure on health and care;Total financing of residents;2017;96761.0
45;Total expenditure on health and care;Total financing of residents;2018;100813.0
46;Total expenditure on health and care;Total financing of residents;2019;107199.0
47;Total expenditure on health and care;Total financing of residents;2020;116159.0
48;Total expenditure on health and care;Total financing of residents;2021;124572.0
49;Total expenditure on health and care;Total financing of residents;2022;127052.0
50;Total expenditure on health and care;HF1: Government, comp. contr. schemes;1998;28411.0
51;Total expenditure on health and care;HF1: Government, comp. contr. schemes;1999;30369.0
52;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2000;32621.0
53;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2001;36792.0
54;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2002;40953.0
55;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2003;44000.0
56;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2004;44569.0
57;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2005;46636.0
58;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2006;57297.0
59;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2007;61620.0
60;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2008;65111.0
61;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2009;69430.0
