ID;EigenaarOfHuurder;Huishoudkenmerken;Marges;Regio;Perioden;TevredenheidMetDeHuidigeWoning_1;TevredenheidMetDeHuidigeWoonomgeving_2
0;Totaal;Particuliere huishoudens;Waarde;Nederland;2002;89.2;84.3
1;Totaal;Particuliere huishoudens;Waarde;Nederland;2006;89.7;85.0
2;Totaal;Particuliere huishoudens;Waarde;Nederland;2009;90.0;83.4
3;Totaal;Particuliere huishoudens;Waarde;Nederland;2012;89.0;84.1
4;Totaal;Particuliere huishoudens;Waarde;Nederland;2015;86.9;82.0
5;Totaal;Particuliere huishoudens;Waarde;Nederland;2018;84.6;83.3
6;Totaal;Particuliere huishoudens;Waarde;Nederland;2021;85.6;83.8
7;Totaal;Particuliere huishoudens;Waarde;Nederland;2024;82.5;82.6
8;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2002;90.4;88.5
9;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2006;92.1;88.4
10;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2009;91.4;86.6
11;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2012;90.5;87.2
12;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2015;88.0;83.5
13;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2018;86.2;85.5
14;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2021;87.2;85.6
15;Totaal;Particuliere huishoudens;Waarde;Noord-Nederland (LD);2024;83.1;84.5
16;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2002;90.7;86.1
17;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2006;91.0;86.9
18;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2009;91.3;85.2
19;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2012;90.5;86.1
20;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2015;88.3;82.9
21;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2018;86.2;84.6
22;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2021;88.8;85.8
23;Totaal;Particuliere huishoudens;Waarde;Oost-Nederland (LD);2024;85.8;85.4
24;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2002;87.5;81.9
25;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2006;87.8;82.7
26;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2009;88.5;81.5
27;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2012;87.5;82.3
28;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2015;85.3;80.6
29;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2018;82.9;81.8
30;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2021;83.1;82.1
31;Totaal;Particuliere huishoudens;Waarde;West-Nederland (LD);2024;80.2;80.7
32;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2002;90.9;86.0
33;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2006;91.7;86.5
34;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2009;91.2;84.3
35;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2012;90.2;84.6
36;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2015;88.8;83.4
37;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2018;86.1;84.5
38;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2021;87.2;84.7
39;Totaal;Particuliere huishoudens;Waarde;Zuid-Nederland (LD);2024;83.9;83.3
40;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2002;88.9;86.6
41;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2006;91.1;88.3
42;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2009;90.3;85.5
43;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2012;88.7;85.8
44;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2015;86.7;79.9
45;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2018;84.8;83.9
46;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2021;85.3;82.7
47;Totaal;Particuliere huishoudens;Waarde;Groningen (PV);2024;80.8;80.7
48;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2002;91.0;90.4
49;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2006;91.8;87.5
50;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2009;92.0;86.6
51;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2012;90.6;87.6
52;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2015;87.5;85.8
53;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2018;87.4;85.8
54;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2021;88.9;87.3
55;Totaal;Particuliere huishoudens;Waarde;Friesland (PV);2024;83.1;85.8
56;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2002;91.6;88.2
57;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2006;93.7;89.6
58;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2009;92.0;87.8
59;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2012;92.4;88.4
60;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2015;90.3;84.9
61;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2018;86.4;87.1
62;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2021;87.4;86.9
63;Totaal;Particuliere huishoudens;Waarde;Drenthe (PV);2024;86.2;87.6
64;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2002;91.8;86.3
65;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2006;90.9;87.2
66;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2009;90.9;86.1
67;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2012;89.8;86.7
68;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2015;88.5;83.8
69;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2018;86.6;84.7
70;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2021;90.3;87.3
71;Totaal;Particuliere huishoudens;Waarde;Overijssel (PV);2024;87.2;87.2
72;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2002;91.8;82.6
73;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2006;89.4;84.0
74;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2009;91.0;83.1
75;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2012;89.6;82.8
76;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2015;88.6;78.4
77;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2018;85.0;81.2
78;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2021;88.5;83.0
79;Totaal;Particuliere huishoudens;Waarde;Flevoland (PV);2024;84.7;77.7
80;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2002;89.9;86.5
81;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2006;91.4;87.2
82;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2009;91.5;85.1
83;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2012;91.0;86.5
84;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2015;88.2;83.3
85;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2018;86.2;85.2
86;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2021;88.1;85.6
87;Totaal;Particuliere huishoudens;Waarde;Gelderland (PV);2024;85.3;86.0
88;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2002;90.6;84.3
89;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2006;89.3;84.1
90;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2009;90.5;82.9
91;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2012;89.7;83.8
92;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2015;87.5;81.4
93;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2018;86.9;83.3
94;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2021;86.4;85.5
95;Totaal;Particuliere huishoudens;Waarde;Utrecht (PV);2024;82.7;82.4
96;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2002;85.5;82.6
97;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2006;86.6;83.6
98;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2009;87.4;82.1
99;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2012;87.0;83.1
100;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2015;85.3;82.3
101;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2018;82.3;83.2
102;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2021;83.2;82.5
103;Totaal;Particuliere huishoudens;Waarde;Noord-Holland (PV);2024;80.1;82.1
104;Totaal;Particuliere huishoudens;Waarde;Zuid-Holland (PV);2002;87.4;79.9
105;Totaal;Particuliere huishoudens;Waarde;Zuid-Holland (PV);2006;87.7;80.9
106;Totaal;Particuliere huishoudens;Waarde;Zuid-Holland (PV);2009;88.4;79.9
107;Totaal;Particuliere huishoudens;Waarde;Zuid-Holland (PV);2012;86.7;80.6
108;Totaal;Particuliere huishoudens;Waarde;Zuid-Holland (PV);2015;84.1;78.5
