ID;Geslacht;Leeftijd;Beroepen;TypeInkomen;Perioden;AantalWerkzameArtsen_1;GemiddeldeWinst_2;GemiddeldJaarloonExclBijzBeloning_3;GemiddeldJaarloonInclBijzBeloning_4;GemiddeldJaarloonInclPerVTE_5;GemiddeldeDividendenAanmBelang_6;GemiddeldInkomenUitOverigeArbeid_7;GemiddeldGestandaardiseerdInkomen_8
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2011;14.1;71.7;79.7;92.2;100.1;4.8;0.9;73.2
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2012;14.6;73.7;79.4;91.2;99.1;4.4;0.9;74.1
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2013;15.2;73.2;79.7;95.4;103.5;2.3;0.6;74.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2014;15.3;74.5;80.6;93.3;101.5;9.9;0.7;80.7
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2015;16.0;28.0;110.0;126.0;134.7;1.9;0.8;70.8
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2016;16.4;26.0;111.6;130.1;139.0;3.6;0.6;71.7
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2017;16.9;24.9;113.0;128.8;138.0;6.1;0.5;75.2
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2018;17.1;21.0;116.3;131.8;;7.6;0.7;74.3
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2019;17.8;20.5;118.5;133.7;;23.6;0.8;86.3
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2020;18.4;20.1;120.4;136.6;;10.8;0.5;81.3
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal specialisten (excl. psychiaters);Totaal;2021;19.0;21.2;121.0;137.2;;9.1;0.6;82.7
