ID;OverheidNaarSubsector;Perioden;OverheidssaldoInPercentageBBP_1;OverheidssaldoInAbsoluteWaarde_2;OverheidsschuldInPercentageBBP_3;TotaleOverheidsschuld_4;ChartaalGeld_5;KortlopendeWaardepapieren_6;Obligaties_7;KortlopendeLeningen_8;LanglopendeLeningen_9
0;Totale overheid;1990;-5.3;-12962;76.9;187345.0;1113.0;908.0;92702.0;3370.0;89252.0
1;Totale overheid;1991;-2.7;-6874;76.7;197306.0;1158.0;259.0;104212.0;3356.0;88321.0
2;Totale overheid;1992;-4.2;-11149;77.4;207659.0;1161.0;305.0;116801.0;3601.0;85791.0
3;Totale overheid;1993;-2.8;-7713;78.5;216607.0;1163.0;1452.0;125807.0;3178.0;85007.0
4;Totale overheid;1994;-3.5;-10218;75.3;218266.0;1166.0;3464.0;128438.0;4123.0;81075.0
5;Totale overheid;1995;-9.2;-28137;76.1;232232.0;1183.0;5823.0;142200.0;5501.0;77525.0
6;Totale overheid;1996;-1.9;-6044;74.1;236953.0;1196.0;6998.0;150940.0;7521.0;70298.0
7;Totale overheid;1997;-1.2;-4272;68.2;233325.0;1214.0;6043.0;157071.0;4970.0;64027.0
8;Totale overheid;1998;-0.9;-3164;65.7;238189.0;1245.0;6971.0;165990.0;5136.0;58847.0
9;Totale overheid;1999;0.4;1600;61.1;236085.0;1244.0;5145.0;176092.0;5032.0;48572.0
10;Totale overheid;2000;2.0;8244;53.8;224767.0;1273.0;5578.0;170934.0;5709.0;41273.0
11;Totale overheid;2001;-0.2;-1079;50.7;227096.0;1238.0;5800.0;174033.0;8468.0;37557.0
12;Totale overheid;2002;-2.1;-9710;50.5;235106.0;671.0;16070.0;172072.0;9344.0;36949.0
13;Totale overheid;2003;-3.1;-14898;52.0;248009.0;701.0;20264.0;182281.0;7727.0;37036.0
14;Totale overheid;2004;-1.7;-8584;52.4;257604.0;690.0;17694.0;196747.0;5301.0;37172.0
15;Totale overheid;2005;-0.3;-1359;51.8;266060.0;626.0;17954.0;201583.0;6985.0;38912.0
16;Totale overheid;2006;0.5;2919;47.4;255916.0;614.0;13854.0;196903.0;5745.0;38800.0
17;Totale overheid;2007;0.2;1048;45.3;258982.0;607.0;16714.0;191323.0;11759.0;38579.0
18;Totale overheid;2008;0.6;3389;58.2;347065.0;599.0;84069.0;198738.0;13179.0;50480.0
19;Totale overheid;2009;-5.5;-31318;60.8;347610.0;505.0;57612.0;210260.0;12165.0;67068.0
20;Totale overheid;2010;-5.4;-31979;62.7;371028.0;434.0;53250.0;238746.0;13933.0;64665.0
21;Centrale overheid;1990;-5.2;-12644;;;;;;;
22;Centrale overheid;1991;-3.0;-7774;;;;;;;
23;Centrale overheid;1992;-4.3;-11564;;;;;;;
24;Centrale overheid;1993;-2.4;-6534;;;;;;;
25;Centrale overheid;1994;-3.3;-9588;;;;;;;
26;Centrale overheid;1995;-8.4;-25748;60.9;185830.0;1209.0;5642.0;142400.0;257.0;36322.0
27;Centrale overheid;1996;-1.5;-4887;59.4;190051.0;1219.0;6983.0;151394.0;208.0;30247.0
28;Centrale overheid;1997;-2.1;-7069;55.5;190052.0;1242.0;5959.0;156924.0;285.0;25642.0
29;Centrale overheid;1998;-1.1;-4167;53.6;194256.0;1268.0;6877.0;164752.0;159.0;21200.0
30;Centrale overheid;1999;-0.9;-3357;51.7;199635.0;1267.0;5107.0;174940.0;4838.0;13483.0
31;Centrale overheid;2000;0.4;1656;47.0;196637.0;1296.0;5609.0;169706.0;12557.0;7469.0
32;Centrale overheid;2001;-0.2;-935;44.7;200220.0;1258.0;5911.0;172661.0;15822.0;4568.0
33;Centrale overheid;2002;-1.2;-5376;44.3;206237.0;684.0;16130.0;170569.0;15033.0;3821.0
34;Centrale overheid;2003;-2.8;-13456;45.6;217724.0;719.0;20360.0;180895.0;11971.0;3779.0
35;Centrale overheid;2004;-1.7;-8347;46.4;227935.0;701.0;17790.0;195606.0;10218.0;3620.0
36;Centrale overheid;2005;0.1;268;45.7;234477.0;639.0;18050.0;200766.0;11599.0;3423.0
37;Centrale overheid;2006;0.9;4640;41.6;224664.0;625.0;13950.0;196291.0;10530.0;3268.0
38;Centrale overheid;2007;0.5;2832;39.9;227983.0;620.0;16810.0;190982.0;16189.0;3382.0
39;Centrale overheid;2008;0.5;2703;52.0;310015.0;614.0;84164.0;198727.0;13088.0;13422.0
40;Centrale overheid;2009;-3.4;-19668;52.7;301656.0;526.0;57654.0;212016.0;2513.0;28947.0
41;Centrale overheid;2010;-4.3;-25224;54.7;323499.0;451.0;53318.0;241615.0;4819.0;23296.0
42;Lokale overheid;1990;0.1;199;;;;;;;
43;Lokale overheid;1991;0.1;182;;;;;;;
44;Lokale overheid;1992;0.1;363;;;;;;;
45;Lokale overheid;1993;0.1;367;;;;;;;
46;Lokale overheid;1994;0.1;189;;;;;;;
47;Lokale overheid;1995;0.0;34;14.4;43981.0;-20.0;181.0;350.0;2189.0;41281.0
48;Lokale overheid;1996;0.2;583;13.6;43588.0;-20.0;15.0;208.0;3309.0;40076.0
49;Lokale overheid;1997;0.8;2851;12.0;40943.0;-23.0;84.0;156.0;2359.0;38367.0
