ID;SBI93;Perioden;TotaalEnergiedragers_1;Aardgas_2;Elektriciteit_3;LichteStookolieEnHbo_4;ZwareStookolie_5;WarmWater_6;OverigeEnergiedragers_7;TotaalEnergiedragers_8;Aardgas_9;Elektriciteit_10;LichteStookolieEnHbo_11;ZwareStookolie_12;WarmWater_13;OverigeEnergiedragers_14
0;8511a Intramurale zorg;1986;21732.0;487.0;895.0;27.0;23.0;0.0;1205.0;183.78;93.43;70.02;7.03;4.08;0.0;9.12
1;8511a Intramurale zorg;1988;20318.0;447.0;958.0;15.0;18.0;0.0;1452.0;137.31;60.94;64.48;3.09;2.81;0.0;5.99
2;8511a Intramurale zorg;1990;19484.0;433.0;998.0;13.0;17.0;514.0;536.0;145.53;63.8;68.88;3.49;2.81;4.13;2.41
3;8511a Intramurale zorg;1992;20608.0;463.0;1074.0;10.0;16.0;633.0;475.0;151.34;69.25;70.38;2.59;2.54;4.45;2.09
4;8511a Intramurale zorg;1994;20919.0;473.0;1080.0;9.0;15.0;759.0;385.0;150.93;66.12;73.56;2.04;2.31;5.35;1.59
5;8511a Intramurale zorg;1996;23116.0;541.0;1112.0;7.0;13.0;1032.0;177.0;176.34;85.45;78.19;2.0;2.27;7.53;0.86
6;8511a Intramurale zorg;1998;21926.0;509.0;1154.0;6.0;11.0;885.0;135.0;183.14;86.47;85.24;1.63;1.79;7.3;0.72
7;8511a Intramurale zorg;2000;19408.0;447.0;1054.0;3.0;11.0;897.0;;189.66;91.27;85.29;1.49;2.99;8.62;
8;8511b Ziekenhuizen, geen geest.gez zorg;1986;11791.0;241.0;553.0;10.0;19.0;0.0;1044.0;100.1;43.52;42.61;2.72;3.4;0.0;7.85
9;8511b Ziekenhuizen, geen geest.gez zorg;1988;11369.0;225.0;602.0;6.0;17.0;0.0;1206.0;76.28;28.68;38.93;1.23;2.59;0.0;4.86
10;8511b Ziekenhuizen, geen geest.gez zorg;1990;10825.0;219.0;630.0;6.0;16.0;418.0;363.0;80.68;29.99;41.66;1.45;2.59;3.4;1.59
11;8511b Ziekenhuizen, geen geest.gez zorg;1992;11571.0;237.0;680.0;4.0;14.0;514.0;375.0;83.4;32.22;42.66;1.04;2.36;3.54;1.59
12;8511b Ziekenhuizen, geen geest.gez zorg;1994;11680.0;241.0;659.0;4.0;14.0;630.0;319.0;80.95;29.63;42.66;0.95;2.18;4.31;1.27
13;8511b Ziekenhuizen, geen geest.gez zorg;1996;12521.0;275.0;644.0;3.0;11.0;815.0;122.0;91.26;39.48;42.79;0.73;2.04;5.67;0.54
14;8511b Ziekenhuizen, geen geest.gez zorg;1998;12057.0;267.0;656.0;3.0;10.0;655.0;114.0;93.52;39.68;45.78;0.7;1.62;5.14;0.61
15;8511b Ziekenhuizen, geen geest.gez zorg;2000;12133.0;276.0;612.0;2.0;11.0;706.0;;114.4;54.74;49.63;0.8;2.99;6.25;
16;8511.5 Instellingen voor geest.gez zorg;1986;2867.0;70.0;82.0;5.0;3.0;0.0;42.0;21.74;13.21;6.4;1.18;0.59;0.0;0.32
17;8511.5 Instellingen voor geest.gez zorg;1988;2584.0;65.0;83.0;3.0;1.0;0.0;84.0;15.61;8.71;5.85;0.54;0.18;0.0;0.36
18;8511.5 Instellingen voor geest.gez zorg;1990;2442.0;61.0;88.0;2.0;1.0;30.0;55.0;16.52;8.98;6.35;0.5;0.18;0.23;0.27
19;8511.5 Instellingen voor geest.gez zorg;1992;2589.0;66.0;94.0;1.0;1.0;37.0;24.0;17.33;9.89;6.53;0.36;0.18;0.27;0.09
20;8511.5 Instellingen voor geest.gez zorg;1994;2649.0;68.0;99.0;1.0;1.0;41.0;23.0;17.88;9.8;7.17;0.27;0.14;0.36;0.09
21;8511.5 Instellingen voor geest.gez zorg;1996;2984.0;75.0;110.0;1.0;1.0;94.0;11.0;21.78;12.16;8.17;0.36;0.23;0.82;0.05
22;8511.5 Instellingen voor geest.gez zorg;1998;2882.0;71.0;122.0;1.0;1.0;104.0;6.0;23.18;12.19;9.51;0.3;0.17;0.97;0.03
23;8511.5 Instellingen voor geest.gez zorg;2000;3289.0;79.0;177.0;1.0;0.0;106.0;;29.17;14.25;13.06;0.52;0.0;1.34;
24;8531.1 Verpleeghuizen;1986;4050.0;95.0;171.0;9.0;0.0;0.0;101.0;37.71;20.6;14.02;2.22;0.05;0.0;0.77
25;8531.1 Verpleeghuizen;1988;3657.0;86.0;178.0;5.0;0.0;0.0;132.0;28.13;13.48;12.98;0.95;0.05;0.0;0.64
26;8531.1 Verpleeghuizen;1990;3554.0;82.0;184.0;4.0;0.0;60.0;63.0;29.86;14.16;13.79;1.13;0.05;0.41;0.32
27;8531.1 Verpleeghuizen;1992;3719.0;88.0;194.0;4.0;0.0;72.0;42.0;31.31;15.79;13.84;0.86;0.05;0.54;0.23
28;8531.1 Verpleeghuizen;1994;3770.0;90.0;207.0;3.0;0.0;74.0;26.0;31.9;15.38;15.25;0.59;0.0;0.54;0.14
29;8531.1 Verpleeghuizen;1996;4411.0;106.0;232.0;2.0;0.0;107.0;27.0;38.3;19.15;17.47;0.59;0.0;0.91;0.14
30;8531.1 Verpleeghuizen;1998;4011.0;93.0;247.0;2.0;0.0;110.0;10.0;40.01;19.44;19.04;0.44;0.0;1.04;0.06
31;8531.1 Verpleeghuizen;2000;3986.0;93.0;264.0;0.0;0.0;86.0;;46.09;22.29;22.6;0.17;0.0;1.03;
32;8531.2 Huizen voor gehandicapten;1986;3024.0;81.0;89.0;4.0;0.0;0.0;18.0;24.19;16.11;7.03;0.95;0.05;0.0;0.14
33;8531.2 Huizen voor gehandicapten;1988;2707.0;72.0;95.0;2.0;0.0;0.0;30.0;17.29;10.07;6.67;0.36;0.0;0.0;0.14
34;8531.2 Huizen voor gehandicapten;1990;2664.0;69.0;97.0;2.0;0.0;5.0;55.0;18.47;10.66;7.08;0.45;0.0;0.05;0.27
35;8531.2 Huizen voor gehandicapten;1992;2729.0;72.0;106.0;1.0;0.0;10.0;34.0;19.29;11.34;7.4;0.27;0.0;0.09;0.14
36;8531.2 Huizen voor gehandicapten;1994;2820.0;74.0;115.0;1.0;0.0;14.0;17.0;20.15;11.3;8.49;0.18;0.0;0.09;0.09
37;8531.2 Huizen voor gehandicapten;1996;3200.0;85.0;126.0;1.0;0.0;16.0;17.0;24.96;14.7;9.76;0.27;0.0;0.14;0.09
38;8531.2 Huizen voor gehandicapten;1998;2976.0;78.0;129.0;1.0;0.0;16.0;4.0;26.44;15.17;10.91;0.19;0.0;0.15;0.02
39;8531.2 Huizen voor gehandicapten;2000;;;;;;;;;;;;;;
