ID;Geslacht;Herkomstgroepering;Onderwijssoort;Woongemeente;Perioden;AantalLeerlingenOnderzoekspopulatie_1;PercentageVSVErsOnderzoekspopulatie_2
0;Totaal mannen en vrouwen;0;Totaal vo en mbo;Totaal Nederland;2004/'05;1207.7;4.0
1;Totaal mannen en vrouwen;0;Totaal vo en mbo;Totaal Nederland;2005/'06;1285.3;4.0
2;Totaal mannen en vrouwen;0;Totaal vo en mbo;Totaal Nederland;2006/'07*;1297.2;4.0
3;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alkmaar;2004/'05;6.9;7.0
4;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alkmaar;2005/'06;7.2;5.0
5;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alkmaar;2006/'07*;7.1;5.0
6;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almelo;2004/'05;5.3;5.0
7;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almelo;2005/'06;5.7;4.0
8;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almelo;2006/'07*;5.8;4.0
9;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almere;2004/'05;15.9;5.0
10;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almere;2005/'06;17.0;5.0
11;Totaal mannen en vrouwen;0;Totaal vo en mbo;Almere;2006/'07*;17.5;5.0
12;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alphen aan den Rijn;2004/'05;5.3;5.0
13;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alphen aan den Rijn;2005/'06;5.7;4.0
14;Totaal mannen en vrouwen;0;Totaal vo en mbo;Alphen aan den Rijn;2006/'07*;5.8;4.0
15;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amersfoort;2004/'05;9.6;5.0
16;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amersfoort;2005/'06;10.4;4.0
17;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amersfoort;2006/'07*;10.7;4.0
18;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amstelveen;2004/'05;4.5;4.0
19;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amstelveen;2005/'06;4.8;4.0
20;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amstelveen;2006/'07*;5.0;4.0
21;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amsterdam;2004/'05;42.7;7.0
22;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amsterdam;2005/'06;44.3;6.0
23;Totaal mannen en vrouwen;0;Totaal vo en mbo;Amsterdam;2006/'07*;44.2;7.0
24;Totaal mannen en vrouwen;0;Totaal vo en mbo;Apeldoorn;2004/'05;12.1;4.0
25;Totaal mannen en vrouwen;0;Totaal vo en mbo;Apeldoorn;2005/'06;12.7;4.0
26;Totaal mannen en vrouwen;0;Totaal vo en mbo;Apeldoorn;2006/'07*;12.5;4.0
27;Totaal mannen en vrouwen;0;Totaal vo en mbo;Arnhem;2004/'05;8.8;6.0
28;Totaal mannen en vrouwen;0;Totaal vo en mbo;Arnhem;2005/'06;9.7;6.0
29;Totaal mannen en vrouwen;0;Totaal vo en mbo;Arnhem;2006/'07*;9.9;6.0
30;Totaal mannen en vrouwen;0;Totaal vo en mbo;Assen;2004/'05;4.4;4.0
31;Totaal mannen en vrouwen;0;Totaal vo en mbo;Assen;2005/'06;5.3;4.0
32;Totaal mannen en vrouwen;0;Totaal vo en mbo;Assen;2006/'07*;5.4;4.0
33;Totaal mannen en vrouwen;0;Totaal vo en mbo;Barneveld;2004/'05;5.2;4.0
34;Totaal mannen en vrouwen;0;Totaal vo en mbo;Barneveld;2005/'06;5.3;3.0
35;Totaal mannen en vrouwen;0;Totaal vo en mbo;Barneveld;2006/'07*;5.3;4.0
36;Totaal mannen en vrouwen;0;Totaal vo en mbo;Bergen op Zoom;2004/'05;5.0;5.0
37;Totaal mannen en vrouwen;0;Totaal vo en mbo;Bergen op Zoom;2005/'06;5.3;5.0
38;Totaal mannen en vrouwen;0;Totaal vo en mbo;Bergen op Zoom;2006/'07*;5.3;5.0
39;Totaal mannen en vrouwen;0;Totaal vo en mbo;Breda;2004/'05;11.3;5.0
40;Totaal mannen en vrouwen;0;Totaal vo en mbo;Breda;2005/'06;12.0;5.0
41;Totaal mannen en vrouwen;0;Totaal vo en mbo;Breda;2006/'07*;12.2;5.0
42;Totaal mannen en vrouwen;0;Totaal vo en mbo;Capelle aan den IJssel;2004/'05;5.0;5.0
43;Totaal mannen en vrouwen;0;Totaal vo en mbo;Capelle aan den IJssel;2005/'06;5.3;4.0
44;Totaal mannen en vrouwen;0;Totaal vo en mbo;Capelle aan den IJssel;2006/'07*;5.3;4.0
45;Totaal mannen en vrouwen;0;Totaal vo en mbo;Delft;2004/'05;5.4;5.0
46;Totaal mannen en vrouwen;0;Totaal vo en mbo;Delft;2005/'06;5.9;5.0
47;Totaal mannen en vrouwen;0;Totaal vo en mbo;Delft;2006/'07*;6.0;5.0
48;Totaal mannen en vrouwen;0;Totaal vo en mbo;Deventer;2004/'05;6.2;5.0
49;Totaal mannen en vrouwen;0;Totaal vo en mbo;Deventer;2005/'06;7.2;5.0
50;Totaal mannen en vrouwen;0;Totaal vo en mbo;Deventer;2006/'07*;7.2;4.0
51;Totaal mannen en vrouwen;0;Totaal vo en mbo;Doetinchem;2004/'05;3.7;4.0
52;Totaal mannen en vrouwen;0;Totaal vo en mbo;Doetinchem;2005/'06;4.7;3.0
53;Totaal mannen en vrouwen;0;Totaal vo en mbo;Doetinchem;2006/'07*;4.7;3.0
54;Totaal mannen en vrouwen;0;Totaal vo en mbo;Dordrecht;2004/'05;8.3;6.0
55;Totaal mannen en vrouwen;0;Totaal vo en mbo;Dordrecht;2005/'06;9.6;5.0
56;Totaal mannen en vrouwen;0;Totaal vo en mbo;Dordrecht;2006/'07*;9.6;5.0
57;Totaal mannen en vrouwen;0;Totaal vo en mbo;Ede;2004/'05;9.1;4.0
58;Totaal mannen en vrouwen;0;Totaal vo en mbo;Ede;2005/'06;9.5;4.0
59;Totaal mannen en vrouwen;0;Totaal vo en mbo;Ede;2006/'07*;9.5;4.0
60;Totaal mannen en vrouwen;0;Totaal vo en mbo;Eindhoven;2004/'05;12.9;6.0
61;Totaal mannen en vrouwen;0;Totaal vo en mbo;Eindhoven;2005/'06;13.5;5.0
62;Totaal mannen en vrouwen;0;Totaal vo en mbo;Eindhoven;2006/'07*;13.7;4.0
63;Totaal mannen en vrouwen;0;Totaal vo en mbo;Emmen;2004/'05;8.0;4.0
64;Totaal mannen en vrouwen;0;Totaal vo en mbo;Emmen;2005/'06;8.6;4.0
65;Totaal mannen en vrouwen;0;Totaal vo en mbo;Emmen;2006/'07*;8.7;4.0
66;Totaal mannen en vrouwen;0;Totaal vo en mbo;Enschede;2004/'05;10.3;5.0
67;Totaal mannen en vrouwen;0;Totaal vo en mbo;Enschede;2005/'06;11.0;4.0
68;Totaal mannen en vrouwen;0;Totaal vo en mbo;Enschede;2006/'07*;11.2;5.0
69;Totaal mannen en vrouwen;0;Totaal vo en mbo;Gouda;2004/'05;5.0;4.0
70;Totaal mannen en vrouwen;0;Totaal vo en mbo;Gouda;2005/'06;5.9;4.0
71;Totaal mannen en vrouwen;0;Totaal vo en mbo;Gouda;2006/'07*;5.9;4.0
72;Totaal mannen en vrouwen;0;Totaal vo en mbo;'s-Gravenhage (gemeente);2004/'05;26.4;6.0
73;Totaal mannen en vrouwen;0;Totaal vo en mbo;'s-Gravenhage (gemeente);2005/'06;30.9;6.0
74;Totaal mannen en vrouwen;0;Totaal vo en mbo;'s-Gravenhage (gemeente);2006/'07*;31.2;6.0
75;Totaal mannen en vrouwen;0;Totaal vo en mbo;Groningen (gemeente);2004/'05;8.3;5.0
76;Totaal mannen en vrouwen;0;Totaal vo en mbo;Groningen (gemeente);2005/'06;9.8;4.0
77;Totaal mannen en vrouwen;0;Totaal vo en mbo;Groningen (gemeente);2006/'07*;9.9;5.0
78;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlem;2004/'05;9.4;6.0
79;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlem;2005/'06;9.7;5.0
80;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlem;2006/'07*;9.7;5.0
81;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlemmermeer;2004/'05;9.9;4.0
82;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlemmermeer;2005/'06;10.5;4.0
83;Totaal mannen en vrouwen;0;Totaal vo en mbo;Haarlemmermeer;2006/'07*;10.7;3.0
84;Totaal mannen en vrouwen;0;Totaal vo en mbo;Hardenberg;2004/'05;5.0;3.0
85;Totaal mannen en vrouwen;0;Totaal vo en mbo;Hardenberg;2005/'06;5.6;2.0
86;Totaal mannen en vrouwen;0;Totaal vo en mbo;Hardenberg;2006/'07*;5.7;2.0
87;Totaal mannen en vrouwen;0;Totaal vo en mbo;Heerlen;2004/'05;6.3;6.0
88;Totaal mannen en vrouwen;0;Totaal vo en mbo;Heerlen;2005/'06;6.5;6.0
89;Totaal mannen en vrouwen;0;Totaal vo en mbo;Heerlen;2006/'07*;6.4;6.0
90;Totaal mannen en vrouwen;0;Totaal vo en mbo;Den Helder;2004/'05;4.5;6.0
