ID;Geslacht;Leeftijd;Onderwijsniveau;PositieInDeWerkkring;Marges;Perioden;Organisatiegraad_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2018;18.4
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2019;18.1
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2020;17.5
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2021;17.2
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2022;16.3
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2023;15.4
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Waarde;2024;16.0
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2018;18.1
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2019;17.8
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2020;17.2
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2021;16.9
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2022;15.9
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2023;15.0
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Ondergrens 95%-interval;2024;15.5
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2018;18.7
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2019;18.4
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2020;17.9
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2021;17.5
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2022;16.8
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2023;15.8
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer;Bovengrens 95%-interval;2024;16.4
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2018;21.4
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2019;21.0
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2020;19.9
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2021;19.6
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2022;19.4
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2023;18.3
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Waarde;2024;18.8
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2018;21.1
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2019;20.7
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2020;19.6
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2021;19.2
32;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2022;18.9
33;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;Werknemer met vaste arbeidsrelatie;Ondergrens 95%-interval;2023;17.8
