ID;Geslacht;Persoonskenmerken;Onderwijsniveau;Baankenmerken;Perioden;BanenVanWerknemers_1;BrutoUurloon_2
0;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Totaal;2010;7330.7;20.3
1;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Cao-sector: gesubsidieerde instellingen;2010;1350.6;19.2
2;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Cao-sector: overheid;2010;1036.4;24.3
3;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Cao-sector: particuliere bedrijven;2010;4943.7;19.7
4;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Dienstverband: voltijd;2010;3596.5;21.4
5;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Dienstverband: deeltijd;2010;3734.2;18.2
6;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Totaal;2010;1996.6;14.4
7;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Cao-sector: gesubsidieerde instellingen;2010;296.0;13.4
8;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Cao-sector: overheid;2010;91.2;16.5
9;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Cao-sector: particuliere bedrijven;2010;1609.5;14.5
10;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Dienstverband: voltijd;2010;857.1;15.5
11;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Dienstverband: deeltijd;2010;1139.6;12.6
12;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Totaal;2010;3206.2;18.2
13;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Cao-sector: gesubsidieerde instellingen;2010;669.5;17.7
14;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Cao-sector: overheid;2010;324.0;20.0
15;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Cao-sector: particuliere bedrijven;2010;2212.7;18.1
16;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Dienstverband: voltijd;2010;1552.8;18.9
17;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Dienstverband: deeltijd;2010;1653.4;16.9
18;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Totaal;2010;2127.9;27.8
19;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Cao-sector: gesubsidieerde instellingen;2010;385.0;25.3
20;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Cao-sector: overheid;2010;621.3;27.7
21;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Cao-sector: particuliere bedrijven;2010;1121.6;28.5
22;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Dienstverband: voltijd;2010;1186.7;29.0
23;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Dienstverband: deeltijd;2010;941.2;25.1
24;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Totaal;2010;1319.8;10.5
25;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Cao-sector: gesubsidieerde instellingen;2010;178.8;11.9
26;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Cao-sector: overheid;2010;66.5;13.0
27;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Cao-sector: particuliere bedrijven;2010;1074.5;10.1
28;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Dienstverband: voltijd;2010;385.4;10.9
29;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Dienstverband: deeltijd;2010;934.4;10.1
30;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Totaal;2010;667.2;8.8
31;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Cao-sector: gesubsidieerde instellingen;2010;69.1;9.4
32;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Cao-sector: overheid;2010;16.7;10.5
33;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Cao-sector: particuliere bedrijven;2010;581.5;8.7
34;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Dienstverband: voltijd;2010;166.6;9.4
35;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Dienstverband: deeltijd;2010;500.6;8.2
36;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Totaal;2010;573.9;11.7
37;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Cao-sector: gesubsidieerde instellingen;2010;96.7;13.0
38;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Cao-sector: overheid;2010;37.6;13.3
39;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Cao-sector: particuliere bedrijven;2010;439.6;11.2
40;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Dienstverband: voltijd;2010;188.7;11.7
41;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;Dienstverband: deeltijd;2010;385.1;11.7
42;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Totaal;2010;78.7;14.5
43;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Cao-sector: gesubsidieerde instellingen;2010;13.0;15.4
44;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Cao-sector: overheid;2010;12.3;16.0
45;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Cao-sector: particuliere bedrijven;2010;53.4;13.7
46;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Dienstverband: voltijd;2010;30.1;14.3
47;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: hoog;Dienstverband: deeltijd;2010;48.6;14.7
48;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Totaal;Totaal;2010;1564.2;18.0
49;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Totaal;Cao-sector: gesubsidieerde instellingen;2010;260.7;18.2
