ID;Geslacht;Peilleeftijd;Migratieachtergrond;BurgerlijkeStaat;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
0;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2005;11021900;4100.0;9100.0;41.0;3100.0;8000.0;36.0;45.0;7200.0;17100.0;77.0
1;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2006;11033000;4200.0;9200.0;38.0;3200.0;8900.0;37.0;46.0;7400.0;18100.0;75.0
2;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2007;11059850;4400.0;9500.0;38.0;3700.0;9900.0;40.0;46.0;8100.0;19400.0;78.0
3;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2008;11097250;4500.0;9800.0;37.0;3700.0;10300.0;39.0;46.0;8200.0;20100.0;76.0
4;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2009;11125350;4800.0;10300.0;39.0;3600.0;9300.0;35.0;41.0;8400.0;19600.0;74.0
5;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2010;11155250;4900.0;10400.0;39.0;3400.0;8900.0;33.0;40.0;8300.0;19300.0;72.0
6;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2011;11119300;4900.0;10600.0;39.0;3300.0;8800.0;32.0;39.0;8200.0;19400.0;71.0
7;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2012;11080250;5000.0;10700.0;39.0;3400.0;8800.0;32.0;37.0;8400.0;19500.0;71.0
8;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2013;11062600;5000.0;10800.0;41.0;3400.0;8100.0;31.0;33.0;8400.0;18900.0;72.0
9;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Totaal burgerlijke staat;2014;11068050;5000.0;10800.0;40.0;3700.0;8300.0;31.0;32.0;8700.0;19100.0;71.0
10;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2005;4387200;2600.0;10300.0;61.0;1300.0;5900.0;35.0;19.0;3900.0;16200.0;96.0
11;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2006;4439400;2700.0;10500.0;58.0;1300.0;6900.0;38.0;20.0;4000.0;17400.0;96.0
12;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2007;4486400;2800.0;10800.0;57.0;1600.0;7700.0;41.0;20.0;4400.0;18500.0;98.0
13;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2008;4568200;2900.0;11100.0;56.0;1600.0;8000.0;41.0;21.0;4500.0;19100.0;97.0
14;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2009;4643300;3100.0;11600.0;58.0;1500.0;7000.0;35.0;18.0;4600.0;18600.0;93.0
15;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2010;4719950;3200.0;11700.0;58.0;1500.0;6700.0;34.0;18.0;4700.0;18400.0;92.0
16;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2011;4800200;3200.0;11900.0;58.0;1500.0;6700.0;33.0;18.0;4700.0;18600.0;91.0
17;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2012;4868750;3300.0;12000.0;59.0;1500.0;6600.0;32.0;16.0;4800.0;18600.0;91.0
18;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2013;4951550;3400.0;12000.0;63.0;1500.0;5800.0;30.0;14.0;4900.0;17800.0;93.0
19;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Ongehuwd;2014;5043400;3400.0;12000.0;62.0;1700.0;5800.0;30.0;15.0;5100.0;17800.0;92.0
20;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2005;5636050;4900.0;7900.0;31.0;4500.0;9700.0;37.0;66.0;9400.0;17600.0;68.0
21;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2006;5580250;5000.0;8000.0;28.0;4600.0;10800.0;38.0;67.0;9600.0;18800.0;66.0
22;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2007;5505350;5200.0;8300.0;28.0;5200.0;11900.0;40.0;68.0;10400.0;20200.0;68.0
23;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2008;5448850;5400.0;8500.0;28.0;5300.0;12300.0;40.0;67.0;10700.0;20800.0;68.0
24;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2009;5396350;5700.0;9000.0;29.0;5200.0;11300.0;36.0;61.0;10900.0;20300.0;65.0
25;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;Totaal;Gehuwd;2010;5343550;5800.0;9100.0;28.0;4900.0;11000.0;34.0;59.0;10700.0;20100.0;62.0
