ID;SBI93;Bedrijfsgrootte;VerlagingTransactiekosten_1;LagereInkoopprijzen_2;ToegankelijkheidLeveranciers_3;VerminderenVoorraden_4;VersnellingBedrijfsprocessen_5;PROverweging_6;Kostenverlaging_7;VersnellingBedrijfsprocessen_8;NieuweGoederenDiensten_9;ConcurrentieVoorblijven_10;NieuweKlanten_11;VergrotingAfzetmarkt_12;VerbeteringDienstverlening_13
0;1;1;15.0;17.0;27.0;10.0;38.0;47.0;15.0;25.0;20.0;26.0;36.0;18.0;32.0
1;1;2;15.0;18.0;25.0;10.0;37.0;47.0;15.0;25.0;21.0;26.0;38.0;18.0;31.0
2;1;3;15.0;15.0;29.0;10.0;39.0;46.0;12.0;22.0;19.0;25.0;32.0;19.0;32.0
3;1;4;16.0;16.0;30.0;12.0;40.0;48.0;26.0;41.0;17.0;28.0;28.0;12.0;42.0
4;1;5;15.0;19.0;25.0;9.0;41.0;43.0;15.0;25.0;20.0;25.0;37.0;19.0;31.0
5;1;6;13.0;17.0;25.0;10.0;32.0;53.0;14.0;26.0;22.0;27.0;39.0;17.0;31.0
6;1;7;16.0;15.0;28.0;9.0;40.0;46.0;11.0;21.0;20.0;25.0;34.0;20.0;29.0
7;1;8;12.0;15.0;29.0;12.0;36.0;47.0;15.0;26.0;16.0;23.0;27.0;16.0;41.0
8;1;9;14.0;15.0;32.0;12.0;39.0;45.0;24.0;37.0;15.0;28.0;29.0;14.0;38.0
9;1;200 tot 500 werknemers;13.0;13.0;28.0;12.0;39.0;48.0;25.0;42.0;21.0;28.0;24.0;11.0;42.0
10;1;500 en meer werknemers;24.0;23.0;28.0;12.0;45.0;54.0;34.0;50.0;18.0;30.0;31.0;9.0;51.0
11;2;1;6.0;14.0;14.0;7.0;16.0;22.0;9.0;17.0;20.0;23.0;18.0;9.0;9.0
12;2;2;;;;;;;;;;;;;
13;2;3;;;;;;;;;;;;;
14;2;4;;;;;;;;;;;;;
15;2;5;;;;;;;;;;;;;
16;2;6;;;;;;;;;;;;;
17;2;7;;;;;;;;;;;;;
18;2;8;;;;;;;;;;;;;
19;2;9;;;;;;;;;;;;;
20;2;200 tot 500 werknemers;;;;;;;;;;;;;
21;2;500 en meer werknemers;;;;;;;;;;;;;
22;3;1;15.0;15.0;15.0;8.0;35.0;13.0;13.0;24.0;0.0;0.0;0.0;0.0;13.0
23;3;2;;;;;;;;;;;;;
24;3;3;;;;;;;;;;;;;
25;3;4;;;;;;;;;;;;;
26;3;5;;;;;;;;;;;;;
27;3;6;;;;;;;;;;;;;
28;3;7;;;;;;;;;;;;;
29;3;8;;;;;;;;;;;;;
30;3;9;;;;;;;;;;;;;
31;3;200 tot 500 werknemers;;;;;;;;;;;;;
32;3;500 en meer werknemers;;;;;;;;;;;;;
33;4;1;14.0;16.0;20.0;6.0;36.0;44.0;11.0;25.0;17.0;24.0;35.0;26.0;28.0
34;4;2;15.0;17.0;12.0;4.0;44.0;43.0;8.0;26.0;12.0;25.0;40.0;27.0;33.0
35;4;3;10.0;14.0;25.0;8.0;25.0;48.0;10.0;18.0;25.0;26.0;36.0;29.0;21.0
36;4;4;20.0;19.0;33.0;12.0;39.0;36.0;26.0;40.0;13.0;17.0;16.0;10.0;33.0
37;4;5;;;;;;;;;;;;;
38;4;6;;;;;;;;;;;;;
39;4;7;;;;;;;;;;;;;
40;4;8;;;;;;;;;;;;;
41;4;9;;;;;;;;;;;;;
42;4;200 tot 500 werknemers;;;;;;;;;;;;;
43;4;500 en meer werknemers;;;;;;;;;;;;;
44;5;1;34.0;21.0;16.0;21.0;58.0;38.0;20.0;46.0;46.0;25.0;12.0;12.0;46.0
45;5;2;;;;;;;;;;;;;
46;5;3;;;;;;;;;;;;;
47;5;4;;;;;;;;;;;;;
48;5;5;;;;;;;;;;;;;
49;5;6;;;;;;;;;;;;;
50;5;7;;;;;;;;;;;;;
51;5;8;;;;;;;;;;;;;
52;5;9;;;;;;;;;;;;;
53;5;200 tot 500 werknemers;;;;;;;;;;;;;
54;5;500 en meer werknemers;;;;;;;;;;;;;
55;6;1;11.0;12.0;15.0;13.0;40.0;34.0;0.0;15.0;7.0;20.0;23.0;4.0;9.0
56;6;2;16.0;15.0;11.0;20.0;46.0;28.0;0.0;13.0;0.0;19.0;21.0;0.0;6.0
57;6;3;2.0;3.0;21.0;1.0;28.0;50.0;0.0;19.0;22.0;23.0;27.0;14.0;13.0
