ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
0;78 Temp employment agencies, job pools, ;2005 1st quarter;47.2;;51.6;
1;78 Temp employment agencies, job pools, ;2005 2nd quarter;54.8;;54.5;5.7
2;78 Temp employment agencies, job pools, ;2005 3rd quarter;57.3;;56.6;3.9
3;78 Temp employment agencies, job pools, ;2005 4th quarter;61.9;;58.7;3.6
4;78 Temp employment agencies, job pools, ;2005;55.3;;55.3;
5;78 Temp employment agencies, job pools, ;2006 1st quarter;59.3;25.5;63.7;8.6
6;78 Temp employment agencies, job pools, ;2006 2nd quarter;67.4;23.0;67.1;5.3
7;78 Temp employment agencies, job pools, ;2006 3rd quarter;72.0;25.6;71.2;6.1
8;78 Temp employment agencies, job pools, ;2006 4th quarter;78.0;26.0;74.6;4.8
9;78 Temp employment agencies, job pools, ;2006;69.2;25.0;69.2;25.0
10;78 Temp employment agencies, job pools, ;2007 1st quarter;75.2;26.8;79.7;6.8
11;78 Temp employment agencies, job pools, ;2007 2nd quarter;83.1;23.4;82.9;4.1
12;78 Temp employment agencies, job pools, ;2007 3rd quarter;86.8;20.6;86.0;3.7
13;78 Temp employment agencies, job pools, ;2007 4th quarter;93.0;19.1;89.5;4.1
14;78 Temp employment agencies, job pools, ;2007;84.5;22.2;84.5;22.2
15;78 Temp employment agencies, job pools, ;2008 1st quarter;86.5;15.1;91.3;1.9
16;78 Temp employment agencies, job pools, ;2008 2nd quarter;94.7;13.9;94.6;3.6
17;78 Temp employment agencies, job pools, ;2008 3rd quarter;94.2;8.4;93.2;-1.4
18;78 Temp employment agencies, job pools, ;2008 4th quarter;96.4;3.6;92.6;-0.7
19;78 Temp employment agencies, job pools, ;2008;92.9;9.9;92.9;9.9
20;78 Temp employment agencies, job pools, ;2009 1st quarter;83.8;-3.1;88.9;-4.0
21;78 Temp employment agencies, job pools, ;2009 2nd quarter;82.3;-13.0;82.2;-7.5
22;78 Temp employment agencies, job pools, ;2009 3rd quarter;82.1;-12.8;81.1;-1.3
23;78 Temp employment agencies, job pools, ;2009 4th quarter;81.9;-15.0;78.1;-3.7
24;78 Temp employment agencies, job pools, ;2009;82.5;-11.2;82.6;-11.2
25;78 Temp employment agencies, job pools, ;2010 1st quarter;71.2;-15.1;76.4;-2.1
26;78 Temp employment agencies, job pools, ;2010 2nd quarter;77.8;-5.5;77.5;1.4
27;78 Temp employment agencies, job pools, ;2010 3rd quarter;81.6;-0.7;80.4;3.7
28;78 Temp employment agencies, job pools, ;2010 4th quarter;85.3;4.2;81.4;1.3
29;78 Temp employment agencies, job pools, ;2010;79.0;-4.3;78.9;-4.4
30;78 Temp employment agencies, job pools, ;2011 1st quarter;77.9;9.5;83.3;2.3
31;78 Temp employment agencies, job pools, ;2011 2nd quarter;86.0;10.6;85.7;2.9
32;78 Temp employment agencies, job pools, ;2011 3rd quarter;85.9;5.4;84.6;-1.3
33;78 Temp employment agencies, job pools, ;2011 4th quarter;88.3;3.6;84.6;-0.1
34;78 Temp employment agencies, job pools, ;2011;84.6;7.1;84.6;7.1
35;78 Temp employment agencies, job pools, ;2012 1st quarter;78.4;0.6;84.0;-0.7
36;78 Temp employment agencies, job pools, ;2012 2nd quarter;83.5;-2.9;83.1;-1.1
37;78 Temp employment agencies, job pools, ;2012 3rd quarter;83.4;-3.0;82.0;-1.3
38;78 Temp employment agencies, job pools, ;2012 4th quarter;85.3;-3.4;81.6;-0.5
39;78 Temp employment agencies, job pools, ;2012;82.6;-2.3;82.6;-2.3
40;78 Temp employment agencies, job pools, ;2013 1st quarter;75.4;-3.9;81.9;0.5
41;78 Temp employment agencies, job pools, ;2013 2nd quarter;84.5;1.2;84.6;3.3
42;78 Temp employment agencies, job pools, ;2013 3rd quarter;88.4;6.0;86.7;2.5
43;78 Temp employment agencies, job pools, ;2013 4th quarter;94.2;10.4;88.3;1.9
44;78 Temp employment agencies, job pools, ;2013;85.6;3.6;85.4;3.3
45;78 Temp employment agencies, job pools, ;2014 1st quarter;79.1;4.9;86.4;-2.2
46;78 Temp employment agencies, job pools, ;2014 2nd quarter;89.2;5.5;89.4;3.5
47;78 Temp employment agencies, job pools, ;2014 3rd quarter;93.4;5.6;91.5;2.3
48;78 Temp employment agencies, job pools, ;2014 4th quarter;99.6;5.8;93.1;1.7
49;78 Temp employment agencies, job pools, ;2014;90.3;5.5;90.1;5.5
50;78 Temp employment agencies, job pools, ;2015 1st quarter;85.4;8.0;93.6;0.6
51;78 Temp employment agencies, job pools, ;2015 2nd quarter;97.4;9.3;97.7;4.4
52;78 Temp employment agencies, job pools, ;2015 3rd quarter;103.5;10.8;101.6;4.0
53;78 Temp employment agencies, job pools, ;2015 4th quarter;113.7;14.2;106.1;4.4
54;78 Temp employment agencies, job pools, ;2015;100.0;10.7;99.7;10.7
55;78 Temp employment agencies, job pools, ;2016 1st quarter;93.9;10.0;103.0;-2.9
56;78 Temp employment agencies, job pools, ;2016 2nd quarter;105.7;8.5;105.7;2.6
57;78 Temp employment agencies, job pools, ;2016 3rd quarter;109.7;6.0;108.1;2.3
58;78 Temp employment agencies, job pools, ;2016 4th quarter;118.9;4.6;110.9;2.6
59;78 Temp employment agencies, job pools, ;2016;107.0;7.0;106.9;7.2
60;78 Temp employment agencies, job pools, ;2017 1st quarter;102.6;9.3;112.5;1.5
61;78 Temp employment agencies, job pools, ;2017 2nd quarter;115.3;9.1;114.8;2.0
62;78 Temp employment agencies, job pools, ;2017 3rd quarter;117.6;7.2;116.5;1.4
63;78 Temp employment agencies, job pools, ;2017 4th quarter;129.0;8.4;120.4;3.4
64;78 Temp employment agencies, job pools, ;2017;116.1;8.5;116.0;8.5
65;78 Temp employment agencies, job pools, ;2018 1st quarter;115.0;12.0;125.6;4.3
66;78 Temp employment agencies, job pools, ;2018 2nd quarter;129.4;12.2;128.6;2.3
67;78 Temp employment agencies, job pools, ;2018 3rd quarter;130.9;11.3;130.4;1.4
68;78 Temp employment agencies, job pools, ;2018 4th quarter;142.8;10.7;133.1;2.0
69;78 Temp employment agencies, job pools, ;2018;129.5;11.5;129.4;11.5
70;78 Temp employment agencies, job pools, ;2019 1st quarter;123.3;7.3;134.8;1.3
71;78 Temp employment agencies, job pools, ;2019 2nd quarter;136.5;5.5;135.4;0.4
72;78 Temp employment agencies, job pools, ;2019 3rd quarter;135.4;3.4;135.5;0.1
73;78 Temp employment agencies, job pools, ;2019 4th quarter;146.1;2.3;135.5;0.0
74;78 Temp employment agencies, job pools, ;2019;135.3;4.5;135.3;4.6
75;78 Temp employment agencies, job pools, ;2020 1st quarter;122.1;-1.0;132.6;-2.1
76;78 Temp employment agencies, job pools, ;2020 2nd quarter;113.8;-16.7;112.3;-15.3
77;78 Temp employment agencies, job pools, ;2020 3rd quarter;121.6;-10.1;121.7;8.4
78;78 Temp employment agencies, job pools, ;2020 4th quarter;136.3;-6.8;127.9;5.1
79;78 Temp employment agencies, job pools, ;2020;123.4;-8.8;123.7;-8.6
80;78 Temp employment agencies, job pools, ;2021 1st quarter;119.0;-2.5;129.7;1.4
81;78 Temp employment agencies, job pools, ;2021 2nd quarter;136.2;19.7;134.4;3.7
82;78 Temp employment agencies, job pools, ;2021 3rd quarter;138.7;14.0;139.4;3.7
83;78 Temp employment agencies, job pools, ;2021 4th quarter;155.8;14.3;145.7;4.6
84;78 Temp employment agencies, job pools, ;2021;137.4;11.3;137.3;11.0
85;78 Temp employment agencies, job pools, ;2022 1st quarter;141.5;18.9;153.8;5.5
86;78 Temp employment agencies, job pools, ;2022 2nd quarter;156.9;15.2;154.9;0.7
87;78 Temp employment agencies, job pools, ;2022 3rd quarter;157.8;13.8;158.7;2.5
88;78 Temp employment agencies, job pools, ;2022 4th quarter;173.8;11.6;162.7;2.5
89;78 Temp employment agencies, job pools, ;2022;157.5;14.6;157.5;14.7
90;78 Temp employment agencies, job pools, ;2023 1st quarter;155.7;10.0;167.5;2.9
91;78 Temp employment agencies, job pools, ;2023 2nd quarter;167.8;7.0;165.9;-0.9
92;78 Temp employment agencies, job pools, ;2023 3rd quarter;164.8;4.4;166.5;0.4
93;78 Temp employment agencies, job pools, ;2023 4th quarter;179.9;3.5;168.3;1.1
94;78 Temp employment agencies, job pools, ;2023;167.0;6.1;167.1;6.1
