ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
0;Total government expenditure;Total;General government;1995;180812.0
1;Total government expenditure;Total;General government;1996;166162.0
2;Total government expenditure;Total;General government;1997;171721.0
3;Total government expenditure;Total;General government;1998;179165.0
4;Total government expenditure;Total;General government;1999;186022.0
5;Total government expenditure;Total;General government;2000;195393.0
6;Total government expenditure;Total;General government;2001;212858.0
7;Total government expenditure;Total;General government;2002;225205.0
8;Total government expenditure;Total;General government;2003;235578.0
9;Total government expenditure;Total;General government;2004;237470.0
10;Total government expenditure;Total;General government;2005;240167.0
11;Total government expenditure;Total;General government;2006;258252.0
12;Total government expenditure;Total;General government;2007;269466.0
13;Total government expenditure;Total;General government;2008;288260.0
14;Total government expenditure;Total;General government;2009;305176.0
15;Total government expenditure;Total;General government;2010;314223.0
16;Total government expenditure;Total;General government;2011;313416.0
17;Total government expenditure;Total;General government;2012;313598.0
18;Total government expenditure;Total;General government;2013;316425.0
19;Total government expenditure;Total;General government;2014;317186.0
20;Total government expenditure;Total;General government;2015;316389.0
21;Total government expenditure;Total;General government;2016;316279.0
22;Total government expenditure;Total;General government;2017;321059.0
23;Total government expenditure;Total;General government;2018;334143.0
24;Total government expenditure;Total;General government;2019;349318.0
25;Total government expenditure;Total;General government;2020;390377.0
26;Total government expenditure;Total;General government;2021;409171.0
27;Total government expenditure;Total;General government;2022;429746.0
28;Total government expenditure;Total;General government;2023;461217.0
29;Total government expenditure;Total;Central government;1995;111273.0
30;Total government expenditure;Total;Central government;1996;97059.0
31;Total government expenditure;Total;Central government;1997;103056.0
32;Total government expenditure;Total;Central government;1998;104535.0
33;Total government expenditure;Total;Central government;1999;108306.0
34;Total government expenditure;Total;Central government;2000;114038.0
35;Total government expenditure;Total;Central government;2001;127080.0
36;Total government expenditure;Total;Central government;2002;134439.0
37;Total government expenditure;Total;Central government;2003;141653.0
38;Total government expenditure;Total;Central government;2004;141023.0
39;Total government expenditure;Total;Central government;2005;143300.0
40;Total government expenditure;Total;Central government;2006;151971.0
41;Total government expenditure;Total;Central government;2007;161697.0
42;Total government expenditure;Total;Central government;2008;175380.0
43;Total government expenditure;Total;Central government;2009;184661.0
44;Total government expenditure;Total;Central government;2010;194161.0
45;Total government expenditure;Total;Central government;2011;187327.0
46;Total government expenditure;Total;Central government;2012;188753.0
47;Total government expenditure;Total;Central government;2013;184457.0
48;Total government expenditure;Total;Central government;2014;188175.0
49;Total government expenditure;Total;Central government;2015;194013.0
50;Total government expenditure;Total;Central government;2016;194437.0
51;Total government expenditure;Total;Central government;2017;193341.0
52;Total government expenditure;Total;Central government;2018;201892.0
53;Total government expenditure;Total;Central government;2019;214294.0
54;Total government expenditure;Total;Central government;2020;254278.0
55;Total government expenditure;Total;Central government;2021;274943.0
56;Total government expenditure;Total;Central government;2022;290598.0
57;Total government expenditure;Total;Central government;2023;318950.0
58;Total government expenditure;Total;The State;1995;106559.0
59;Total government expenditure;Total;The State;1996;92184.0
60;Total government expenditure;Total;The State;1997;97726.0
61;Total government expenditure;Total;The State;1998;98911.0
62;Total government expenditure;Total;The State;1999;102549.0
63;Total government expenditure;Total;The State;2000;107736.0
64;Total government expenditure;Total;The State;2001;119890.0
65;Total government expenditure;Total;The State;2002;127063.0
66;Total government expenditure;Total;The State;2003;134596.0
67;Total government expenditure;Total;The State;2004;133952.0
68;Total government expenditure;Total;The State;2005;136302.0
69;Total government expenditure;Total;The State;2006;145142.0
70;Total government expenditure;Total;The State;2007;154805.0
71;Total government expenditure;Total;The State;2008;167287.0
72;Total government expenditure;Total;The State;2009;176566.0
73;Total government expenditure;Total;The State;2010;187830.0
74;Total government expenditure;Total;The State;2011;179308.0
75;Total government expenditure;Total;The State;2012;180180.0
76;Total government expenditure;Total;The State;2013;175897.0
77;Total government expenditure;Total;The State;2014;178835.0
78;Total government expenditure;Total;The State;2015;184949.0
79;Total government expenditure;Total;The State;2016;184844.0
80;Total government expenditure;Total;The State;2017;183915.0
81;Total government expenditure;Total;The State;2018;192320.0
