ID;Geslacht;Leeftijd;DiagnoseIndelingICD9;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1981;;;;;1573267.0;1104.4;20657429.0;14500.5;13.1
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1982;;;;;1598843.0;1117.3;20422551.0;14271.7;12.8
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1983;;;;;1605464.0;1117.5;19971377.0;13901.2;12.4
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1984;;;;;1565164.0;1084.9;19076083.0;13222.8;12.2
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1985;;;;;1554166.0;1072.3;18663607.0;12876.9;12.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1986;;;;;1537658.0;1054.9;18122631.0;12433.4;11.8
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1987;;;;;1509122.0;1028.9;17356249.0;11833.8;11.5
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1988;;;;;1508988.0;1022.3;17052714.0;11553.0;11.3
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1989;;;;;1527300.0;1028.4;16776187.0;11296.7;11.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1990;;;;;1520970.0;1016.9;16305230.0;10901.6;10.7
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1991;;;;;1528055.0;1013.9;16098047.0;10681.8;10.5
