ID;Geslacht;Leeftijd;Herkomst;Onderwijsniveau;Onderwijsrichting;Perioden;TotaleBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking15Tot65Jaar_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;BrutoArbeidsparticipatie_6;NettoArbeidsparticipatie_7;Werkloosheidspercentage_8
0;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2001;10800.0;7187.0;6935.0;252.0;3613.0;66.5;64.2;3.5
1;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2002;10863.0;7312.0;7010.0;302.0;3551.0;67.3;64.5;4.1
2;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2003;10903.0;7364.0;6968.0;396.0;3539.0;67.5;63.9;5.4
3;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2004;10925.0;7417.0;6941.0;476.0;3508.0;67.9;63.5;6.4
4;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2005;10940.0;7455.0;6973.0;482.0;3485.0;68.1;63.7;6.5
5;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2006;10952.0;7507.0;7097.0;410.0;3444.0;68.5;64.8;5.5
6;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2007;10968.0;7653.0;7309.0;344.0;3315.0;69.8;66.6;4.5
7;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2008;10997.0;7801.0;7501.0;300.0;3196.0;70.9;68.2;3.8
8;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2009;11014.0;7846.0;7469.0;377.0;3167.0;71.2;67.8;4.8
9;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2010;11017.0;7817.0;7391.0;426.0;3200.0;71.0;67.1;5.4
10;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2011;10994.0;7811.0;7392.0;419.0;3183.0;71.1;67.2;5.4
11;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;1;2012;10992.0;7894.0;7387.0;507.0;3098.0;71.8;67.2;6.4
12;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2001;3702.0;1824.0;1724.0;100.0;1877.0;49.3;46.6;5.5
13;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2002;3581.0;1768.0;1654.0;114.0;1813.0;49.4;46.2;6.5
14;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2003;3498.0;1719.0;1579.0;140.0;1779.0;49.1;45.1;8.1
15;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2004;3409.0;1678.0;1516.0;162.0;1731.0;49.2;44.5;9.7
16;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2005;3317.0;1618.0;1459.0;159.0;1699.0;48.8;44.0;9.9
17;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2006;3237.0;1566.0;1428.0;139.0;1670.0;48.4;44.1;8.8
18;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2007;3193.0;1587.0;1469.0;118.0;1606.0;49.7;46.0;7.4
19;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2008;3170.0;1609.0;1506.0;103.0;1561.0;50.8;47.5;6.4
20;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2009;3111.0;1578.0;1457.0;121.0;1533.0;50.7;46.8;7.6
21;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2010;3150.0;1562.0;1431.0;131.0;1587.0;49.6;45.4;8.4
22;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2011;3284.0;1662.0;1532.0;130.0;1622.0;50.6;46.7;7.8
23;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;2;2012;;;;;;;;
24;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2001;443.0;327.0;318.0;8.0;116.0;73.9;71.9;2.6
25;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2002;460.0;349.0;340.0;9.0;111.0;75.9;74.0;2.5
26;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2003;476.0;358.0;350.0;8.0;117.0;75.3;73.5;2.3
27;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2004;488.0;363.0;351.0;12.0;125.0;74.4;71.9;3.3
28;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2005;493.0;373.0;359.0;14.0;120.0;75.7;72.9;3.7
29;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2006;495.0;384.0;372.0;12.0;111.0;77.6;75.2;3.0
30;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2007;501.0;396.0;386.0;10.0;105.0;79.1;77.1;2.5
31;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2008;496.0;393.0;385.0;8.0;103.0;79.3;77.7;2.0
32;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2009;501.0;396.0;384.0;12.0;106.0;78.9;76.5;3.1
33;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2010;509.0;401.0;388.0;14.0;107.0;78.9;76.2;3.5
34;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2011;482.0;387.0;374.0;13.0;95.0;80.3;77.6;3.4
35;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;3;2012;;;;;;;;
36;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2001;450.0;362.0;346.0;16.0;88.0;80.5;76.8;4.5
37;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2002;472.0;375.0;357.0;18.0;97.0;79.4;75.6;4.7
38;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2003;507.0;400.0;373.0;27.0;107.0;79.0;73.7;6.7
39;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2004;525.0;415.0;387.0;28.0;110.0;79.1;73.7;6.8
40;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2005;551.0;429.0;397.0;32.0;122.0;77.9;72.0;7.5
41;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2006;570.0;438.0;413.0;25.0;132.0;76.9;72.5;5.8
42;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2007;603.0;470.0;449.0;22.0;133.0;78.0;74.4;4.6
43;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2008;669.0;532.0;506.0;26.0;137.0;79.5;75.6;4.9
44;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2009;693.0;552.0;523.0;29.0;141.0;79.7;75.5;5.2
45;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2010;685.0;547.0;516.0;31.0;139.0;79.8;75.2;5.7
46;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2011;682.0;544.0;514.0;31.0;138.0;79.8;75.3;5.6
47;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;4;2012;;;;;;;;
48;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2001;1485.0;1158.0;1127.0;31.0;327.0;78.0;75.9;2.7
49;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2002;1528.0;1193.0;1147.0;46.0;336.0;78.0;75.1;3.8
50;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2003;1555.0;1227.0;1166.0;61.0;328.0;78.9;75.0;5.0
51;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2004;1494.0;1185.0;1115.0;70.0;309.0;79.3;74.6;5.9
52;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2005;1465.0;1161.0;1094.0;67.0;304.0;79.2;74.7;5.8
53;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2006;1496.0;1194.0;1138.0;56.0;302.0;79.8;76.0;4.7
54;Mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal onderwijsniveau;5;2007;1536.0;1247.0;1195.0;52.0;289.0;81.2;77.8;4.2
