ID;TypeZelfstandige;BedrijfstakkenBranchesSBI2008;Perioden;Personen_1;PersonenMetBedrijfsvermogen_2;GemiddeldPersoonlijkInkomen_3;MediaanPersoonlijkInkomen_4;GemiddeldInkomenAlsZelfstandige_5;MediaanInkomenAlsZelfstandige_6;GemiddeldGestandaardiseerdInkomen_7;MediaanGestandaardiseerdInkomen_8;MediaanVermogenHuishoudens_9;MediaanBedrijfsvermogen_10
0;Zelfstandige;A-U Alle economische activiteiten;2007;1012.5;717.6;39.5;29.2;38.1;27.4;33.4;26.8;234.1;35.5
1;Zelfstandige;A-U Alle economische activiteiten;2008;1066.7;850.3;40.2;29.8;38.9;28.1;32.1;27.3;220.0;32.9
2;Zelfstandige;A-U Alle economische activiteiten;2009;1074.0;895.6;36.9;27.0;35.9;25.7;29.8;26.0;189.0;28.8
3;Zelfstandige;A-U Alle economische activiteiten;2010;1054.2;862.0;38.6;28.5;37.5;27.1;30.8;26.4;178.5;29.8
4;Zelfstandige;A-U Alle economische activiteiten;2011;1099.4;898.4;38.8;29.4;37.5;27.8;34.6;29.4;167.1;27.7
5;Zelfstandige;A-U Alle economische activiteiten;2012;1112.3;917.4;38.1;28.3;36.8;26.8;34.4;29.1;143.7;27.1
6;Zelfstandige;A-U Alle economische activiteiten;2013;1126.6;930.2;37.9;27.8;36.2;26.2;33.6;28.8;112.0;26.1
7;Zelfstandige;A-U Alle economische activiteiten;2014;1156.3;960.4;39.1;28.9;37.4;27.2;38.2;30.2;108.0;25.2
8;Zelfstandige;A-U Alle economische activiteiten;2015;1178.5;983.5;38.3;28.5;36.6;27.1;37.3;30.2;115.2;25.8
9;Zelfstandige;A Landbouw, bosbouw en visserij;2007;91.2;76.0;31.0;24.8;31.1;23.6;29.6;27.1;547.2;182.6
10;Zelfstandige;A Landbouw, bosbouw en visserij;2008;89.4;84.8;30.3;25.4;30.2;24.1;31.2;29.2;599.9;197.1
11;Zelfstandige;A Landbouw, bosbouw en visserij;2009;84.3;82.6;23.1;20.9;23.2;20.0;24.0;24.7;597.9;204.3
12;Zelfstandige;A Landbouw, bosbouw en visserij;2010;85.2;81.1;32.7;26.6;32.6;25.2;31.0;28.4;535.3;229.4
13;Zelfstandige;A Landbouw, bosbouw en visserij;2011;87.6;84.8;33.1;28.7;32.7;27.0;33.4;31.8;518.4;225.7
14;Zelfstandige;A Landbouw, bosbouw en visserij;2012;86.2;83.3;33.2;28.3;32.6;26.7;33.7;31.6;545.3;252.2
15;Zelfstandige;A Landbouw, bosbouw en visserij;2013;85.6;83.0;35.1;30.3;34.2;28.6;35.0;33.0;572.1;290.2
16;Zelfstandige;A Landbouw, bosbouw en visserij;2014;84.8;82.5;34.9;30.1;33.9;28.4;35.9;33.6;609.2;314.4
17;Zelfstandige;A Landbouw, bosbouw en visserij;2015;83.7;80.8;29.9;25.1;28.8;24.2;32.6;30.7;642.5;337.2
18;Zelfstandige;01 Landbouw;2007;89.8;74.9;30.9;24.7;31.0;23.4;29.6;27.1;551.6;185.1
19;Zelfstandige;01 Landbouw;2008;87.9;83.6;30.2;25.3;30.1;24.0;31.3;29.2;605.9;200.5
20;Zelfstandige;01 Landbouw;2009;83.0;81.4;22.9;20.7;23.0;19.9;24.0;24.7;603.6;208.4
21;Zelfstandige;01 Landbouw;2010;83.6;79.8;32.6;26.5;32.4;25.1;31.0;28.4;542.0;234.3
22;Zelfstandige;01 Landbouw;2011;85.6;83.4;32.9;28.5;32.5;26.9;33.4;31.9;529.4;230.5
23;Zelfstandige;01 Landbouw;2012;84.2;81.9;32.9;28.0;32.2;26.4;33.7;31.7;558.2;258.4
