ID;Geslacht;Migratieachtergrond;Generatie;Regiokenmerken;Perioden;TotaalGediplomeerdenVavo_1;VavoGediplomeerdenVmboT_2;VavoGediplomeerdenHavo_3;VavoGediplomeerdenVwo_4
0;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2006/'07;4041.0;833.0;2192.0;1016.0
1;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2007/'08;5217.0;1060.0;2734.0;1423.0
2;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2008/'09;6521.0;987.0;3992.0;1542.0
3;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2009/'10;7172.0;997.0;3737.0;2438.0
4;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2010/'11;8249.0;1111.0;4795.0;2343.0
5;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2011/'12;7504.0;1006.0;4496.0;2002.0
6;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2012/'13;8217.0;1199.0;4510.0;2508.0
7;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2013/'14;7005.0;1265.0;4016.0;1724.0
8;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2014/'15;7343.0;1262.0;4017.0;2064.0
9;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2015/'16;7148.0;1184.0;4103.0;1861.0
10;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2016/'17;7178.0;1116.0;4103.0;1959.0
11;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2017/'18;7876.0;1338.0;4332.0;2206.0
12;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2018/'19;7836.0;1278.0;4424.0;2134.0
13;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2019/'20;8079.0;1280.0;4326.0;2473.0
14;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2020/'21;3597.0;651.0;2150.0;796.0
15;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2006/'07;331.0;48.0;198.0;85.0
16;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2007/'08;523.0;61.0;333.0;129.0
17;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2008/'09;721.0;74.0;474.0;173.0
18;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2009/'10;830.0;69.0;481.0;280.0
19;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2010/'11;818.0;67.0;530.0;221.0
20;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2011/'12;695.0;48.0;452.0;195.0
21;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2012/'13;814.0;82.0;507.0;225.0
22;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2013/'14;574.0;58.0;381.0;135.0
23;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2014/'15;605.0;60.0;370.0;175.0
24;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2015/'16;661.0;64.0;411.0;186.0
25;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2016/'17;673.0;62.0;422.0;189.0
26;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2017/'18;701.0;72.0;421.0;208.0
27;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2018/'19;774.0;85.0;484.0;205.0
28;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2019/'20;765.0;91.0;425.0;249.0
29;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2020/'21;275.0;20.0;193.0;62.0
30;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2006/'07;871.0;185.0;461.0;225.0
31;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2007/'08;1230.0;261.0;637.0;332.0
32;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2008/'09;1359.0;196.0;830.0;333.0
33;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2009/'10;1664.0;217.0;919.0;528.0
34;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2010/'11;1943.0;236.0;1182.0;525.0
35;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2011/'12;1682.0;209.0;1059.0;414.0
36;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2012/'13;1877.0;269.0;1070.0;538.0
37;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Oost-Nederland (LD);2013/'14;1656.0;303.0;960.0;393.0
