ID;SIC2008;Periods;NumberOfEnterprises_1;Jobs_2;EmployeesInFTE_3;WagesInclExtraS_4;TotalOperatingReturns_5;NetTurnover_6;TotalOtherRevenues_7;Subsidies_8;OtherRevenuesNotBeforeMentioned_9;TotalOperatingCosts_10;TotalLabourCosts_11;WagesAndSalaries_12;SocialSecurityContributions_13;RemunerationOfSelfEmplMedSpec_14;DepreciationFixedAssetsIncluding_15;TotalOtherOperatingCosts_16;OtherPersonnelCosts_17;OperatingCostsNotBeforeMentioned_18;OperatingResults_19;OperatingSurplus_20;ExceptionalResults_21;PreTaxResults_22;TotalAssets_23;IntangibleFixedAssets_24;TangibleFixedAssets_25;FinancialAssets_26;Stock_27;ShortTermClaims_28;Securities_29;LiquidAssets_30;TotalLiabilities_31;Equity_32;Provisions_33;LongTermLoans_34;ShortTermLoans_35;NumberOfSmallEnterprises_36;JobsSmallEnterprises_37;EmployeesInFTESmallEnt_38;WagesInclExtraSSmallEnt_39;SelfEmployedWorkersSmallEnt_40;ProfitSelfEmplWorkersSmallEnt_41
0;86101 University hospitals ;2015;8;75100;60600;3877;8128;5403;2725;2322;403;7810;4279;3463;816;2;462;3066;424;2642;318;-111;1.0;208;8088;94;4644;95;182;1809;4;1259;8088;2072;732;2970;2314;0.0;;;;;
1;86101 University hospitals ;2016;8;75650;61250;4035;8437;5513;2924;2370;554;8123;4385;3558;827;2;503;3235;467;2768;314;-108;;206;8213;116;4665;118;309;1578;3;1424;8213;2228;758;2957;2271;0.0;;;;;
2;86101 University hospitals ;2017;8;79750;64500;4230;8818;5872;2946;2421;526;8468;4654;3726;927;30;476;3308;484;2824;350;-123;;228;8454;172;4851;95;419;1762;3;1152;8454;2479;769;2905;2302;0.0;;;;;
3;86101 University hospitals ;2018;8;82450;66900;4432;9058;6026;3032;2470;562;8814;4829;3848;982;30;484;3471;527;2944;244;-103;;141;8657;167;4874;124;294;1851;0;1347;8657;2784;586;3032;2255;0.0;;;;;
4;86101 University hospitals ;2019;8;84200;68150;4641;9544;6336;3208;2598;611;9360;5107;4034;1072;31;525;3697;534;3162;184;-95;;90;8850;159;4847;240;337;1973;0;1295;8850;2980;496;3146;2228;0.0;;;;;
5;86101 University hospitals ;2020;8;85850;69600;4885;10134;6713;3421;2765;655;9974;5452;4314;1139;32;532;3958;609;3348;160;-89;;71;9028;146;4866;231;335;2254;36;1160;9028;3083;538;2917;2490;0.0;;;;;
6;86101 University hospitals ;2021;7;88000;70850;5104;10488;6922;3566;2873;693;10316;5693;4508;1185;33;553;4038;539;3499;172;-68;;104;9299;132;4892;179;321;2423;33;1319;9299;3177;541;2887;2693;0.0;;;;;
7;86101 University hospitals ;2022;7;88750;71200;5252;10975;7307;3669;3028;640;10748;5947;4713;1234;33;546;4222;534;3688;227;-81;;147;9640;112;4913;183;341;2507;35;1548;9640;3307;578;2853;2902;0.0;;;;;
8;86101 University hospitals ;2023;7;89900;72300;5678;11827;7903;3924;3316;608;11534;6373;5109;1264;34;570;4556;568;3988;293;-20;;274;9989;109;5022;163;327;2376;27;1966;9989;3561;687;2772;2969;0.0;;;;;
9;86102 General hospitals ;2015;64;192800;140600;7370;17536;16149;1387;715;672;16915;7866;6367;1499;1857;1153;6039;730;5309;621;-330;6.0;297;16657;95;10671;177;246;3775;4;1688;16657;3707;864;7210;4877;0.0;;;;;
10;86102 General hospitals ;2016;61;190650;139750;7478;17923;16590;1333;667;665;17360;8091;6556;1535;1979;1142;6148;771;5376;563;-336;;227;16260;189;10564;158;435;3190;5;1720;16260;3930;951;6893;4487;0.0;;;;;
11;86102 General hospitals ;2017;59;190200;139350;7554;17998;16662;1336;687;649;17451;8086;6569;1516;2040;1128;6197;788;5409;547;-313;;234;16034;227;10422;161;496;3368;65;1294;16034;4149;912;6638;4335;0.0;;;;;
