ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;VerdachtVanMisdrijf;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVsvErsOnderzoekspopulatie_2;AantalNietVsvErsOnderzoekspopulatie_3;PercentageVsvErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2009/'10;1446080.0;65350.0;1380740.0;4.5
6;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2010/'11;1458660.0;66640.0;1392020.0;4.6
7;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2011/'12;1455290.0;60360.0;1394930.0;4.1
8;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2012/'13 Oude methode;1454220.0;52820.0;1401400.0;3.6
9;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2012/'13 Nieuwe methode;1448020.0;48200.0;1399820.0;3.3
10;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2013/'14;1447970.0;43880.0;1404090.0;3.0
11;Totaal mannen en vrouwen;0;0;0;Totaal wel en niet verdacht van misdrijf;2014/'15;1440950.0;36230.0;1404710.0;2.5
12;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2004/'05;1249460.0;65670.0;1183790.0;5.3
13;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2005/'06;1336280.0;62810.0;1273470.0;4.7
14;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2006/'07;1348270.0;59740.0;1288530.0;4.4
15;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2007/'08;1357920.0;58540.0;1299380.0;4.3
16;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2008/'09;1357950.0;52170.0;1305780.0;3.8
17;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2009/'10;1371780.0;53570.0;1318210.0;3.9
18;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2010/'11;1390060.0;55380.0;1334690.0;4.0
19;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2011/'12;1393100.0;50480.0;1342620.0;3.6
20;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2012/'13 Oude methode;1397840.0;44330.0;1353510.0;3.2
21;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2012/'13 Nieuwe methode;1392430.0;40390.0;1352030.0;2.9
22;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2013/'14;1399170.0;36920.0;1362250.0;2.6
23;Totaal mannen en vrouwen;0;0;0;Niet verdacht van misdrijf;2014/'15;1399830.0;30410.0;1369420.0;2.2
24;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2004/'05;50650.0;10480.0;40170.0;20.7
25;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2005/'06;63430.0;11700.0;51720.0;18.5
26;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2006/'07;71240.0;12870.0;58360.0;18.1
27;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2007/'08;76780.0;12940.0;63840.0;16.9
28;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2008/'09;77180.0;12100.0;65080.0;15.7
29;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2009/'10;74300.0;11780.0;62530.0;15.8
30;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2010/'11;68590.0;11270.0;57330.0;16.4
31;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2011/'12;62180.0;9880.0;52300.0;15.9
32;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2012/'13 Oude methode;56380.0;8490.0;47890.0;15.1
33;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2012/'13 Nieuwe methode;55600.0;7800.0;47790.0;14.0
34;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2013/'14;48810.0;6970.0;41840.0;14.3
35;Totaal mannen en vrouwen;0;0;0;Wel verdacht van misdrijf;2014/'15;41110.0;5820.0;35300.0;14.2
36;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2004/'05;37760.0;6670.0;31090.0;17.7
37;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2005/'06;46520.0;7270.0;39250.0;15.6
38;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2006/'07;51540.0;7750.0;43780.0;15.0
39;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2007/'08;55020.0;7640.0;47380.0;13.9
40;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2008/'09;55450.0;7060.0;48390.0;12.7
41;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2009/'10;53590.0;6860.0;46730.0;12.8
42;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2010/'11;50280.0;6720.0;43550.0;13.4
43;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2011/'12;46050.0;6000.0;40050.0;13.0
44;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2012/'13 Oude methode;41990.0;5170.0;36810.0;12.3
45;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2012/'13 Nieuwe methode;41550.0;4810.0;36740.0;11.6
46;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2013/'14;36570.0;4290.0;32280.0;11.7
47;Totaal mannen en vrouwen;0;0;0;1 keer verdacht van misdrijf;2014/'15;31050.0;3590.0;27470.0;11.6
48;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2004/'05;12890.0;3820.0;9070.0;29.6
49;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2005/'06;16910.0;4430.0;12480.0;26.2
50;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2006/'07;19700.0;5120.0;14580.0;26.0
51;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2007/'08;21760.0;5300.0;16460.0;24.4
52;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2008/'09;21720.0;5030.0;16690.0;23.2
53;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2009/'10;20720.0;4920.0;15800.0;23.7
54;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2010/'11;18320.0;4540.0;13780.0;24.8
55;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2011/'12;16130.0;3880.0;12250.0;24.0
56;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2012/'13 Oude methode;14390.0;3320.0;11080.0;23.0
57;Totaal mannen en vrouwen;0;0;0;2 keer of meer verdacht van misdrijf;2012/'13 Nieuwe methode;14050.0;3000.0;11050.0;21.3
