ID;Geslacht;Leeftijd;IndicatieZMVGrondslagEnZzp;GebruikZMV;RegioS;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3;PersMetIndicGebruikOpPeildatum_4;OpnamedagenInJaar_5
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2009;414175.0;2.46;316755.0;1.91;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2010;437930.0;2.59;330885.0;1.99;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2011;450320.0;2.65;344805.0;2.06;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2012;466750.0;2.73;356615.0;2.13;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2013;416545.0;2.43;337140.0;2.0;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Nederland;2014;402675.0;2.34;328155.0;1.94;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2009;46590.0;2.68;35245.0;2.06;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2010;49420.0;2.83;37010.0;2.15;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2011;50590.0;2.9;38460.0;2.24;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2012;52090.0;2.98;39645.0;2.31;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2013;46745.0;2.68;37945.0;2.21;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Noord-Nederland (LD);2014;45200.0;2.58;37105.0;2.16;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Oost-Nederland (LD);2009;87855.0;2.46;67900.0;1.93;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Oost-Nederland (LD);2010;93620.0;2.61;71630.0;2.03;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Oost-Nederland (LD);2011;96735.0;2.69;75015.0;2.12;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Oost-Nederland (LD);2012;100145.0;2.78;78050.0;2.2;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZMV-AWBZ;Totaal indicatie en/of gebruik ZMV-AWBZ;Oost-Nederland (LD);2013;91215.0;2.52;74615.0;2.1;
