ID;Persoonskenmerken;Verkeersongevallen_1;PriveOngevallen_2;Bedrijfsongevallen_3;SportongevallenEnSportblessures_4;Verkeersongevallen_5;Bedrijfsongevallen_6;SportongevallenEnSportblessures_7;MedischBehandeldVerkeersongevallen_8;MedischBehandeldPriveOngevallen_9;MedischBehandeldBedrijfsongevallen_10;MedischBehSportongevallenBlessures_11;MedischBehandeldPriveOngevallen_12;MedischBehandeldBedrijfsongevallen_13;MedischBehSportongevallenBlessures_14
0;1;78.0;322.0;89.0;201.0;57.0;48.0;238.0;304.0;421.0;136.0;335.0;715.0;261.0;220.0
1;11;39.0;155.0;67.0;138.0;;36.0;154.0;123.0;149.0;107.0;210.0;284.0;156.0;140.0
2;12;38.0;167.0;;63.0;;;84.0;181.0;271.0;;124.0;430.0;105.0;80.0
3;21;;82.0;;;;;35.0;;31.0;;;;;
4;22;;30.0;;47.0;;;79.0;;;;35.0;45.0;;
5;23;;;;38.0;;;;33.0;;;60.0;47.0;;35.0
6;24;;31.0;32.0;47.0;;;38.0;58.0;60.0;47.0;91.0;110.0;52.0;40.0
7;25;;42.0;;30.0;;;35.0;58.0;52.0;27.0;59.0;122.0;64.0;35.0
8;26;;36.0;;;;;;51.0;60.0;31.0;52.0;136.0;75.0;45.0
9;27;;27.0;;;;;;34.0;50.0;;;100.0;39.0;
10;28;;;;;;;;;65.0;;;91.0;;
11;29;;;;;;;;;49.0;;;;;
12;42;35.0;119.0;;58.0;;;82.0;74.0;147.0;;51.0;169.0;43.0;40.0
13;43;;33.0;;;;;;41.0;55.0;33.0;43.0;105.0;52.0;
14;44;;;;;;;;;46.0;;38.0;74.0;;
15;45;;71.0;41.0;59.0;;;53.0;110.0;104.0;51.0;122.0;223.0;99.0;78.0
16;46;;42.0;;33.0;;;44.0;43.0;59.0;;73.0;121.0;41.0;47.0
17;51;;50.0;;;;;;70.0;108.0;;;120.0;38.0;
18;53;;74.0;;38.0;;;;97.0;124.0;49.0;97.0;260.0;98.0;59.0
19;54;42.0;177.0;45.0;120.0;32.0;;160.0;116.0;166.0;68.0;179.0;296.0;112.0;118.0
20;61;;60.0;;;;;;67.0;101.0;;38.0;135.0;42.0;
21;62;;70.0;;29.0;;;48.0;50.0;53.0;;40.0;110.0;52.0;27.0
22;63;;60.0;;34.0;;;43.0;47.0;75.0;;78.0;120.0;48.0;44.0
23;64;;50.0;;42.0;;;59.0;42.0;62.0;;65.0;111.0;43.0;55.0
24;71;;47.0;;33.0;;;38.0;41.0;62.0;;48.0;115.0;35.0;34.0
25;72;;67.0;;50.0;;;47.0;60.0;93.0;;77.0;156.0;62.0;47.0
26;73;;67.0;;38.0;;;50.0;65.0;80.0;40.0;77.0;137.0;61.0;47.0
27;74;;85.0;;43.0;;;69.0;82.0;114.0;38.0;81.0;205.0;61.0;56.0
28;75;;56.0;;37.0;;;;57.0;72.0;;52.0;101.0;43.0;
