ID;Geslacht;Overwerk;PositieWerkkring;Persoonskenmerken;Perioden;Werknemer_1
0;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2006;6832
1;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2007;7016
2;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2008;7160
3;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2009;7116
4;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2010;7042
5;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2011;7056
6;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2012;7071
7;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2013;6946
8;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2014;6898
9;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2015;6937
10;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2016;7012
11;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2017;7195
12;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2018;7379
13;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2019;7497
14;Totaal mannen en vrouwen;Totaal;Werknemer;Totaal personen;2020;7427
15;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2006;3122
16;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2007;3268
17;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2008;3368
18;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2009;3423
19;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2010;3447
20;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2011;3478
21;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2012;3557
22;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2013;3523
23;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2014;3493
24;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2015;3541
25;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2016;3550
26;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2017;3646
27;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2018;3766
28;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2019;3829
29;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: deeltijd;2020;3824
30;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2006;740
31;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2007;752
32;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2008;756
33;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2009;769
34;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2010;760
35;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2011;764
36;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2012;788
37;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2013;797
38;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2014;794
39;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2015;802
40;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2016;773
41;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2017;782
42;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2018;775
43;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2019;772
44;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 12 uur per week;2020;720
45;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2006;1387
46;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2007;1408
47;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2008;1425
48;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2009;1425
49;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2010;1417
50;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2011;1401
51;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2012;1411
52;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2013;1392
53;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2014;1363
54;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2015;1384
55;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2016;1354
56;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2017;1350
57;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2018;1353
58;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2019;1350
59;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: minder dan 20 uur per week;2020;1289
60;Totaal mannen en vrouwen;Totaal;Werknemer;Arbeidsduur: 12 tot 20 uur per week;2006;647
