ID;InstitutionalSectors;Periods;Balance_1;Revenue_2;Expenditure_3;MaastrichtDebt_4;ChangeInMaastrichtDebt_5;DeficitEMU_6;NetAcquisitionOfFinancialAssets_7;TransactionsInOtherLiabilities_8;ValuationEffects_9;StatisticalDiscrepancy_10;ContributionToGeneralGovernmentDebt_11;Balance_12;MaastrichtDebt_13;ContributionToGeneralGovernmentDebt_14
0;General government;1995;-28791;152021;-180812;241459.0;;28791;-17039.0;2479.0;;660.0;241459.0;-8.7;73.2;73.2
1;General government;1996;-6582;159580;-166162;246449.0;4990.0;6582;-249.0;-1650.0;16.0;291.0;246449.0;-1.9;71.4;71.4
2;General government;1997;-5920;165801;-171721;243270.0;-3179.0;5920;-4177.0;-3617.0;-72.0;-1233.0;243270.0;-1.6;65.8;65.8
3;General government;1998;-5272;173893;-179165;247875.0;4605.0;5272;-479.0;-636.0;1001.0;-553.0;247875.0;-1.3;62.8;62.8
4;General government;1999 1st quarter;446;45271;-44825;;;-446;-144.0;-863.0;;1061.0;;;;
5;General government;1999 2nd quarter;-1539;47052;-48591;;;1539;-1046.0;2002.0;;442.0;;;;
6;General government;1999 3rd quarter;279;44465;-44186;;;-279;821.0;-6028.0;;-2604.0;;;;
7;General government;1999 4th quarter;2002;50422;-48420;246600.0;;-2002;-484.0;2019.0;;1126.0;246600.0;0.3;58.7;58.7
8;General government;1999;1188;187210;-186022;246600.0;-1275.0;-1188;-853.0;-2870.0;3611.0;25.0;246600.0;0.3;58.7;58.7
9;General government;2000 1st quarter;-266;46703;-46969;255361.0;8761.0;266;4862.0;-3154.0;2835.0;3952.0;255361.0;0.1;59.6;59.6
10;General government;2000 2nd quarter;1098;52048;-50950;247036.0;-8325.0;-1098;-7254.0;2673.0;-2904.0;258.0;247036.0;0.7;56.6;56.6
11;General government;2000 3rd quarter;731;46827;-46096;247141.0;105.0;-731;3309.0;-6760.0;4190.0;97.0;247141.0;0.8;55.6;55.6
12;General government;2000 4th quarter;3573;54951;-51378;236233.0;-10908.0;-3573;-3748.0;4002.0;-3584.0;-4005.0;236233.0;1.1;52.2;52.2
13;General government;2000;5136;200529;-195393;236233.0;-10367.0;-5136;-2831.0;-3239.0;537.0;302.0;236233.0;1.1;52.2;52.2
14;General government;2001 1st quarter;-663;50298;-50961;237849.0;1616.0;663;1343.0;-3072.0;3137.0;-455.0;237849.0;1.0;51.5;51.5
15;General government;2001 2nd quarter;-864;54464;-55328;247157.0;9308.0;864;5708.0;3282.0;-2124.0;1578.0;247157.0;0.6;52.6;52.6
16;General government;2001 3rd quarter;-712;50029;-50741;243925.0;-3232.0;712;-3600.0;-1586.0;2171.0;-929.0;243925.0;0.3;51.2;51.2
17;General government;2001 4th quarter;-20;55808;-55828;239037.0;-4888.0;20;-6139.0;3442.0;-2654.0;443.0;239037.0;-0.5;49.5;49.5
18;General government;2001;-2259;210599;-212858;239037.0;2804.0;2259;-2688.0;2066.0;530.0;637.0;239037.0;-0.5;49.5;49.5
19;General government;2002 1st quarter;-1712;52224;-53936;243624.0;4587.0;1712;3402.0;-3419.0;1708.0;1184.0;243624.0;-0.7;50.0;50.0
20;General government;2002 2nd quarter;-3655;55237;-58892;246882.0;3258.0;3655;782.0;2750.0;-2738.0;-1191.0;246882.0;-1.2;50.1;50.1
21;General government;2002 3rd quarter;-3754;49831;-53585;246076.0;-806.0;3754;-4394.0;-5233.0;3427.0;1640.0;246076.0;-1.8;49.4;49.4
22;General government;2002 4th quarter;-2094;56698;-58792;245253.0;-823.0;2094;-2175.0;3993.0;-2902.0;-1833.0;245253.0;-2.2;48.8;48.8
23;General government;2002;-11215;213990;-225205;245253.0;6216.0;11215;-2385.0;-1909.0;-505.0;-200.0;245253.0;-2.2;48.8;48.8
