ID;Sex;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;Jobs_2;FullTimeEquivalentFte_3;HoursWorked_4
0;Total male and female;Total;A-U All economic activities;1995;7281.0;8078.0;5948.0;10856.0
1;Total male and female;Total;A-U All economic activities;1996;7434.0;8264.0;6087.0;11196.0
2;Total male and female;Total;A-U All economic activities;1997;7661.0;8478.0;6274.0;11429.0
3;Total male and female;Total;A-U All economic activities;1998;7840.0;8700.0;6453.0;11670.0
4;Total male and female;Total;A-U All economic activities;1999;8066.0;8944.0;6617.0;11993.0
5;Total male and female;Total;A-U All economic activities;2000;8214.0;9083.0;6719.0;12103.0
6;Total male and female;Total;A-U All economic activities;2001;8377.0;9208.0;6825.0;12260.0
7;Total male and female;Total;A-U All economic activities;2002;8436.0;9261.0;6813.0;12198.0
8;Total male and female;Total;A-U All economic activities;2003;8388.0;9197.0;6733.0;12055.0
9;Total male and female;Total;A-U All economic activities;2004;8293.0;9145.0;6684.0;12093.0
10;Total male and female;Total;A-U All economic activities;2005;8346.0;9229.0;6700.0;12054.0
11;Total male and female;Total;A-U All economic activities;2006;8527.0;9448.0;6846.0;12283.0
12;Total male and female;Total;A-U All economic activities;2007;8777.0;9749.0;7034.0;12635.0
13;Total male and female;Total;A-U All economic activities;2008;8919.0;9929.0;7160.0;12835.0
14;Total male and female;Total;A-U All economic activities;2009;8840.0;9864.0;7077.0;12647.0
15;Total male and female;Total;A-U All economic activities;2010;8779.0;9832.0;7035.0;12555.0
16;Total male and female;Total;A-U All economic activities;2011;8850.0;9961.0;7073.0;12662.0
17;Total male and female;Total;A-U All economic activities;2012;8827.0;9927.0;7028.0;12549.0
18;Total male and female;Total;A-U All economic activities;2013;8719.0;9787.0;6941.0;12439.0
19;Total male and female;Total;A-U All economic activities;2014;8706.0;9783.0;6930.0;12524.0
20;Total male and female;Total;A-U All economic activities;2015;8776.0;9891.0;7011.0;12624.0
21;Total male and female;Total;A-U All economic activities;2016;8909.0;10040.0;7156.0;12928.0
22;Total male and female;Total;A-U All economic activities;2017;9116.0;10276.0;7332.0;13228.0
23;Total male and female;Total;A-U All economic activities;2018;9361.0;10548.0;7551.0;13583.0
24;Total male and female;Total;A-U All economic activities;2019;9573.0;10764.0;7737.0;13944.0
25;Total male and female;Total;A-U All economic activities;2020;9524.0;10661.0;7638.0;13354.0
26;Total male and female;Total;A-U All economic activities;2021;9690.0;10892.0;7875.0;13975.0
27;Total male and female;Total;A-U All economic activities;2022;10069.0;11325.0;8164.0;14526.0
28;Total male and female;Total;A-U All economic activities;2023;10233.0;11527.0;8327.0;14723.0
29;Total male and female;Total;A Agriculture, forestry and fishing;1995;234.0;292.0;208.0;436.0
30;Total male and female;Total;A Agriculture, forestry and fishing;1996;237.0;297.0;213.0;446.0
31;Total male and female;Total;A Agriculture, forestry and fishing;1997;241.0;298.0;213.0;446.0
32;Total male and female;Total;A Agriculture, forestry and fishing;1998;232.0;290.0;210.0;409.0
33;Total male and female;Total;A Agriculture, forestry and fishing;1999;234.0;294.0;214.0;440.0
34;Total male and female;Total;A Agriculture, forestry and fishing;2000;233.0;292.0;207.0;473.0
35;Total male and female;Total;A Agriculture, forestry and fishing;2001;237.0;289.0;200.0;455.0
36;Total male and female;Total;A Agriculture, forestry and fishing;2002;236.0;287.0;198.0;452.0
37;Total male and female;Total;A Agriculture, forestry and fishing;2003;230.0;280.0;192.0;426.0
38;Total male and female;Total;A Agriculture, forestry and fishing;2004;224.0;274.0;185.0;424.0
39;Total male and female;Total;A Agriculture, forestry and fishing;2005;218.0;267.0;183.0;418.0
40;Total male and female;Total;A Agriculture, forestry and fishing;2006;215.0;261.0;180.0;407.0
41;Total male and female;Total;A Agriculture, forestry and fishing;2007;213.0;258.0;178.0;401.0
42;Total male and female;Total;A Agriculture, forestry and fishing;2008;209.0;255.0;175.0;400.0
43;Total male and female;Total;A Agriculture, forestry and fishing;2009;204.0;249.0;172.0;396.0
44;Total male and female;Total;A Agriculture, forestry and fishing;2010;202.0;247.0;170.0;390.0
45;Total male and female;Total;A Agriculture, forestry and fishing;2011;200.0;249.0;168.0;386.0
46;Total male and female;Total;A Agriculture, forestry and fishing;2012;198.0;245.0;166.0;380.0
47;Total male and female;Total;A Agriculture, forestry and fishing;2013;195.0;240.0;168.0;379.0
48;Total male and female;Total;A Agriculture, forestry and fishing;2014;194.0;239.0;166.0;383.0
49;Total male and female;Total;A Agriculture, forestry and fishing;2015;193.0;239.0;163.0;379.0
50;Total male and female;Total;A Agriculture, forestry and fishing;2016;195.0;243.0;167.0;390.0
51;Total male and female;Total;A Agriculture, forestry and fishing;2017;197.0;246.0;171.0;398.0
52;Total male and female;Total;A Agriculture, forestry and fishing;2018;199.0;249.0;176.0;401.0
53;Total male and female;Total;A Agriculture, forestry and fishing;2019;199.0;249.0;178.0;409.0
54;Total male and female;Total;A Agriculture, forestry and fishing;2020;200.0;250.0;177.0;400.0
55;Total male and female;Total;A Agriculture, forestry and fishing;2021;201.0;252.0;178.0;398.0
