ID;Periods;TheNetherlandsHICP_1;EuroAreaMUICP_2;EuropeanUnionEICP_3;TheNetherlandsHICP_4;EuroAreaMUICP_5;EuropeanUnionEICP_6
37;1998 December;71.66;73.81;72.65;1.5;0.8;1.0
38;1998;71.36;73.67;72.4;1.8;1.1;1.3
39;1999 January;71.66;73.76;72.52;2.1;0.8;1.0
40;1999 February;72.14;73.94;72.67;2.0;0.7;0.9
41;1999 March;72.9;74.15;72.95;2.0;0.9;1.1
42;1999 April;73.11;74.4;73.22;1.9;1.1;1.2
43;1999 May;73.11;74.45;73.3;2.1;0.9;1.0
44;1999 June;72.76;74.45;73.28;2.1;0.9;1.0
45;1999 July;72.35;74.58;73.26;1.8;1.0;1.1
46;1999 August;72.83;74.67;73.37;2.5;1.1;1.2
47;1999 September;73.17;74.71;73.5;2.0;1.2;1.3
48;1999 October;73.24;74.74;73.52;1.8;1.3;1.3
49;1999 November;73.38;74.84;73.61;2.0;1.5;1.4
50;1999 December;73.04;75.09;73.86;1.9;1.7;1.7
51;1999;72.81;74.48;73.26;2.0;1.1;1.2
52;2000 January;72.83;75.13;73.75;1.6;1.9;1.7
53;2000 February;73.24;75.37;73.98;1.5;1.9;1.8
54;2000 March;74.07;75.6;74.24;1.6;2.0;1.8
55;2000 April;74.34;75.67;74.34;1.7;1.7;1.5
56;2000 May;74.55;75.76;74.46;2.0;1.8;1.6
57;2000 June;74.55;76.04;74.68;2.5;2.1;1.9
58;2000 July;74.34;76.14;74.66;2.8;2.1;1.9
59;2000 August;74.62;76.2;74.71;2.5;2.0;1.8
60;2000 September;75.31;76.5;75.09;2.9;2.4;2.2
61;2000 October;75.58;76.52;75.12;3.2;2.4;2.2
62;2000 November;75.51;76.68;75.28;2.9;2.5;2.3
63;2000 December;75.17;76.96;75.5;2.9;2.5;2.2
64;2000;74.51;76.05;74.65;2.3;2.1;1.9
65;2001 January;76.21;76.63;75.12;4.6;2.0;1.9
66;2001 February;76.89;76.86;75.34;5.0;2.0;1.8
67;2001 March;77.77;77.27;75.72;5.0;2.2;2.0
68;2001 April;78.37;77.73;76.18;5.4;2.7;2.5
69;2001 May;78.63;78.1;76.58;5.5;3.1;2.8
70;2001 June;78.34;78.21;76.69;5.1;2.9;2.7
71;2001 July;78.29;78.03;76.44;5.3;2.5;2.4
72;2001 August;78.51;77.97;76.44;5.2;2.3;2.3
73;2001 September;79.33;78.18;76.67;5.3;2.2;2.1
74;2001 October;79.36;78.24;76.69;5.0;2.2;2.1
75;2001 November;79.14;78.19;76.62;4.8;2.0;1.8
76;2001 December;79.04;78.54;76.93;5.1;2.1;1.9
77;2001;78.32;77.83;76.29;5.1;2.3;2.2
78;2002 January;79.91;78.63;76.96;4.9;2.6;2.4
79;2002 February;80.32;78.76;77.08;4.5;2.5;2.3
80;2002 March;81.17;79.21;77.5;4.4;2.5;2.4
81;2002 April;81.68;79.56;77.85;4.2;2.4;2.2
82;2002 May;81.6;79.71;77.99;3.8;2.1;1.8
83;2002 June;81.31;79.67;77.96;3.8;1.9;1.7
84;2002 July;81.22;79.59;77.85;3.7;2.0;1.8
85;2002 August;81.38;79.64;77.93;3.7;2.1;1.9
86;2002 September;82.17;79.84;78.14;3.6;2.1;1.9
87;2002 October;82.09;80.03;78.32;3.4;2.3;2.1
88;2002 November;81.72;79.97;78.27;3.3;2.3;2.2
89;2002 December;81.58;80.36;78.62;3.2;2.3;2.2
90;2002;81.35;79.58;77.87;3.9;2.3;2.1
91;2003 January;82.07;80.3;78.5;2.7;2.1;2.0
92;2003 February;82.65;80.62;78.82;2.9;2.4;2.3
93;2003 March;83.4;81.08;79.25;2.7;2.4;2.3
94;2003 April;83.48;81.21;79.38;2.2;2.1;2.0
95;2003 May;83.43;81.15;79.34;2.2;1.8;1.7
96;2003 June;83.04;81.25;79.39;2.1;2.0;1.8
97;2003 July;82.95;81.13;79.28;2.1;1.9;1.8
98;2003 August;83.16;81.25;79.42;2.2;2.0;1.9
99;2003 September;83.85;81.54;79.71;2.0;2.1;2.0
100;2003 October;83.67;81.66;79.82;1.9;2.0;1.9
101;2003 November;83.39;81.7;79.84;2.0;2.2;2.0
102;2003 December;82.87;81.95;80.08;1.6;2.0;1.9
103;2003;83.16;81.24;79.4;2.2;2.1;2.0
104;2004 January;83.29;81.75;79.84;1.5;1.8;1.7
105;2004 February;83.77;81.94;80.03;1.4;1.6;1.5
106;2004 March;84.45;82.46;80.47;1.3;1.7;1.5
107;2004 April;84.74;82.88;80.85;1.5;2.1;1.9
108;2004 May;84.88;83.14;81.16;1.7;2.5;2.3
109;2004 June;84.27;83.18;81.2;1.5;2.4;2.3
110;2004 July;83.97;83.0;81.03;1.2;2.3;2.2
111;2004 August;84.12;83.17;81.17;1.2;2.4;2.2
112;2004 September;84.83;83.26;81.27;1.2;2.1;2.0
113;2004 October;84.93;83.59;81.58;1.5;2.4;2.2
114;2004 November;84.62;83.53;81.56;1.5;2.2;2.2
115;2004 December;83.92;83.85;81.85;1.3;2.3;2.2
116;2004;84.32;82.98;81.0;1.4;2.1;2.0
117;2005 January;84.34;83.32;81.42;1.3;1.9;2.0
118;2005 February;84.99;83.62;81.69;1.5;2.1;2.1
119;2005 March;85.73;84.25;82.21;1.5;2.2;2.2
120;2005 April;85.83;84.6;82.55;1.3;2.1;2.1
121;2005 May;85.76;84.78;82.75;1.0;2.0;2.0
122;2005 June;85.48;84.87;82.83;1.4;2.0;2.0
123;2005 July;85.2;84.78;82.77;1.5;2.1;2.1
124;2005 August;85.52;84.98;82.95;1.7;2.2;2.2
125;2005 September;86.23;85.42;83.33;1.7;2.6;2.5
126;2005 October;86.22;85.64;83.53;1.5;2.5;2.4
127;2005 November;85.99;85.45;83.38;1.6;2.3;2.2
128;2005 December;85.6;85.74;83.62;2.0;2.3;2.2
129;2005;85.57;84.79;82.75;1.5;2.2;2.2
130;2006 January;85.81;85.35;83.28;1.7;2.4;2.3
131;2006 February;86.24;85.59;83.52;1.5;2.4;2.2
132;2006 March;86.93;86.09;83.92;1.4;2.2;2.1
133;2006 April;87.34;86.66;84.47;1.8;2.4;2.3
134;2006 May;87.3;86.89;84.76;1.8;2.5;2.4
135;2006 June;87.01;86.96;84.85;1.8;2.5;2.4
136;2006 July;86.71;86.85;84.76;1.8;2.4;2.4
137;2006 August;87.12;86.93;84.91;1.9;2.3;2.4
138;2006 September;87.54;86.93;84.95;1.5;1.8;1.9
139;2006 October;87.39;87.0;85.02;1.4;1.6;1.8
140;2006 November;87.37;87.03;85.08;1.6;1.8;2.0
141;2006 December;87.07;87.37;85.4;1.7;1.9;2.1
142;2006;86.99;86.64;84.58;1.6;2.2;2.2
143;2007 January;86.86;86.92;85.03;1.2;1.8;2.1
144;2007 February;87.42;87.17;85.31;1.4;1.8;2.1
145;2007 March;88.55;87.75;85.83;1.9;1.9;2.3
146;2007 April;89.04;88.31;86.31;1.9;1.9;2.2
147;2007 May;89.07;88.52;86.54;2.0;1.9;2.1
148;2007 June;88.61;88.61;86.65;1.8;1.9;2.1
149;2007 July;87.94;88.39;86.42;1.4;1.8;2.0
150;2007 August;88.05;88.45;86.53;1.1;1.7;1.9
151;2007 September;88.66;88.78;86.85;1.3;2.1;2.2
152;2007 October;88.79;89.21;87.3;1.6;2.5;2.7
153;2007 November;88.93;89.69;87.75;1.8;3.1;3.1
154;2007 December;88.45;90.05;88.11;1.6;3.1;3.2
155;2007;88.36;88.49;86.55;1.6;2.1;2.3
156;2008 January;88.42;89.7;87.92;1.8;3.2;3.4
157;2008 February;89.17;90.02;88.3;2.0;3.3;3.5
158;2008 March;90.23;90.9;89.04;1.9;3.6;3.7
159;2008 April;90.55;91.19;89.41;1.7;3.3;3.6
160;2008 May;90.92;91.76;89.97;2.1;3.7;4.0
161;2008 June;90.66;92.11;90.34;2.3;3.9;4.3
162;2008 July;90.55;91.97;90.26;3.0;4.1;4.4
163;2008 August;90.67;91.84;90.23;3.0;3.8;4.3
164;2008 September;91.13;92.01;90.48;2.8;3.6;4.2
165;2008 October;90.98;92.04;90.51;2.5;3.2;3.7
166;2008 November;90.61;91.59;90.17;1.9;2.1;2.8
167;2008 December;89.91;91.47;90.01;1.7;1.6;2.2
168;2008;90.32;91.38;89.72;2.2;3.3;3.7
169;2009 January;89.95;90.71;89.46;1.7;1.1;1.8
170;2009 February;90.83;91.08;89.93;1.9;1.2;1.8
171;2009 March;91.89;91.42;90.25;1.8;0.6;1.4
172;2009 April;92.21;91.75;90.55;1.8;0.6;1.3
173;2009 May;92.31;91.8;90.72;1.5;0.0;0.8
174;2009 June;91.9;91.98;90.9;1.4;-0.1;0.6
175;2009 July;90.43;91.38;90.48;-0.1;-0.6;0.2
176;2009 August;90.61;91.69;90.74;-0.1;-0.2;0.6
177;2009 September;91.11;91.71;90.77;0.0;-0.3;0.3
178;2009 October;91.35;91.92;90.95;0.4;-0.1;0.5
179;2009 November;91.21;92.03;91.1;0.7;0.5;1.0
180;2009 December;90.56;92.32;91.39;0.7;0.9;1.5
181;2009;91.2;91.65;90.6;1.0;0.3;1.0
182;2010 January;90.3;91.57;90.94;0.4;0.9;1.7
183;2010 February;91.15;91.85;91.24;0.4;0.8;1.5
184;2010 March;92.49;92.87;92.07;0.7;1.6;2.0
185;2010 April;92.81;93.25;92.47;0.7;1.6;2.1
186;2010 May;92.72;93.35;92.6;0.4;1.7;2.1
187;2010 June;92.11;93.35;92.64;0.2;1.5;1.9
188;2010 July;91.57;92.95;92.38;1.3;1.7;2.1
189;2010 August;91.7;93.14;92.56;1.2;1.6;2.0
190;2010 September;92.39;93.43;92.81;1.4;1.9;2.2
191;2010 October;92.61;93.71;93.09;1.4;1.9;2.4
192;2010 November;92.47;93.79;93.23;1.4;1.9;2.3
193;2010 December;92.23;94.36;93.83;1.8;2.2;2.7
194;2010;92.05;93.14;92.49;0.9;1.6;2.1
195;2011 January;92.01;93.68;93.44;1.9;2.3;2.7
196;2011 February;92.93;94.08;93.88;2.0;2.4;2.9
197;2011 March;94.2;95.35;94.9;1.8;2.7;3.1
198;2011 April;94.77;95.88;95.48;2.1;2.8;3.3
199;2011 May;94.84;95.89;95.56;2.3;2.7;3.2
200;2011 June;94.23;95.88;95.51;2.3;2.7;3.1
201;2011 July;94.54;95.33;95.1;3.2;2.6;2.9
202;2011 August;94.65;95.51;95.3;3.2;2.5;3.0
203;2011 September;95.12;96.21;95.9;3.0;3.0;3.3
204;2011 October;95.22;96.55;96.2;2.8;3.0;3.3
205;2011 November;94.84;96.63;96.35;2.6;3.0;3.3
206;2011 December;94.54;96.96;96.68;2.5;2.8;3.0
207;2011;94.32;95.66;95.36;2.5;2.7;3.1
208;2012 January;94.66;96.17;96.14;2.9;2.7;2.9
209;2012 February;95.6;96.65;96.64;2.9;2.7;2.9
210;2012 March;96.93;97.9;97.63;2.9;2.7;2.9
211;2012 April;97.39;98.36;98.09;2.8;2.6;2.7
212;2012 May;97.17;98.22;98.0;2.5;2.4;2.6
213;2012 June;96.59;98.15;97.89;2.5;2.4;2.5
214;2012 July;97.0;97.63;97.52;2.6;2.4;2.5
215;2012 August;97.07;98.01;97.87;2.6;2.6;2.7
216;2012 September;97.54;98.72;98.48;2.5;2.6;2.7
217;2012 October;98.33;98.95;98.75;3.3;2.5;2.7
218;2012 November;97.85;98.76;98.62;3.2;2.2;2.4
219;2012 December;97.73;99.11;98.95;3.4;2.2;2.3
220;2012;96.99;98.05;97.88;2.8;2.5;2.6
221;2013 January;97.7;98.08;98.16;3.2;2.0;2.1
222;2013 February;98.7;98.44;98.56;3.2;1.9;2.0
223;2013 March;100.02;99.6;99.46;3.2;1.7;1.9
224;2013 April;100.1;99.51;99.45;2.8;1.2;1.4
225;2013 May;100.14;99.62;99.55;3.1;1.4;1.6
226;2013 June;99.65;99.73;99.6;3.2;1.6;1.7
227;2013 July;100.0;99.2;99.2;3.1;1.6;1.7
228;2013 August;99.78;99.32;99.33;2.8;1.3;1.5
229;2013 September;99.86;99.8;99.74;2.4;1.1;1.3
230;2013 October;99.61;99.68;99.66;1.3;0.7;0.9
231;2013 November;99.02;99.6;99.58;1.2;0.9;1.0
232;2013 December;99.1;99.95;99.92;1.4;0.8;1.0
233;2013;99.47;99.38;99.35;2.6;1.4;1.5
234;2014 January;98.48;98.83;99.04;0.8;0.8;0.9
235;2014 February;99.07;99.14;99.36;0.4;0.7;0.8
236;2014 March;100.16;100.07;100.07;0.1;0.5;0.6
237;2014 April;100.74;100.22;100.25;0.6;0.7;0.8
238;2014 May;100.28;100.11;100.16;0.1;0.5;0.6
239;2014 June;99.92;100.22;100.26;0.3;0.5;0.7
240;2014 July;100.26;99.57;99.74;0.3;0.4;0.5
241;2014 August;100.14;99.68;99.84;0.4;0.4;0.5
242;2014 September;100.12;100.12;100.15;0.3;0.3;0.4
243;2014 October;100.0;100.06;100.14;0.4;0.4;0.5
244;2014 November;99.27;99.88;99.93;0.3;0.3;0.4
245;2014 December;99.04;99.78;99.84;-0.1;-0.2;-0.1
246;2014;99.79;99.81;99.9;0.3;0.4;0.6
247;2015 January;97.82;98.24;98.57;-0.7;-0.6;-0.5
248;2015 February;98.62;98.85;99.07;-0.5;-0.3;-0.3
249;2015 March;99.88;100.0;99.97;-0.3;-0.1;-0.1
250;2015 April;100.71;100.43;100.36;0.0;0.2;0.1
251;2015 May;100.97;100.71;100.62;0.7;0.6;0.5
252;2015 June;100.4;100.72;100.59;0.5;0.5;0.3
253;2015 July;101.07;100.11;100.12;0.8;0.5;0.4
254;2015 August;100.58;100.12;100.11;0.4;0.4;0.3
255;2015 September;100.4;100.32;100.23;0.3;0.2;0.1
256;2015 October;100.4;100.45;100.34;0.4;0.4;0.2
257;2015 November;99.64;100.01;100.01;0.4;0.1;0.1
258;2015 December;99.53;100.03;100.02;0.5;0.3;0.2
259;2015;100.0;100.0;100.0;0.2;0.2;0.1
260;2016 January;98.03;98.56;98.83;0.2;0.3;0.3
261;2016 February;98.94;98.73;98.98;0.3;-0.1;-0.1
262;2016 March;100.4;99.96;99.93;0.5;0.0;0.0
263;2016 April;100.51;100.17;100.13;-0.2;-0.3;-0.2
264;2016 May;100.75;100.59;100.48;-0.2;-0.1;-0.1
265;2016 June;100.2;100.77;100.65;-0.2;0.0;0.1
266;2016 July;100.5;100.28;100.28;-0.6;0.2;0.2
267;2016 August;100.67;100.34;100.34;0.1;0.2;0.2
268;2016 September;100.31;100.72;100.64;-0.1;0.4;0.4
269;2016 October;100.67;100.96;100.87;0.3;0.5;0.5
270;2016 November;100.02;100.6;100.65;0.4;0.6;0.6
271;2016 December;100.27;101.13;101.16;0.7;1.1;1.1
272;2016;100.11;100.23;100.25;0.1;0.2;0.2
273;2017 January;99.64;100.26;100.49;1.6;1.7;1.7
274;2017 February;100.58;100.66;100.93;1.7;2.0;2.0
275;2017 March;101.03;101.49;101.58;0.6;1.5;1.7
276;2017 April;101.94;102.07;102.1;1.4;1.9;2.0
277;2017 May;101.49;101.98;102.09;0.7;1.4;1.6
278;2017 June;101.17;102.08;102.15;1.0;1.3;1.5
279;2017 July;102.0;101.62;101.83;1.5;1.3;1.5
280;2017 August;102.18;101.89;102.08;1.5;1.5;1.7
281;2017 September;101.75;102.29;102.44;1.4;1.6;1.8
282;2017 October;101.97;102.34;102.55;1.3;1.4;1.7
283;2017 November;101.57;102.14;102.5;1.5;1.5;1.8
284;2017 December;101.49;102.49;102.82;1.2;1.3;1.6
285;2017;101.4;101.78;101.96;1.3;1.5;1.7
286;2018 January;101.12;101.56;102.12;1.5;1.3;1.6
287;2018 February;101.84;101.78;102.35;1.3;1.1;1.4
288;2018 March;102.06;102.91;103.17;1.0;1.4;1.6
289;2018 April;102.99;103.32;103.6;1.0;1.2;1.5
290;2018 May;103.41;103.97;104.16;1.9;2.0;2.0
291;2018 June;102.85;104.09;104.28;1.7;2.0;2.1
292;2018 July;103.96;103.85;104.12;1.9;2.2;2.2
293;2018 August;104.09;104.01;104.32;1.9;2.1;2.2
294;2018 September;103.36;104.42;104.66;1.6;2.1;2.2
295;2018 October;103.89;104.68;104.91;1.9;2.3;2.3
296;2018 November;103.37;104.1;104.51;1.8;1.9;2.0
297;2018 December;103.35;104.05;104.5;1.8;1.5;1.6
298;2018;103.02;103.56;103.89;1.6;1.8;1.9
299;2019 January;103.13;102.97;103.64;2.0;1.4;1.5
300;2019 February;104.44;103.3;104.02;2.6;1.5;1.6
301;2019 March;104.98;104.35;104.85;2.9;1.4;1.6
302;2019 April;106.11;105.1;105.58;3.0;1.7;1.9
303;2019 May;105.82;105.24;105.79;2.3;1.2;1.6
304;2019 June;105.67;105.41;105.9;2.7;1.3;1.6
305;2019 July;106.67;104.91;105.59;2.6;1.0;1.4
306;2019 August;107.32;105.06;105.73;3.1;1.0;1.4
307;2019 September;106.16;105.29;105.9;2.7;0.8;1.2
308;2019 October;106.82;105.44;106.03;2.8;0.7;1.1
309;2019 November;106.01;105.1;105.85;2.6;1.0;1.3
310;2019 December;106.24;105.43;106.14;2.8;1.3;1.6
311;2019;105.78;104.8;105.42;2.7;1.2;1.5
312;2020 January;104.85;104.37;105.44;1.7;1.4;1.7
313;2020 February;105.77;104.56;105.66;1.3;1.2;1.6
314;2020 March;106.09;105.13;106.14;1.1;0.7;1.2
315;2020 April;107.14;105.43;106.37;1.0;0.3;0.7
316;2020 May;106.94;105.33;106.38;1.1;0.1;0.6
317;2020 June;107.45;105.69;106.76;1.7;0.3;0.8
318;2020 July;108.42;105.32;106.51;1.6;0.4;0.9
319;2020 August;107.65;104.88;106.13;0.3;-0.2;0.4
320;2020 September;107.19;104.96;106.17;1.0;-0.3;0.3
321;2020 October;108.05;105.15;106.37;1.2;-0.3;0.3
322;2020 November;106.72;104.8;106.07;0.7;-0.3;0.2
323;2020 December;107.22;105.15;106.41;0.9;-0.3;0.3
324;2020;106.96;105.06;106.2;1.1;0.3;0.7
325;2021 January;106.51;105.32;106.72;1.6;0.9;1.2
326;2021 February;107.76;105.54;107.0;1.9;0.9;1.3
327;2021 March;108.09;106.53;107.91;1.9;1.3;1.7
328;2021 April;108.95;107.14;108.53;1.7;1.6;2.0
329;2021 May;109.11;107.42;108.83;2.0;2.0;2.3
330;2021 June;109.27;107.7;109.1;1.7;1.9;2.2
331;2021 July;109.96;107.6;109.14;1.4;2.2;2.5
332;2021 August;110.54;107.98;109.5;2.7;3.0;3.2
333;2021 September;110.37;108.49;110.03;3.0;3.4;3.6
334;2021 October;112.1;109.41;111.0;3.7;4.1;4.4
335;2021 November;113.02;109.9;111.54;5.9;4.9;5.2
336;2021 December;114.09;110.37;112.06;6.4;5.0;5.3
337;2021;109.98;107.78;109.28;2.8;2.6;2.9
338;2022 January;114.61;110.7;112.67;7.6;5.1;5.6
339;2022 February;115.58;111.74;113.65;7.3;5.9;6.2
340;2022 March;120.7;114.46;116.36;11.7;7.4;7.8
341;2022 April;121.16;115.11;117.32;11.2;7.4;8.1
342;2022 May;120.21;116.07;118.45;10.2;8.1;8.8
343;2022 June;120.13;117.01;119.53;9.9;8.6;9.6
344;2022 July;122.74;117.14;119.81;11.6;8.9;9.8
345;2022 August;125.63;117.85;120.61;13.7;9.1;10.1
346;2022 September;129.2;119.26;122.07;17.1;9.9;10.9
347;2022 October;130.92;121.03;123.78;16.8;10.6;11.5
348;2022 November;125.81;120.95;123.92;11.3;10.1;11.1
349;2022 December;126.64;120.52;123.7;11.0;9.2;10.4
350;2022;122.78;116.82;119.32;11.6;8.4;9.2
351;2023 January;124.23;120.27;123.9;8.4;8.6;10.0
352;2023 February;125.9;121.24;124.95;8.9;8.5;9.9
353;2023 March;126.16;122.34;126.05;4.5;6.9;8.3
354;2023 April;128.17;123.12;126.83;5.8;7.0;8.1
355;2023 May;128.41;123.15;126.88;6.8;6.1;7.1
356;2023 June;127.78;123.47;127.22;6.4;5.5;6.4
357;2023 July;129.25;123.36;127.17;5.3;5.3;6.1
358;2023 August;129.9;124.03;127.78;3.4;5.2;5.9
359;2023 September;128.81;124.43;128.11;-0.3;4.3;4.9
360;2023 October;129.56;124.54;128.27;-1.0;2.9;3.6
361;2023 November;127.63;123.85;127.76;1.4;2.4;3.1
362;2023 December;127.88;124.05;127.95;1.0;2.9;3.4
363;2023;127.81;123.15;126.91;4.1;5.4;6.4
364;2024 January;128.08;123.6;127.74;3.1;2.8;3.1
365;2024 February;129.29;124.37;128.48;2.7;2.6;2.8
366;2024 March;130.09;125.31;129.33;3.1;2.4;2.6
367;2024 April;131.47;126.04;130.09;2.6;2.4;2.6
368;2024 May;131.85;126.31;130.33;2.7;2.6;2.7
369;2024 June;132.07;126.58;130.57;3.4;2.5;2.6
370;2024 July;133.73;126.54;130.73;3.5;2.6;2.8
371;2024 August;134.22;126.72;130.88;3.3;2.2;2.4
372;2024 September;133.01;126.6;130.77;3.3;1.7;2.1
373;2024 October;133.85;127.03;131.25;3.3;2.0;2.3
374;2024 November;132.47;126.62;130.99;3.8;2.2;2.5
375;2024 December;132.93;127.07;131.39;3.9;2.4;2.7
376;2024;131.92;126.07;130.21;3.2;2.4;2.6
377;2025 January;131.94;126.72;131.33;3.0;2.5;2.8
378;2025 February;133.82;127.26;131.92;3.5;2.3;2.7
379;2025 March;134.5;128.04;;3.4;2.2;
