ID;Arbeidspositie;ArbeidspositieVoorgaandePeriode;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;BeroepsEnNietBeroepsbevolking_2
0;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2003 2e kwartaal;3951.0;100.0
1;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2003 3e kwartaal;3955.0;100.0
2;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2003 4e kwartaal;3934.0;100.0
3;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2004 1e kwartaal;3954.0;100.0
4;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2004 2e kwartaal;3952.0;100.0
5;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2004 3e kwartaal;3932.0;100.0
6;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2004 4e kwartaal;3932.0;100.0
7;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2004;3977.0;100.0
8;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2005 1e kwartaal;3935.0;100.0
9;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2005 2e kwartaal;3919.0;100.0
10;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2005 3e kwartaal;3885.0;100.0
11;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2005 4e kwartaal;3883.0;100.0
12;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2005;3963.0;100.0
13;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2006 1e kwartaal;3878.0;100.0
14;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2006 2e kwartaal;3889.0;100.0
15;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2006 3e kwartaal;3894.0;100.0
16;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2006 4e kwartaal;3871.0;100.0
17;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2006;3914.0;100.0
18;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2007 1e kwartaal;3828.0;100.0
19;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2007 2e kwartaal;3791.0;100.0
20;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2007 3e kwartaal;3754.0;100.0
21;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2007 4e kwartaal;3717.0;100.0
22;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2007;3900.0;100.0
23;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2008 1e kwartaal;3718.0;100.0
24;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2008 2e kwartaal;3687.0;100.0
25;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2008 3e kwartaal;3646.0;100.0
26;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2008 4e kwartaal;3651.0;100.0
27;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2008;3791.0;100.0
28;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2009 1e kwartaal;3642.0;100.0
29;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2009 2e kwartaal;3603.0;100.0
30;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2009 3e kwartaal;3619.0;100.0
31;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2009 4e kwartaal;3650.0;100.0
32;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2009;3695.0;100.0
33;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2010 1e kwartaal;3687.0;100.0
34;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2010 2e kwartaal;3709.0;100.0
35;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2010 3e kwartaal;3704.0;100.0
36;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2010 4e kwartaal;3707.0;100.0
37;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2010;3670.0;100.0
