ID;Geslacht;Leeftijd;Migratieachtergrond;Cijfersoort;Perioden;TotaalContacten_1;ConsultenOpDePraktijk_2;Visites_3;TelefonischeConsulten_4;TotaalContacten_5;ConsultenOpDePraktijk_6;Visites_7;TelefonischeConsulten_8;TotaalContacten_9;ConsultenOpDePraktijk_10;Visites_11;TelefonischeConsulten_12
0;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2006;72.7;69.3;5.7;28.9;3.5;2.6;0.2;0.6;4.7;3.6;0.3;0.8
1;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2007;72.4;68.6;5.6;30.5;3.4;2.5;0.2;0.6;4.6;3.5;0.3;0.9
2;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2008;76.1;72.2;6.0;34.5;3.8;2.8;0.2;0.8;5.0;3.7;0.3;1.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2009;77.7;73.6;6.8;37.7;4.1;3.0;0.3;0.8;5.2;3.8;0.4;1.1
4;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2010;77.2;72.8;6.2;40.5;4.6;3.2;0.3;1.0;5.9;4.2;0.4;1.3
5;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2011;77.7;73.5;6.0;40.7;4.3;3.0;0.3;1.0;5.5;3.9;0.3;1.3
6;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2012;78.1;73.6;6.0;42.9;4.4;3.1;0.2;1.1;5.7;3.9;0.3;1.4
7;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2013;78.0;73.4;5.9;43.4;4.3;2.9;0.2;1.1;5.5;3.8;0.3;1.4
8;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2014;77.7;73.1;6.0;43.4;4.4;3.0;0.3;1.1;5.6;3.8;0.3;1.5
9;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2015;77.8;73.0;7.0;44.4;4.6;3.1;0.3;1.2;5.8;3.9;0.4;1.6
10;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2016;78.3;73.6;5.9;46.0;4.5;3.0;0.2;1.3;5.8;3.8;0.3;1.6
11;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2017;77.8;73.2;5.6;45.9;4.5;3.0;0.2;1.3;5.8;3.8;0.3;1.7
12;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Waarde;2018;78.1;73.0;5.5;47.3;4.5;2.9;0.2;1.3;5.7;3.7;0.3;1.7
13;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2006;0.1;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2007;0.1;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2008;0.1;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2009;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2010;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2011;0.1;0.1;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Bevolking totaal;Standaardfout;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;Waarde;2006;73.4;69.7;6.2;30.0;3.5;2.6;0.3;0.6;4.8;3.6;0.3;0.8
