ID;Countries;Period;HighlyEducated_1;LessEducated_2;HighlyEducated_3;LessEducated_4;SumOfKnowledgeMigrationTotal_5;SumOfTheHighlyEducated_6;BalanceOfKnowledgeMigrationTotal_7;BalanceOfTheHighlyEducated_8
0;Australia;2000-2002;9.95;19.21;0.83;1.13;31.1;10.8;27.2;9.1
1;Austria;2000-2002;1.59;12.72;1.38;3.76;19.4;3.0;9.2;0.2
2;Belgium;2000-2002;2.44;11.93;1.43;3.14;18.9;3.9;9.8;1.0
3;Canada;2000-2002;8.51;13.9;1.78;2.71;26.9;10.3;17.9;6.7
4;Czech Republic;2000-2002;0.69;4.69;0.63;1.96;8.0;1.3;2.8;0.1
5;Denmark;2000-2002;1.48;6.21;1.37;2.59;11.7;2.9;3.7;0.1
6;Finland;2000-2002;0.53;2.29;1.58;4.65;9.0;2.1;-3.4;-1.1
7;France;2000-2002;2.13;9.93;0.75;1.6;14.4;2.9;9.7;1.4
8;Germany;2000-2002;3.1;17.13;1.39;3.49;25.1;4.5;15.4;1.7
9;Hungary;2000-2002;0.65;2.65;1.06;2.65;7.0;1.7;-0.4;-0.4
10;Ireland;2000-2002;;;;;;;;
11;Italy;2000-2002;0.51;3.63;0.6;4.26;9.0;1.1;-0.7;-0.1
12;Japan;2000-2002;0.26;0.81;0.26;0.27;1.6;0.5;0.5;0.0
13;The Netherlands;2000-2002;1.68;9.05;1.68;3.21;15.6;3.4;5.8;0.0
14;Poland;2000-2002;0.29;3.69;1.05;3.06;8.1;1.3;-0.1;-0.8
15;South Korea;2000-2002;0.12;0.26;0.37;0.49;1.2;0.5;-0.5;-0.2
16;Spain;2000-2002;1.27;4.57;0.45;1.97;8.3;1.7;3.4;0.8
17;Sweden;2000-2002;3.28;11.6;1.22;2.0;18.1;4.5;11.7;2.1
18;United Kingdom;2000-2002;2.88;6.56;2.68;4.18;16.3;5.6;2.6;0.2
19;United States;2000-2002;3.71;10.63;0.19;0.21;14.7;3.9;14.0;3.5
